Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Greg Zuerlein,K,11,LAR,DEN,5,5,100,55,1,1,0.00,2014
2,Matt Bryant,K,11,ATL,CAR,4,4,100,44,1,1,0.00,2014
3,Randy Bullock,K,11,HOU,CLE,3,4,75,50,2,2,0.00,2014
4,Mason Crosby,K,11,GB,PHI,2,3,67,33,5,6,0.00,2014
5,Phil Dawson,K,11,SF,NYG,3,3,100,44,1,1,0.00,2014
6,Adam Vinatieri,K,11,IND,NE,2,2,100,53,2,2,0.00,2014
7,Dan Carpenter,K,11,BUF,MIA,3,4,75,46,0,0,0.00,2014
8,Patrick Murray,K,11,TB,WAS,2,2,100,38,3,3,0.00,2014
9,Mike Nugent,K,11,CIN,NO,2,2,100,42,3,3,0.00,2014
10,Nick Novak,K,11,LAC,OAK,2,3,67,52,1,1,0.00,2014
11,Shaun Suisham,K,11,PIT,TEN,2,2,100,49,3,3,0.00,2014
12,Caleb Sturgis,K,11,MIA,BUF,2,2,100,38,2,2,0.00,2014
13,Steven Hauschka,K,11,SEA,KC,2,2,100,27,2,2,0.00,2014
14,Cody Parkey,K,11,PHI,GB,2,2,100,33,2,2,0.00,2014
15,Blair Walsh,K,11,MIN,CHI,2,3,67,50,1,1,0.00,2014
16,Cairo Santos,K,11,KC,SEA,1,1,100,23,3,3,0.00,2014
17,Sebastian Janikowski,K,11,OAK,LAC,2,2,100,42,0,0,0.00,2014
18,Matt Prater,K,11,DET,ARI,2,2,100,50,0,0,0.00,2014
19,Stephen Gostkowski,K,11,NE,IND,0,0,0,0,6,6,0.00,2014
20,Ryan Succop,K,11,TEN,PIT,1,1,100,20,3,3,0.00,2014
21,Graham Gano,K,11,CAR,ATL,1,3,33,23,2,2,0.00,2014
22,Shayne Graham,K,11,NO,CIN,1,1,100,31,1,1,0.00,2014
23,Josh Brown,K,11,NYG,SF,1,1,100,43,1,1,0.00,2014
24,Robbie Gould,K,11,CHI,MIN,0,1,0,0,3,3,0.00,2014
25,Chandler Catanzaro,K,11,ARI,DET,0,0,0,0,2,2,0.00,2014
26,Billy Cundiff,K,11,CLE,HOU,0,1,0,0,1,1,0.00,2014
27,Kai Forbath,K,11,WAS,TB,0,2,0,0,1,1,0.00,2014
28,Brandon McManus,K,11,DEN,LAR,0,0,0,0,1,1,0.00,2014
29,Jordan Gay,K,11,BUF,MIA,0,0,0,0,0,0,0.00,2014
