Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Aaron Rodgers,QB,11,GB,PHI,22,36,61,341,10,3,0,120,3,32,11,0,31.84,2014
2,Jay Cutler,QB,11,CHI,MIN,31,43,72,330,8,3,2,98,5,21,4,0,28.30,2014
3,Andrew Luck,QB,11,IND,NE,23,39,59,303,8,2,1,90,3,15,5,0,23.62,2014
4,Russell Wilson,QB,11,SEA,KC,20,32,63,178,6,2,0,98,8,71,9,0,22.22,2014
5,Andy Dalton,QB,11,CIN,NO,16,22,73,220,10,3,0,144,5,12,2,0,22.00,2014
6,Drew Stanton,QB,11,ARI,DET,21,32,66,306,10,2,2,91,4,-4,-1,0,20.84,2014
7,Mark Sanchez,QB,11,PHI,GB,26,44,59,346,8,2,2,80,3,0,0,0,20.84,2014
8,Cam Newton,QB,11,CAR,ATL,23,37,62,292,8,2,2,82,5,30,6,0,20.68,2014
9,Peyton Manning,QB,11,DEN,LAR,34,54,63,389,7,1,2,75,1,-1,-1,0,20.46,2014
10,Josh McCown,QB,11,TB,WAS,15,23,65,288,13,2,0,138,3,8,3,0,20.32,2014
11,Ryan Tannehill,QB,11,MIA,BUF,26,34,77,240,7,2,0,115,4,16,4,0,18.80,2014
12,Brian Hoyer,QB,11,CLE,HOU,20,50,40,330,7,1,1,61,3,-6,-2,0,18.60,2014
13,Zach Mettenberger,QB,11,TEN,PIT,15,24,63,263,11,2,1,110,0,0,0,0,17.52,2014
14,Tom Brady,QB,11,NE,IND,19,30,63,257,9,2,2,85,2,-2,-1,0,16.08,2014
15,Ryan Mallett,QB,11,HOU,CLE,20,30,67,211,7,2,1,95,4,-3,-1,0,15.14,2014
16,Matt Ryan,QB,11,ATL,CAR,31,45,69,268,6,1,0,92,1,4,4,0,15.12,2014
17,Drew Brees,QB,11,NO,CIN,33,41,81,255,6,1,0,101,1,3,3,0,14.50,2014
18,Robert Griffin III,QB,11,WAS,TB,23,32,72,207,7,1,2,73,6,41,7,0,14.38,2014
19,Colin Kaepernick,QB,11,SF,NYG,15,29,52,193,7,1,0,84,8,24,3,0,14.12,2014
20,Shaun Hill,QB,11,LAR,DEN,20,29,69,220,8,1,0,103,0,0,0,0,13.80,2014
21,Philip Rivers,QB,11,LAC,OAK,22,34,65,193,6,1,0,89,1,-1,-1,0,11.62,2014
22,Ben Roethlisberger,QB,11,PIT,TEN,21,32,66,207,7,1,1,81,3,2,1,0,11.48,2014
23,Eli Manning,QB,11,NYG,SF,22,45,49,280,6,1,5,37,0,0,0,0,10.20,2014
24,Teddy Bridgewater,QB,11,MIN,CHI,18,28,64,158,6,1,1,76,4,2,1,0,9.52,2014
25,Kyle Orton,QB,11,BUF,MIA,22,39,56,193,5,0,0,70,2,2,1,0,7.92,2014
26,Matthew Stafford,QB,11,DET,ARI,18,30,60,183,6,0,1,64,0,0,0,0,6.32,2014
27,Derek Carr,QB,11,OAK,LAC,16,34,47,172,5,0,0,62,2,0,0,0,5.88,2014
28,Alex Smith,QB,11,KC,SEA,11,16,69,108,7,0,0,88,2,-1,-1,0,4.22,2014
29,Matt Flynn,QB,11,GB,PHI,2,2,100,26,13,0,0,119,3,-3,-1,0,0.74,2014
30,Luke McCown,QB,11,NO,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2014
31,Joe Webb,QB,11,CAR,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2014
32,Matt Schaub,QB,11,OAK,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2014
33,Jimmy Garoppolo,QB,11,NE,IND,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.20,2014
