,Player,Position,Team,Opponent,Points,PlayerID
0,Andrew Luck,QB,IND,NE,23.62,00-0029668
1,Russell Wilson,QB,SEA,KC,22.22,00-0029263
2,Andy Dalton,QB,CIN,NO,22.0,00-0027973
3,Drew Stanton,QB,ARI,DET,20.84,00-0025430
4,Mark Sanchez,QB,PHI,GB,20.84,00-0026898
5,Cam Newton,QB,CAR,ATL,20.68,00-0027939
6,Peyton Manning,QB,DEN,LAR,20.46,00-0010346
7,Josh McCown,QB,TB,WAS,20.32,00-0021206
8,Ryan Tannehill,QB,MIA,BUF,18.8,00-0029701
9,Brian Hoyer,QB,CLE,HOU,18.6,00-0026625
10,Zach Mettenberger,QB,TEN,PIT,17.52,00-0031266
11,Tom Brady,QB,NE,IND,16.08,00-0019596
12,Ryan Mallett,QB,HOU,CLE,15.14,00-0028012
13,Matt Ryan,QB,ATL,CAR,15.12,00-0026143
14,Drew Brees,QB,NO,CIN,14.5,00-0020531
15,Robert Griffin III,QB,WAS,TB,14.38,00-0029532
16,Colin Kaepernick,QB,SF,NYG,14.12,00-0027974
17,Shaun Hill,QB,LA,DEN,13.8,00-0020679
18,Philip Rivers,QB,LAC,OAK,11.62,00-0022942
19,Ben Roethlisberger,QB,PIT,TEN,11.48,00-0022924
20,Eli Manning,QB,NYG,SF,10.2,00-0022803
21,Teddy Bridgewater,QB,MIN,CHI,9.52,00-0031237
22,Kyle Orton,QB,BUF,MIA,7.92,00-0023541
23,Matthew Stafford,QB,DET,ARI,6.32,00-0026498
24,Derek Carr,QB,OAK,LAC,5.88,00-0031280
25,Alex Smith,QB,KC,SEA,4.22,00-0023436
26,Matt Flynn,QB,GB,PHI,0.74,00-0026349
27,Matt Schaub,QB,OAK,LAC,0.0,00-0022787
28,Luke McCown,QB,NO,CIN,0.0,00-0022864
29,Joe Webb,QB,CAR,ATL,0.0,00-0027796
30,Jimmy Garoppolo,QB,NE,IND,-0.2,00-0031345
31,Kelvin Benjamin,WR,CAR,ATL,28.9,00-0031359
32,Brandon Marshall,WR,CHI,MIN,28.0,00-0024334
33,AJ Green,WR,CIN,NO,27.7,00-0027942
34,Randall Cobb,WR,GB,PHI,25.9,00-0028002
35,Kenny Britt,WR,LA,DEN,25.8,00-0027006
36,Jordan Matthews,WR,PHI,GB,24.7,00-0031299
37,Jeremy Maclin,WR,PHI,GB,24.3,00-0026995
38,Emmanuel Sanders,WR,DEN,LAR,24.2,00-0027685
39,Antonio Brown,WR,PIT,TEN,24.1,00-0027793
40,Jordy Nelson,WR,GB,PHI,23.9,00-0026176
41,Andrew Hawkins,WR,CLE,HOU,21.7,00-0027918
42,Roddy White,WR,ATL,CAR,21.5,00-0023462
43,Rueben Randle,WR,NYG,SF,21.2,00-0029262
44,Demaryius Thomas,WR,DEN,LAR,20.3,00-0027874
45,Michael Floyd,WR,ARI,DET,19.4,00-0029638
46,Michael Crabtree,WR,SF,NYG,17.5,00-0026986
47,Doug Baldwin,WR,SEA,KC,16.5,00-0028434
48,Odell Beckham Jr,WR,NYG,SF,15.3,00-0031235
49,Nate Washington,WR,TEN,PIT,15.0,00-0023367
50,Charles Johnson,WR,MIN,CHI,14.7,00-0030113
51,Jarvis Landry,WR,MIA,BUF,14.6,00-0031382
52,Malcom Floyd,WR,LAC,OAK,14.4,00-0022414
53,Chris Hogan,WR,BUF,MIA,14.4,00-0028237
54,Keenan Allen,WR,LAC,OAK,14.3,00-0030279
55,Taylor Gabriel,WR,CLE,HOU,14.2,00-0031228
56,Reggie Wayne,WR,IND,NE,14.1,00-0020498
57,Andre Johnson,WR,HOU,CLE,13.8,00-0022044
58,Kenny Stills,WR,NO,CIN,13.2,00-0030085
59,Julian Edelman,WR,NE,IND,13.1,00-0027150
60,DeAndre Hopkins,WR,HOU,CLE,12.0,00-0030564
61,John Brown,WR,ARI,DET,11.9,00-0031051
62,Julio Jones,WR,ATL,CAR,11.9,00-0027944
63,Corey Brown,WR,CAR,ATL,11.7,00-0031118
64,Kendall Wright,WR,TEN,PIT,11.0,00-0029708
65,Calvin Johnson,WR,DET,ARI,10.9,00-0025389
66,Brandin Cooks,WR,NO,CIN,10.5,00-0031236
67,Jermaine Kearse,WR,SEA,KC,10.4,00-0029159
68,Anquan Boldin,WR,SF,NYG,10.3,00-0022084
69,Marques Colston,WR,NO,CIN,9.6,00-0024466
70,Hakeem Nicks,WR,IND,NE,9.5,00-0027005
71,Brandon Gibson,WR,MIA,BUF,9.3,00-0026937
72,Davante Adams,WR,GB,PHI,9.3,00-0031381
73,Brandon LaFell,WR,NE,IND,9.2,00-0027681
74,Harry Douglas,WR,ATL,CAR,8.6,00-0026224
75,Brian Hartline,WR,MIA,BUF,8.5,00-0027077
76,Riley Cooper,WR,PHI,GB,7.9,00-0027758
77,Mike Wallace,WR,MIA,BUF,7.8,00-0026901
78,DeSean Jackson,WR,WAS,TB,7.7,00-0026189
79,Jermaine Gresham,TE,CIN,NO,15.3,00-0027873
80,Larry Donnell,TE,NYG,SF,14.4,00-0028838
81,Chase Coffman,TE,TEN,PIT,12.2,00-0027069
82,Heath Miller,TE,PIT,TEN,12.1,00-0023465
83,Garrett Graham,TE,HOU,CLE,11.4,00-0027718
84,Greg Olsen,TE,CAR,ATL,11.1,00-0025418
85,Zach Ertz,TE,PHI,GB,9.5,00-0030061
86,Luke Willson,TE,SEA,KC,8.1,00-0030089
87,Charles Clay,TE,MIA,BUF,8.1,00-0028112
88,Rhett Ellison,TE,MIN,CHI,7.7,00-0029587
89,Tim Wright,TE,NE,IND,7.2,
90,Tony Moeaki,TE,SEA,KC,7.1,00-0027695
91,Jacob Tamme,TE,DEN,LAR,7.1,00-0026267
92,Mychal Rivera,TE,OAK,LAC,7.0,00-0030514
93,Martellus Bennett,TE,CHI,MIN,6.9,00-0026201
94,John Carlson,TE,ARI,DET,6.7,00-0026178
95,Jim Dray,TE,CLE,HOU,6.6,00-0027825
96,Antonio Gates,TE,LAC,OAK,6.2,00-0021547
97,Eric Ebron,TE,DET,ARI,6.2,00-0031387
98,Jimmy Graham,TE,NO,CIN,5.9,00-0027696
99,Travis Kelce,TE,KC,SEA,5.7,00-0030506
100,Andrew Quarless,TE,GB,PHI,5.5,00-0027753
101,Jared Cook,TE,LA,DEN,4.9,00-0027061
102,Niles Paul,TE,WAS,TB,4.7,00-0028093
103,Levine Toilolo,TE,ATL,CAR,4.3,00-0030443
104,Jordan Reed,TE,WAS,TB,4.2,00-0030472
105,Ed Dickson,TE,CAR,ATL,4.0,00-0027675
106,Rob Housler,TE,ARI,DET,3.7,00-0028007
107,Brandon Myers,TE,TB,WAS,3.1,00-0027135
108,Dion Sims,TE,MIA,BUF,3.1,00-0030422
109,Richard Rodgers,TE,GB,PHI,2.9,00-0031384
110,Lance Kendricks,TE,LA,DEN,2.5,00-0027985
111,Julius Thomas,TE,DEN,LAR,2.3,00-0028067
112,Gary Barnidge,TE,CLE,HOU,2.1,00-0026281
113,Brent Celek,TE,PHI,GB,2.1,00-0025549
114,Vernon Davis,TE,SF,NYG,2.1,00-0024221
115,Ladarius Green,TE,LAC,OAK,2.1,00-0029275
116,Austin Seferian-Jenkins,TE,TB,WAS,1.7,00-0031418
117,Dante Rosario,TE,CHI,MIN,1.7,00-0025542
118,Troy Niklas,TE,ARI,DET,1.5,00-0031044
119,Brian Leonhardt,TE,OAK,LAC,1.4,00-0029755
120,David Johnson,TE,LAC,OAK,1.4,
121,Chase Ford,TE,MIN,CHI,1.4,00-0029432
122,Phillip Supernaw,TE,KC,SEA,1.3,00-0028987
123,Cooper Helfet,TE,SEA,KC,1.2,00-0029534
124,Chris Gragg,TE,BUF,MIA,1.2,00-0030049
125,Ryan Hewitt,TE,CIN,NO,0.0,00-0030780
126,Logan Paulsen,TE,WAS,TB,0.0,00-0027215
127,Le'Veon Bell,RB,PIT,TEN,33.2,00-0030496
128,Matt Forte,RB,CHI,MIN,26.5,00-0026184
129,Eddie Lacy,RB,GB,PHI,26.4,00-0030485
130,Jeremy Hill,RB,CIN,NO,20.5,00-0031301
131,CJ Anderson,RB,DEN,LAR,19.5,00-0029854
132,Alfred Blue,RB,HOU,CLE,18.6,00-0031075
133,Mark Ingram,RB,NO,CIN,16.7,00-0027966
134,Roy Helu,RB,WAS,TB,16.7,00-0028043
