Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Green Bay Packers,DST,11,GB,PHI,8,3,4,2,2,0,2,1,20,30.00,2014
2,Tampa Bay Buccaneers,DST,11,TB,WAS,7,6,11,2,1,0,1,0,7,22.00,2014
3,San Francisco 49ers,DST,11,SF,NYG,5,2,7,5,0,0,0,0,10,16.00,2014
4,Arizona Cardinals,DST,11,ARI,DET,7,4,9,1,0,0,0,0,6,13.00,2014
5,Los Angeles Chargers,DST,11,LAC,OAK,5,2,2,0,1,0,0,0,6,11.00,2014
6,Buffalo Bills,DST,11,BUF,MIA,7,5,6,0,2,0,0,0,22,10.00,2014
7,Houston Texans,DST,11,HOU,CLE,8,2,4,1,1,0,0,0,7,10.00,2014
8,Los Angeles Rams,DST,11,LAR,DEN,2,2,4,2,0,0,0,0,7,10.00,2014
9,Atlanta Falcons,DST,11,ATL,CAR,4,2,2,2,0,0,0,0,17,9.00,2014
10,Chicago Bears,DST,11,CHI,MIN,5,2,5,1,0,0,0,0,13,8.00,2014
11,Miami Dolphins,DST,11,MIA,BUF,4,2,5,0,0,1,0,0,9,8.00,2014
12,Pittsburgh Steelers,DST,11,PIT,TEN,2,0,5,1,0,0,1,0,24,8.00,2014
13,Tennessee Titans,DST,11,TEN,PIT,7,5,8,1,0,0,0,0,27,7.00,2014
14,Cincinnati Bengals,DST,11,CIN,NO,3,0,4,0,1,0,0,0,10,6.00,2014
15,Oakland Raiders,DST,11,OAK,LAC,5,2,4,0,0,0,0,0,13,6.00,2014
16,Carolina Panthers,DST,11,CAR,ATL,3,2,5,0,1,0,0,0,19,5.00,2014
17,Detroit Lions,DST,11,DET,ARI,6,0,5,2,0,0,0,0,14,5.00,2014
18,Minnesota Vikings,DST,11,MIN,CHI,2,0,5,2,0,0,0,0,21,4.00,2014
19,New England Patriots,DST,11,NE,IND,5,1,6,1,0,0,0,0,20,4.00,2014
20,New York Giants,DST,11,NYG,SF,5,1,2,0,1,0,0,0,16,4.00,2014
21,Seattle Seahawks,DST,11,SEA,KC,1,0,0,0,2,0,0,0,24,4.00,2014
22,Washington Redskins,DST,11,WAS,TB,5,2,4,0,1,0,0,0,27,4.00,2014
23,Denver Broncos,DST,11,DEN,LAR,6,3,4,0,0,0,0,0,22,3.00,2014
24,Kansas City Chiefs,DST,11,KC,SEA,5,2,9,0,0,0,0,0,20,3.00,2014
25,Cleveland Browns,DST,11,CLE,HOU,2,0,2,1,0,0,0,0,23,2.00,2014
26,New Orleans Saints,DST,11,NO,CIN,2,1,3,0,0,0,0,0,27,1.00,2014
27,Philadelphia Eagles,DST,11,PHI,GB,4,1,0,0,0,0,0,0,53,1.00,2014
28,Indianapolis Colts,DST,11,IND,NE,0,0,6,2,0,0,0,0,42,0.00,2014
