Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Jason Witten,TE,8,DAL,NYG,23,18,78,167,0,20,7,9,0,0,0,0,0,37.70,2012
2,Rob Gronkowski,TE,8,NE,LAR,13,8,62,146,2,32,11,18,0,0,0,0,0,37.60,2012
3,Jimmy Graham,TE,8,NO,DEN,10,5,50,63,1,20,6,13,0,0,0,0,0,17.30,2012
4,Heath Miller,TE,8,PIT,WAS,6,4,67,46,1,25,8,12,0,0,0,0,0,14.60,2012
5,Brandon Pettigrew,TE,8,DET,SEA,9,7,78,74,0,18,8,11,0,0,0,0,0,14.40,2012
6,Dustin Keller,TE,8,NYJ,MIA,11,7,64,67,0,23,6,10,0,0,0,0,0,13.70,2012
7,John Phillips,TE,8,DAL,NYG,3,3,100,14,1,8,5,5,0,0,0,0,0,10.40,2012
8,Zach Miller,TE,8,SEA,DET,5,2,40,22,1,16,4,11,0,0,0,0,0,10.20,2012
9,Tony Moeaki,TE,8,KC,OAK,8,4,50,57,0,20,7,14,0,0,0,0,0,9.70,2012
10,Dwayne Allen,TE,8,IND,TEN,5,4,80,56,0,20,11,14,0,0,0,1,0,9.60,2012
11,Tony Scheffler,TE,8,DET,SEA,8,4,50,46,0,20,6,12,0,0,0,0,0,8.60,2012
12,Logan Paulsen,TE,8,WAS,PIT,6,4,67,43,0,31,7,11,0,0,0,0,0,8.30,2012
13,Kellen Davis,TE,8,CHI,CAR,1,1,100,12,1,12,12,12,0,0,0,0,0,8.20,2012
14,Brandon Myers,TE,8,OAK,KC,3,3,100,49,0,29,16,16,0,0,0,0,0,7.90,2012
15,Jared Cook,TE,8,TEN,IND,4,3,75,45,0,29,11,15,0,0,0,0,0,7.50,2012
16,Anthony Fasano,TE,8,MIA,NYJ,2,1,50,4,1,4,2,4,0,0,0,0,0,7.40,2012
17,Virgil Green,TE,8,DEN,NO,3,3,100,44,0,28,15,15,0,0,0,0,0,7.40,2012
18,Jeff King,TE,8,ARI,SF,3,3,100,43,0,27,14,14,0,0,0,0,0,7.30,2012
19,Lance Kendricks,TE,8,LAR,NE,4,4,100,32,0,11,8,8,0,0,0,0,0,7.20,2012
20,Rob Housler,TE,8,ARI,SF,5,4,80,32,0,16,6,8,0,0,0,0,0,7.20,2012
21,Leonard Pope,TE,8,PIT,WAS,1,1,100,1,1,1,1,1,0,0,0,0,0,7.10,2012
22,Dallas Clark,TE,8,TB,MIN,3,3,100,40,0,17,13,13,0,0,0,0,0,7.00,2012
23,Martellus Bennett,TE,8,NYG,DAL,6,4,67,29,0,12,5,7,0,0,0,0,0,6.90,2012
24,Jacob Tamme,TE,8,DEN,NO,4,3,75,33,0,23,8,11,0,0,0,0,0,6.30,2012
25,Brent Celek,TE,8,PHI,ATL,5,3,60,32,0,16,6,11,0,0,0,0,0,6.20,2012
26,Tony Gonzalez,TE,8,ATL,PHI,5,3,60,29,0,11,6,10,0,0,0,0,0,5.90,2012
27,Delanie Walker,TE,8,SF,ARI,3,2,67,38,0,23,13,19,0,0,0,0,0,5.80,2012
28,Vernon Davis,TE,8,SF,ARI,2,2,100,34,0,25,17,17,0,0,0,0,0,5.40,2012
