Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Lawrence Tynes,K,8,NYG,DAL,5,5,100,43,2,2,0.00,2012
2,Justin Medlock,K,8,CAR,CHI,5,5,100,45,1,1,0.00,2012
3,Sebastian Janikowski,K,8,OAK,KC,4,4,100,36,2,2,0.00,2012
4,Connor Barth,K,8,TB,MIN,3,3,100,40,3,3,0.00,2012
5,Dan Carpenter,K,8,MIA,NYJ,3,3,100,42,3,3,0.00,2012
6,Matt Bryant,K,8,ATL,PHI,3,3,100,43,3,3,0.00,2012
7,Ryan Succop,K,8,KC,OAK,3,3,100,52,1,1,0.00,2012
8,Matt Prater,K,8,DEN,NO,2,2,100,33,4,4,0.00,2012
9,Josh Scobee,K,8,JAX,GB,3,3,100,38,0,0,0.00,2012
10,Shaun Suisham,K,8,PIT,WAS,2,2,100,48,3,3,0.00,2012
11,Stephen Gostkowski,K,8,NE,LAR,1,1,100,26,6,6,0.00,2012
12,Dan Bailey,K,8,DAL,NYG,1,1,100,51,3,3,0.00,2012
13,Blair Walsh,K,8,MIN,TB,1,1,100,51,2,2,0.00,2012
14,Rob Bironas,K,8,TEN,IND,2,3,67,39,1,1,0.00,2012
15,Adam Vinatieri,K,8,IND,TEN,2,3,67,44,1,1,0.00,2012
16,Nick Novak,K,8,LAC,CLE,2,2,100,43,0,0,0.00,2012
17,Steven Hauschka,K,8,SEA,DET,1,2,50,23,3,3,0.00,2012
18,Mason Crosby,K,8,GB,JAX,1,2,50,25,3,3,0.00,2012
19,Kai Forbath,K,8,WAS,PIT,2,2,100,48,0,0,0.00,2012
20,David Akers,K,8,SF,ARI,1,1,100,43,3,3,0.00,2012
21,Robbie Gould,K,8,CHI,CAR,1,2,50,41,2,2,0.00,2012
22,Alex Henery,K,8,PHI,ATL,1,1,100,33,2,2,0.00,2012
23,Jason Hanson,K,8,DET,SEA,0,0,0,0,4,4,0.00,2012
24,Nick Folk,K,8,NYJ,MIA,1,2,50,38,0,0,0.00,2012
25,Jay Feely,K,8,ARI,SF,1,1,100,28,0,0,0.00,2012
26,Garrett Hartley,K,8,NO,DEN,0,0,0,0,2,2,0.00,2012
27,Phil Dawson,K,8,CLE,LAC,0,0,0,0,1,1,0.00,2012
28,Greg Zuerlein,K,8,LAR,NE,0,0,0,0,1,1,0.00,2012
