Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Justin Forsett,RB,12,BAL,NO,22,182,8,2,2,2,8,0,0,0,36.00,2014
2,CJ Anderson,RB,12,DEN,MIA,27,167,6,1,4,4,28,0,0,0,32.50,2014
3,Eddie Lacy,RB,12,GB,MIN,25,125,5,1,2,2,13,1,0,0,30.80,2014
4,Matt Forte,RB,12,CHI,TB,23,89,4,2,6,5,23,0,0,0,28.20,2014
5,Latavius Murray,RB,12,OAK,KC,4,112,28,2,0,0,0,0,1,0,26.20,2014
6,LeSean McCoy,RB,12,PHI,TEN,21,130,6,1,1,1,1,0,0,0,23.10,2014
7,Alfred Morris,RB,12,WAS,SF,21,125,6,1,1,1,5,0,0,0,23.00,2014
8,Ryan Mathews,RB,12,LAC,LAR,12,105,9,1,2,2,8,0,0,0,22.30,2014
9,Jamaal Charles,RB,12,KC,OAK,19,80,4,0,7,4,42,1,1,0,22.20,2014
10,Isaiah Crowell,RB,12,CLE,ATL,12,88,7,2,0,0,0,0,0,0,20.80,2014
11,Rashad Jennings,RB,12,NYG,DAL,19,52,3,0,10,8,68,0,0,0,20.00,2014
12,LeGarrette Blount,RB,12,NE,DET,12,78,7,2,0,0,0,0,0,0,19.80,2014
13,DeMarco Murray,RB,12,DAL,NYG,24,121,5,0,3,2,22,0,0,0,19.30,2014
14,Jeremy Hill,RB,12,CIN,HOU,18,87,5,1,1,1,9,0,0,0,16.60,2014
15,Shane Vereen,RB,12,NE,DET,8,12,2,0,9,8,48,0,0,0,14.00,2014
16,Dan Herron,RB,12,IND,JAX,12,65,5,0,5,5,31,0,1,1,13.60,2014
17,Fred Jackson,RB,12,BUF,NYJ,10,32,3,1,4,3,13,0,0,0,13.50,2014
18,Anthony Dixon,RB,12,BUF,NYJ,12,54,5,1,1,1,8,0,0,0,13.20,2014
19,Steven Jackson,RB,12,ATL,CLE,13,34,3,1,3,2,17,0,0,0,13.10,2014
20,Darren Sproles,RB,12,PHI,TEN,6,25,4,1,4,3,14,0,0,0,12.90,2014
21,Andre Williams,RB,12,NYG,DAL,10,35,4,1,2,1,12,0,0,0,11.70,2014
22,Jacquizz Rodgers,RB,12,ATL,CLE,3,16,5,0,3,3,11,1,0,0,11.70,2014
23,Pierre Thomas,RB,12,NO,BAL,5,19,4,0,8,6,37,0,0,0,11.60,2014
24,Andre Ellington,RB,12,ARI,SEA,10,24,2,0,8,5,39,0,0,0,11.30,2014
25,Marshawn Lynch,RB,12,SEA,ARI,15,39,3,0,4,3,43,0,0,0,11.20,2014
26,Dexter McCluster,RB,12,TEN,PHI,1,2,2,0,4,3,15,1,0,0,10.70,2014
27,Trent Richardson,RB,12,IND,JAX,13,42,3,1,1,0,0,0,0,0,10.20,2014
28,Denard Robinson,RB,12,JAX,IND,14,25,2,0,5,4,47,0,1,1,10.20,2014
29,Daniel Thomas,RB,12,MIA,DEN,3,19,6,1,0,0,0,0,0,0,9.90,2014
30,Tre Mason,RB,12,LAR,LAC,16,62,4,0,2,1,26,0,0,0,9.80,2014
31,Alfred Blue,RB,12,HOU,CIN,16,46,3,0,4,3,20,0,0,0,9.60,2014
32,Jerick McKinnon,RB,12,MIN,GB,15,54,4,0,3,3,9,0,0,0,9.30,2014
33,Chris Johnson,RB,12,NYJ,BUF,7,40,6,0,4,3,22,0,0,0,9.20,2014
34,Giovani Bernard,RB,12,CIN,HOU,17,45,3,0,3,2,22,0,0,0,8.70,2014
35,Theo Riddick,RB,12,DET,NE,2,12,6,0,6,3,40,0,0,0,8.20,2014
36,Terrance West,RB,12,CLE,ATL,14,62,4,0,1,1,9,0,1,0,8.10,2014
37,Toby Gerhart,RB,12,JAX,IND,4,31,8,0,4,3,19,0,0,0,8.00,2014
38,Branden Oliver,RB,12,LAC,LAR,6,17,3,0,4,4,23,0,0,0,8.00,2014
39,Jonathan Grimes,RB,12,HOU,CIN,2,16,8,0,4,3,32,0,0,0,7.80,2014
40,Lamar Miller,RB,12,MIA,DEN,12,59,5,0,1,1,8,0,0,0,7.70,2014
41,Shonn Greene,RB,12,TEN,PHI,6,15,3,1,0,0,0,0,0,0,7.50,2014
42,Joe Banyard,RB,12,MIN,GB,5,26,5,0,3,3,19,0,0,0,7.50,2014
43,Bruce Miller,FB,12,SF,WAS,0,0,0,0,3,3,40,0,0,0,7.00,2014
44,Chris Ivory,RB,12,NYJ,BUF,7,31,4,0,3,3,7,0,0,0,6.80,2014
45,Carlos Hyde,RB,12,SF,WAS,7,16,2,1,0,0,0,0,1,1,6.60,2014
46,Mark Ingram,RB,12,NO,BAL,11,27,3,0,2,2,15,0,1,0,6.20,2014
47,Bishop Sankey,RB,12,TEN,PHI,10,37,4,0,2,2,14,0,1,1,6.10,2014
48,Bobby Rainey,RB,12,TB,CHI,1,3,3,0,6,4,18,0,0,0,6.10,2014
49,Joique Bell,RB,12,DET,NE,19,48,3,0,2,1,-2,0,0,0,5.60,2014
50,Marcel Reece,FB,12,OAK,KC,8,37,5,0,5,1,8,0,0,0,5.50,2014
