Rank,Player,Position,Week,Team,Opponent,TFL,Sacks,QBHits,Interceptions,FumRec,Safeties,DefTD,ReturnTD,PtsAllowed,Points,Year
1,Washington Redskins,DST,7,WAS,CHI,6,4,8,4,2,0,1,0,14,26.00,2010
2,Cleveland Browns,DST,7,CLE,NO,5,3,9,4,0,0,2,0,17,24.00,2010
3,Chicago Bears,DST,7,CHI,WAS,6,2,6,2,1,0,1,0,17,18.00,2010
4,Oakland Raiders,DST,7,OAK,DEN,3,4,5,1,2,0,1,0,14,17.00,2010
5,Seattle Seahawks,DST,7,SEA,ARI,1,2,4,1,4,0,0,0,10,16.00,2010
6,Tennessee Titans,DST,7,TEN,PHI,2,1,6,2,2,0,1,0,19,16.00,2010
7,Kansas City Chiefs,DST,7,KC,JAX,4,1,7,2,1,0,1,0,20,14.00,2010
8,Dallas Cowboys,DST,7,DAL,NYG,3,1,2,3,2,0,0,1,41,13.00,2010
9,Green Bay Packers,DST,7,GB,MIN,4,1,6,3,0,0,1,0,24,13.00,2010
10,San Francisco 49ers,DST,7,SF,CAR,3,1,7,1,2,0,1,0,23,13.00,2010
11,New England Patriots,DST,7,NE,LAC,4,2,2,1,3,0,0,0,20,11.00,2010
12,Baltimore Ravens,DST,7,BAL,BUF,5,1,2,2,2,0,0,0,34,8.00,2010
13,Philadelphia Eagles,DST,7,PHI,TEN,5,3,2,2,1,0,0,0,37,8.00,2010
14,Arizona Cardinals,DST,7,ARI,SEA,9,5,8,0,1,0,0,0,22,7.00,2010
15,Miami Dolphins,DST,7,MIA,PIT,7,3,3,0,2,0,0,0,23,7.00,2010
16,Cincinnati Bengals,DST,7,CIN,ATL,2,0,2,1,1,0,1,0,39,6.00,2010
17,Atlanta Falcons,DST,7,ATL,CIN,6,3,5,0,1,0,0,0,32,5.00,2010
18,Carolina Panthers,DST,7,CAR,SF,7,2,7,1,0,0,0,0,20,5.00,2010
19,Minnesota Vikings,DST,7,MIN,GB,3,0,3,2,0,0,0,0,28,4.00,2010
20,Los Angeles Chargers,DST,7,LAC,NE,6,4,4,0,0,0,0,0,23,4.00,2010
21,Los Angeles Rams,DST,7,LAR,TB,3,3,7,0,0,0,0,0,18,4.00,2010
22,Tampa Bay Buccaneers,DST,7,TB,LAR,0,1,3,0,1,0,0,0,17,4.00,2010
23,New York Giants,DST,7,NYG,DAL,1,3,7,0,2,0,0,0,35,3.00,2010
24,Pittsburgh Steelers,DST,7,PIT,MIA,2,1,2,0,1,0,0,0,22,3.00,2010
25,Buffalo Bills,DST,7,BUF,BAL,1,2,3,0,2,0,0,0,37,2.00,2010
26,New Orleans Saints,DST,7,NO,CLE,6,1,5,0,0,0,0,0,30,2.00,2010
27,Denver Broncos,DST,7,DEN,OAK,5,2,3,0,0,0,0,0,59,-2.00,2010
28,Jacksonville Jaguars,DST,7,JAX,KC,5,1,6,0,0,0,0,0,42,-3.00,2010
