Player,Position,Team,Opponent,Points
Eli Manning,QB,NYG,ATL,29.36
Ben Roethlisberger,QB,PIT,KC,29.32
Aaron Rodgers,QB,GB,SF,26.06
Brett Favre,QB,MIN,SEA,24.52
Matt Schaub,QB,HOU,TEN,23.20
Tom Brady,QB,NE,NYJ,20.30
Alex Smith,QB,SF,GB,20.28
Drew Brees,QB,NO,TB,19.48
Matt Ryan,QB,ATL,NYG,19.12
Carson Palmer,QB,CIN,OAK,18.98
Donovan McNabb,QB,PHI,CHI,17.26
Matt Cassel,QB,KC,PIT,16.82
Kurt Warner,QB,ARI,LAR,15.12
Vince Young,QB,TEN,HOU,14.94
Ryan Fitzpatrick,QB,BUF,JAX,14.38
David Garrard,QB,JAX,BUF,14.20
Bruce Gradkowski,QB,OAK,CIN,14.12
Peyton Manning,QB,IND,BAL,13.86
Jake Delhomme,QB,CAR,MIA,13.78
Jay Cutler,QB,CHI,PHI,12.94
Chad Henne,QB,MIA,CAR,10.88
Philip Rivers,QB,LAC,DEN,9.80
Tony Romo,QB,DAL,WAS,9.72
Jason Campbell,QB,WAS,DAL,9.24
Joe Flacco,QB,BAL,IND,9.04
Matt Hasselbeck,QB,SEA,MIN,8.64
Josh Freeman,QB,TB,NO,8.04
Marc Bulger,QB,LAR,ARI,7.90
Tarvaris Jackson,QB,MIN,SEA,7.58
Kyle Orton,QB,DEN,LAC,5.84
Mark Sanchez,QB,NYJ,NE,4.64
Michael Vick,QB,PHI,CHI,3.40
Matt Leinart,QB,ARI,LAR,2.86
Charlie Batch,QB,PIT,KC,0.68
Kellen Clemens,QB,NYJ,NE,0.00
Matt Flynn,QB,GB,SF,0.00
Mark Brunell,QB,NO,TB,-0.30
Chris Simms,QB,DEN,LAC,-0.60
Seneca Wallace,QB,SEA,MIN,-0.90
Calvin Johnson,WR,DET,CLE,32.10
Hines Ward,WR,PIT,KC,31.80
DeSean Jackson,WR,PHI,CHI,27.70
Anquan Boldin,WR,ARI,LAR,27.30
Sidney Rice,WR,MIN,SEA,26.90
Greg Jennings,WR,GB,SF,26.60
Derrick Mason,WR,BAL,IND,26.20
Mohamed Massaquoi,WR,CLE,DET,25.50
Mike Sims-Walker,WR,JAX,BUF,23.10
Larry Fitzgerald,WR,ARI,LAR,22.70
Steve Smith,WR,CAR,MIA,21.70
Mario Manningham,WR,NYG,ATL,21.60
Pierre Garcon,WR,IND,BAL,19.10
Nate Burleson,WR,SEA,MIN,19.00
Percy Harvin,WR,MIN,SEA,18.90
Chris Chambers,WR,KC,PIT,18.90
Chansi Stuckey,WR,CLE,DET,18.60
Andre Johnson,WR,HOU,TEN,17.80
Michael Crabtree,WR,SF,GB,17.70
Jerricho Cotchery,WR,NYJ,NE,17.40
Reggie Wayne,WR,IND,BAL,15.90
Santonio Holmes,WR,PIT,KC,15.60
Robert Meachem,WR,NO,TB,15.00
Randy Moss,WR,NE,NYJ,14.40
Kenny Britt,WR,TEN,HOU,14.20
Michael Jenkins,WR,ATL,NYG,13.60
Joshua Cribbs,WR,CLE,DET,13.50
Jason Avant,WR,PHI,CHI,12.60
Marques Colston,WR,NO,TB,12.40
Jeremy Maclin,WR,PHI,CHI,12.40
Davone Bess,WR,MIA,CAR,12.30
Steve Smith,WR,NYG,ATL,11.90
Hakeem Nicks,WR,NYG,ATL,11.50
Jordy Nelson,WR,GB,SF,11.10
Brandon Gibson,WR,LAR,ARI,11.10
Donnie Avery,WR,LAR,ARI,10.90
Chad Johnson,WR,CIN,OAK,10.70
Earl Bennett,WR,CHI,PHI,10.70
David Anderson,WR,HOU,TEN,10.20
Danny Amendola,WR,LAR,ARI,10.10
Louis Murphy,WR,OAK,CIN,9.90
Vincent Jackson,WR,LAC,DEN,9.60
Antwaan Randle El,WR,WAS,DAL,9.50
Bernard Berrian,WR,MIN,SEA,9.10
Donald Driver,WR,GB,SF,9.00
Michael Clayton,WR,TB,NO,8.80
Santana Moss,WR,WAS,DAL,8.80
Miles Austin,WR,DAL,WAS,8.70
Heath Miller,TE,PIT,KC,22.50
Tony Gonzalez,TE,ATL,NYG,22.20
Visanthe Shiancoe,TE,MIN,SEA,21.80
Brandon Pettigrew,TE,DET,CLE,19.20
Zach Miller,TE,OAK,CIN,17.50
David Thomas,TE,NO,TB,16.60
Tom Santi,TE,IND,BAL,13.00
Jermichael Finley,TE,GB,SF,12.40
Leonard Pope,TE,KC,PIT,10.60
Greg Olsen,TE,CHI,PHI,10.20
Marcedes Lewis,TE,JAX,BUF,10.00
Kellen Davis,TE,CHI,PHI,9.70
Jason Witten,TE,DAL,WAS,9.30
Will Heller,TE,DET,CLE,9.20
Michael Gaines,TE,CLE,DET,8.50
Dante Rosario,TE,CAR,MIA,8.00
Kellen Winslow,TE,TB,NO,7.90
Bo Scaife,TE,TEN,HOU,7.80
Brent Celek,TE,PHI,CHI,7.50
Dallas Clark,TE,IND,BAL,7.30
Martellus Bennett,TE,DAL,WAS,7.30
Antonio Gates,TE,LAC,DEN,7.10
Justin Peelle,TE,ATL,NYG,7.10
Dustin Keller,TE,NYJ,NE,6.80
Gary Barnidge,TE,CAR,MIA,6.60
James Casey,TE,HOU,TEN,5.30
Fred Davis,TE,WAS,DAL,4.40
Alge Crumpler,TE,TEN,HOU,3.80
Ben Patrick,TE,ARI,LAR,3.70
Jeremy Shockey,TE,NO,TB,3.70
Randy McMichael,TE,LAR,ARI,3.70
Shawn Nelson,TE,BUF,JAX,3.50
Todd Heap,TE,BAL,IND,3.50
Joel Dreessen,TE,HOU,TEN,3.30
JP Foschi,TE,CIN,OAK,3.20
Greg Estandia,TE,CLE,DET,2.80
Tony Scheffler,TE,DEN,LAC,2.20
Mike Sellers,TE,WAS,DAL,1.70
Matt Spaeth,TE,PIT,KC,1.70
Billy Bajema,TE,LAR,ARI,1.60
LJ Smith,TE,BAL,IND,1.50
Jerramy Stevens,TE,TB,NO,1.50
Isaiah Stanback,TE,NE,NYJ,1.50
David Johnson,TE,PIT,KC,1.50
Daniel Graham,TE,DEN,LAC,1.40
Jacob Tamme,TE,IND,BAL,0.00
Robert Royal,TE,CLE,DET,0.00
Kris Wilson,TE,LAC,DEN,0.00
Ryan Grant,RB,GB,SF,25.50
Jason Snelling,RB,ATL,NYG,23.90
Justin Forsett,RB,SEA,MIN,22.90
Steven Jackson,RB,LAR,ARI,22.60
Rashard Mendenhall,RB,PIT,KC,21.60
Bernard Scott,RB,CIN,OAK,21.10
Mike Bell,RB,NO,TB,21.00
Rock Cartwright,RB,WAS,DAL,21.00
Jamaal Charles,RB,KC,PIT,20.60
Ray Rice,RB,BAL,IND,20.50
DeAngelo Williams,RB,CAR,MIA,19.10
Laurence Maroney,RB,NE,NYJ,18.70
Maurice Jones-Drew,RB,JAX,BUF,18.40
Chris Johnson,RB,TEN,HOU,18.10
Tim Hightower,RB,ARI,LAR,17.50
Steve Slaton,RB,HOU,TEN,17.30
Chris Wells,RB,ARI,LAR,16.50
Frank Gore,RB,SF,GB,15.80
Joseph Addai,RB,IND,BAL,15.10
LeSean McCoy,RB,PHI,CHI,14.90
Brandon Jackson,RB,GB,SF,14.10
Adrian Peterson,RB,MIN,SEA,13.80
LaDainian Tomlinson,RB,LAC,DEN,13.30
Pierre Thomas,RB,NO,TB,13.30
Thomas Jones,RB,NYJ,NE,13.30
Brandon Jacobs,RB,NYG,ATL,13.20
Mike Tolbert,FB,LAC,DEN,12.90
