,Player,Position,Team,Opponent,Points,PlayerID
0,Eli Manning,QB,NYG,ATL,29.36,00-0022803
1,Ben Roethlisberger,QB,PIT,KC,29.32,00-0022924
2,Aaron Rodgers,QB,GB,SF,26.06,00-0023459
3,Brett Favre,QB,MIN,SEA,24.52,00-0005106
4,Matt Schaub,QB,HOU,TEN,23.2,00-0022787
5,Tom Brady,QB,NE,NYJ,20.3,00-0019596
6,Alex Smith,QB,SF,GB,20.28,00-0023436
7,Drew Brees,QB,NO,TB,19.48,00-0020531
8,Matt Ryan,QB,ATL,NYG,19.12,00-0026143
9,Carson Palmer,QB,CIN,OAK,18.98,00-0021429
10,Donovan McNabb,QB,PHI,CHI,17.26,00-0011022
11,Matt Cassel,QB,KC,PIT,16.82,00-0023662
12,Kurt Warner,QB,ARI,LAR,15.12,00-0017200
13,Vince Young,QB,TEN,HOU,14.94,00-0024218
14,Ryan Fitzpatrick,QB,BUF,JAX,14.38,00-0023682
15,David Garrard,QB,JAX,BUF,14.2,00-0021231
16,Bruce Gradkowski,QB,OAK,CIN,14.12,00-0024408
17,Peyton Manning,QB,IND,BAL,13.86,00-0010346
18,Jake Delhomme,QB,CAR,MIA,13.78,00-0004161
19,Jay Cutler,QB,CHI,PHI,12.94,00-0024226
20,Chad Henne,QB,MIA,CAR,10.88,00-0026197
21,Philip Rivers,QB,LAC,DEN,9.8,00-0022942
22,Tony Romo,QB,DAL,WAS,9.72,00-0021678
23,Jason Campbell,QB,WAS,DAL,9.24,00-0023460
24,Joe Flacco,QB,BAL,IND,9.04,00-0026158
25,Matt Hasselbeck,QB,SEA,MIN,8.64,00-0007091
26,Josh Freeman,QB,TB,NO,8.04,00-0026993
27,Marc Bulger,QB,LA,ARI,7.9,00-0019599
28,Tarvaris Jackson,QB,MIN,SEA,7.58,00-0024279
29,Kyle Orton,QB,DEN,LAC,5.84,00-0023541
30,Mark Sanchez,QB,NYJ,NE,4.64,00-0026898
31,Michael Vick,QB,PHI,CHI,3.4,
32,Matt Leinart,QB,ARI,LAR,2.86,00-0024225
33,Charlie Batch,QB,PIT,KC,0.68,00-0000865
34,Kellen Clemens,QB,NYJ,NE,0.0,00-0024264
35,Matt Flynn,QB,GB,SF,0.0,00-0026349
36,Mark Brunell,QB,NO,TB,-0.3,00-0002110
37,Chris Simms,QB,DEN,LAC,-0.6,00-0022005
38,Seneca Wallace,QB,SEA,MIN,-0.9,00-0022055
39,Calvin Johnson,WR,DET,CLE,32.1,00-0025389
40,Hines Ward,WR,PIT,KC,31.8,00-0017162
41,DeSean Jackson,WR,PHI,CHI,27.7,00-0026189
42,Anquan Boldin,WR,ARI,LAR,27.3,00-0022084
43,Sidney Rice,WR,MIN,SEA,26.9,00-0025431
44,Greg Jennings,WR,GB,SF,26.6,00-0024267
45,Derrick Mason,WR,BAL,IND,26.2,00-0010500
46,Mohamed Massaquoi,WR,CLE,DET,25.5,00-0027026
47,Mike Sims-Walker,WR,JAX,BUF,23.1,00-0025466
48,Larry Fitzgerald,WR,ARI,LAR,22.7,00-0022921
49,Steve Smith,WR,CAR,MIA,21.7,
50,Mario Manningham,WR,NYG,ATL,21.6,00-0026235
51,Pierre Garcon,WR,IND,BAL,19.1,00-0026345
52,Nate Burleson,WR,SEA,MIN,19.0,00-0021999
53,Percy Harvin,WR,MIN,SEA,18.9,00-0026998
54,Chris Chambers,WR,KC,PIT,18.9,00-0020446
55,Chansi Stuckey,WR,CLE,DET,18.6,00-0025622
56,Andre Johnson,WR,HOU,TEN,17.8,00-0022044
57,Michael Crabtree,WR,SF,GB,17.7,00-0026986
58,Jerricho Cotchery,WR,NYJ,NE,17.4,00-0022811
