Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Reggie Wayne,WR,8,IND,SF,20,12,60,147,1,32,7,12,0,0,0,0,0,35.70,2009
2,Vincent Jackson,WR,8,LAC,OAK,12,8,67,103,1,20,9,13,0,0,0,0,0,27.30,2009
3,Roddy White,WR,8,ATL,NO,13,4,31,108,1,68,8,27,0,0,0,0,0,23.80,2009
4,Greg Jennings,WR,8,GB,MIN,11,7,64,81,1,30,7,12,0,0,0,0,0,21.10,2009
5,Marques Colston,WR,8,NO,ATL,6,6,100,85,1,29,14,14,0,0,0,0,0,20.50,2009
6,Percy Harvin,WR,8,MIN,GB,7,5,71,84,1,51,12,17,1,2,0,0,0,19.60,2009
7,Miles Austin,WR,8,DAL,SEA,7,5,71,61,1,17,9,12,1,11,0,0,0,18.20,2009
8,Terrell Owens,WR,8,BUF,HOU,8,5,63,39,0,14,5,8,1,29,1,1,0,17.80,2009
9,Braylon Edwards,WR,8,NYJ,MIA,8,4,50,74,1,25,9,19,0,0,0,0,0,17.40,2009
10,DeSean Jackson,WR,8,PHI,NYG,4,3,75,78,1,54,20,26,0,0,0,0,0,16.80,2009
11,Steve Smith,WR,8,CAR,ARI,7,3,43,56,1,50,8,19,1,17,0,0,0,16.30,2009
12,Steve Smith,WR,8,NYG,PHI,12,8,67,68,0,16,6,9,0,0,0,0,0,14.80,2009
13,Jeremy Maclin,WR,8,PHI,NYG,4,4,100,47,1,23,12,12,0,0,0,0,0,14.70,2009
14,Devin Hester,WR,8,CHI,CLE,8,7,88,81,0,33,10,12,1,-5,0,0,0,14.60,2009
15,Andre Johnson,WR,8,HOU,BUF,10,6,60,63,0,18,6,11,0,0,0,0,0,14.30,2009
16,Derrick Mason,WR,8,BAL,DEN,5,4,80,40,1,20,8,10,0,0,0,0,0,14.00,2009
17,Nate Burleson,WR,8,SEA,DAL,12,6,50,89,0,36,7,15,0,0,0,1,1,13.90,2009
18,Bernard Berrian,WR,8,MIN,GB,6,3,50,47,1,19,8,16,0,0,0,0,0,13.70,2009
19,Michael Crabtree,WR,8,SF,IND,9,6,67,81,0,27,9,14,0,0,0,1,1,13.10,2009
