,Player,Position,Team,Opponent,Points,PlayerID
0,Mark Sanchez,QB,NYJ,MIA,25.2,00-0026898
1,Donovan McNabb,QB,PHI,NYG,23.1,00-0011022
2,Tony Romo,QB,DAL,SEA,22.24,00-0021678
3,Drew Brees,QB,NO,ATL,21.62,00-0020531
4,Matt Hasselbeck,QB,SEA,DAL,17.96,00-0007091
5,Peyton Manning,QB,IND,SF,16.88,00-0010346
6,Eli Manning,QB,NYG,PHI,14.28,00-0022803
7,Matthew Stafford,QB,DET,LAR,14.12,00-0026498
8,Matt Ryan,QB,ATL,NO,13.46,00-0026143
9,Philip Rivers,QB,LAC,OAK,12.76,00-0022942
10,Kurt Warner,QB,ARI,CAR,12.48,00-0017200
11,Vince Young,QB,TEN,JAX,12.0,00-0024218
12,Alex Smith,QB,SF,IND,11.92,00-0023436
13,Joe Flacco,QB,BAL,DEN,11.5,00-0026158
14,Jay Cutler,QB,CHI,CLE,11.2,00-0024226
15,Matt Schaub,QB,HOU,BUF,11.02,00-0022787
16,Jake Delhomme,QB,CAR,ARI,8.3,00-0004161
17,Chad Henne,QB,MIA,NYJ,7.98,00-0026197
18,Kyle Orton,QB,DEN,BAL,7.18,00-0023541
19,Marc Bulger,QB,LA,DET,6.14,00-0019599
20,Derek Anderson,QB,CLE,CHI,6.14,00-0023645
21,David Garrard,QB,JAX,TEN,5.76,00-0021231
22,JaMarcus Russell,QB,OAK,LAC,3.46,00-0025388
23,Ryan Fitzpatrick,QB,BUF,HOU,2.68,00-0023682
24,Brady Quinn,QB,CLE,CHI,0.36,00-0025409
25,Michael Vick,QB,PHI,NYG,0.3,
26,Matt Flynn,QB,GB,MIN,0.12,00-0026349
27,Kellen Clemens,QB,NYJ,MIA,0.0,00-0024264
28,Seneca Wallace,QB,SEA,DAL,0.0,00-0022055
29,Luke McCown,QB,JAX,TEN,0.0,00-0022864
30,Mark Brunell,QB,NO,ATL,0.0,00-0002110
31,Pat White,QB,MIA,NYJ,0.0,00-0027020
32,Matt Moore,QB,CAR,ARI,-0.1,00-0025708
33,Roddy White,WR,ATL,NO,23.8,00-0023462
34,Greg Jennings,WR,GB,MIN,21.1,00-0024267
35,Marques Colston,WR,NO,ATL,20.5,00-0024466
36,Percy Harvin,WR,MIN,GB,19.6,00-0026998
37,Miles Austin,WR,DAL,SEA,18.2,00-0023921
38,Terrell Owens,WR,BUF,HOU,17.8,00-0012478
39,Braylon Edwards,WR,NYJ,MIA,17.4,00-0023438
40,DeSean Jackson,WR,PHI,NYG,16.8,00-0026189
41,Steve Smith,WR,CAR,ARI,16.3,
42,Steve Smith,WR,NYG,PHI,14.8,
43,Jeremy Maclin,WR,PHI,NYG,14.7,00-0026995
44,Devin Hester,WR,CHI,CLE,14.6,00-0024272
45,Andre Johnson,WR,HOU,BUF,14.3,00-0022044
46,Derrick Mason,WR,BAL,DEN,14.0,00-0010500
47,Nate Burleson,WR,SEA,DAL,13.9,00-0021999
48,Bernard Berrian,WR,MIN,GB,13.7,00-0022807
49,Michael Crabtree,WR,SF,IND,13.1,00-0026986
50,Deion Branch,WR,SEA,DAL,12.6,00-0021192
51,Austin Collie,WR,IND,SF,12.6,00-0027092
52,Larry Fitzgerald,WR,ARI,CAR,12.6,00-0022921
53,Donald Driver,WR,GB,MIN,12.3,00-0004541
54,Ted Ginn,WR,MIA,NYJ,12.0,00-0025396
55,Patrick Crayton,WR,DAL,SEA,11.8,00-0022766
56,Steve Breaston,WR,ARI,CAR,11.7,00-0025529
57,Sam Hurd,WR,DAL,SEA,10.6,00-0023953
58,Michael Jenkins,WR,ATL,NO,10.6,00-0022781
59,Keenan Burton,WR,LA,DET,10.4,00-0026268
60,Nate Washington,WR,TEN,JAX,10.2,00-0023367
61,Mike Thomas,WR,JAX,TEN,10.2,00-0033114
62,Jerricho Cotchery,WR,NYJ,MIA,10.1,00-0022811
63,Roy Williams,WR,DAL,SEA,9.9,
64,Kelley Washington,WR,BAL,DEN,9.8,00-0022171
65,Hakeem Nicks,WR,NYG,PHI,9.3,00-0027005
66,Pierre Garcon,WR,IND,SF,9.3,00-0026345
67,Isaac Bruce,WR,SF,IND,9.1,00-0002099
68,Devery Henderson,WR,NO,ATL,8.6,00-0022929
69,Malcom Floyd,WR,LAC,OAK,8.4,00-0022414
