Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Aaron Rodgers,QB,8,GB,MIN,26,41,63,287,7,3,0,108,5,52,10,0,28.68,2009
2,Brett Favre,QB,8,MIN,GB,17,28,61,244,9,4,0,129,1,0,0,0,25.76,2009
3,Mark Sanchez,QB,8,NYJ,MIA,20,35,57,265,8,2,0,100,4,6,2,1,25.20,2009
4,Donovan McNabb,QB,8,PHI,NYG,17,23,74,240,10,3,0,147,1,14,14,0,23.10,2009
5,Tony Romo,QB,8,DAL,SEA,21,36,58,256,7,3,0,108,1,10,10,0,22.24,2009
6,Drew Brees,QB,8,NO,ATL,25,33,76,308,9,2,1,112,2,3,2,0,21.62,2009
7,Matt Hasselbeck,QB,8,SEA,DAL,22,39,56,249,6,2,0,93,0,0,0,0,17.96,2009
8,Peyton Manning,QB,8,IND,SF,31,48,65,347,7,0,0,86,0,0,0,0,16.88,2009
9,Eli Manning,QB,8,NYG,PHI,20,39,51,222,6,1,2,56,3,34,11,0,14.28,2009
10,Matthew Stafford,QB,8,DET,LAR,14,33,42,168,5,0,1,46,1,4,4,1,14.12,2009
11,Matt Ryan,QB,8,ATL,NO,19,42,45,289,7,1,3,47,3,9,3,0,13.46,2009
12,Philip Rivers,QB,8,LAC,OAK,16,25,64,249,10,1,1,94,4,-2,-1,0,12.76,2009
13,Kurt Warner,QB,8,ARI,CAR,27,46,59,242,5,2,5,48,1,8,8,0,12.48,2009
14,Vince Young,QB,8,TEN,JAX,15,18,83,125,7,1,0,114,12,30,3,0,12.00,2009
15,Alex Smith,QB,8,SF,IND,19,32,59,198,6,1,1,75,1,10,10,0,11.92,2009
16,Joe Flacco,QB,8,BAL,DEN,20,25,80,175,7,1,0,109,5,5,1,0,11.50,2009
17,Jay Cutler,QB,8,CHI,CLE,17,30,57,225,8,0,1,67,5,32,6,0,11.20,2009
18,Matt Schaub,QB,8,HOU,BUF,25,34,74,268,8,0,2,72,8,3,0,0,11.02,2009
19,Jake Delhomme,QB,8,CAR,ARI,7,14,50,90,6,1,0,94,1,7,7,0,8.30,2009
20,Chad Henne,QB,8,MIA,NYJ,12,21,57,112,5,1,0,88,3,-5,-2,0,7.98,2009
21,Kyle Orton,QB,8,DEN,BAL,23,37,62,152,4,0,0,71,1,11,11,0,7.18,2009
22,Marc Bulger,QB,8,LAR,DET,17,35,49,176,5,0,1,52,3,1,0,0,6.14,2009
23,Derek Anderson,QB,8,CLE,CHI,6,17,35,76,5,0,2,11,2,1,1,1,6.14,2009
24,David Garrard,QB,8,JAX,TEN,14,27,52,139,5,0,2,36,3,22,7,0,5.76,2009
25,JaMarcus Russell,QB,8,OAK,LAC,14,22,64,109,5,0,1,57,1,1,1,0,3.46,2009
26,Ryan Fitzpatrick,QB,8,BUF,HOU,15,23,65,117,5,0,2,41,0,0,0,0,2.68,2009
27,Brady Quinn,QB,8,CLE,CHI,1,3,33,9,3,0,0,42,0,0,0,0,0.36,2009
28,Michael Vick,QB,8,PHI,NYG,0,0,0,0,0,0,0,0,2,3,2,0,0.30,2009
29,Matt Flynn,QB,8,GB,MIN,1,1,100,3,3,0,0,79,0,0,0,0,0.12,2009
30,Seneca Wallace,QB,8,SEA,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
31,Pat White,QB,8,MIA,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
32,Kellen Clemens,QB,8,NYJ,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
33,Luke McCown,QB,8,JAX,TEN,0,2,0,0,0,0,0,40,0,0,0,0,0.00,2009
34,Mark Brunell,QB,8,NO,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
35,Matt Moore,QB,8,CAR,ARI,0,1,0,0,0,0,0,40,1,-1,-1,0,-0.10,2009
