Player,Position,Team,Opponent,Points
Carson Palmer,QB,ARI,NO,23.72
Cam Newton,QB,CAR,WAS,23.00
Matt Barkley,QB,CHI,GB,21.48
Russell Wilson,QB,SEA,LAR,21.36
Matt Ryan,QB,ATL,SF,19.34
Dak Prescott,QB,DAL,TB,19.16
Andrew Luck,QB,IND,MIN,18.80
Robert Griffin III,QB,CLE,BUF,18.64
Colin Kaepernick,QB,SF,ATL,17.42
Eli Manning,QB,NYG,DET,16.04
Tyrod Taylor,QB,BUF,CLE,15.86
Philip Rivers,QB,LAC,OAK,15.24
Ben Roethlisberger,QB,PIT,CIN,14.94
Kirk Cousins,QB,WAS,CAR,14.70
Jameis Winston,QB,TB,DAL,14.48
Joe Flacco,QB,BAL,PHI,14.14
Alex Smith,QB,KC,TEN,12.62
Carson Wentz,QB,PHI,BAL,12.60
Derek Carr,QB,OAK,LAC,12.02
Aaron Rodgers,QB,GB,CHI,11.98
Andy Dalton,QB,CIN,PIT,11.38
Matthew Stafford,QB,DET,NYG,11.22
Trevor Siemian,QB,DEN,NE,10.68
Tom Savage,QB,HOU,JAX,10.40
Bryce Petty,QB,NYJ,MIA,10.40
Sam Bradford,QB,MIN,IND,9.64
Blake Bortles,QB,JAX,HOU,8.18
Marcus Mariota,QB,TEN,KC,7.44
Tom Brady,QB,NE,DEN,7.42
Jared Goff,QB,LAR,SEA,5.40
Ryan Fitzpatrick,QB,NYJ,MIA,1.34
Case Keenum,QB,LAR,SEA,1.28
Matt Schaub,QB,ATL,SF,0.64
EJ Manuel,QB,BUF,CLE,0.10
Kellen Clemens,QB,LAC,OAK,0.00
Scott Tolzien,QB,IND,MIN,0.00
Joe Webb,QB,CAR,WAS,0.00
Brock Osweiler,QB,HOU,JAX,-0.08
Golden Tate,WR,DET,NYG,23.20
Jarvis Landry,WR,MIA,NYJ,22.80
Jordy Nelson,WR,GB,CHI,22.40
Cameron Meredith,WR,CHI,GB,22.40
Deonte Thompson,WR,CHI,GB,22.00
DeSean Jackson,WR,WAS,CAR,21.10
Alshon Jeffery,WR,CHI,GB,20.90
Odell Beckham Jr,WR,NYG,DET,19.30
John Brown,WR,ARI,NO,19.10
Eli Rogers,WR,PIT,CIN,18.50
Michael Thomas,WR,NO,ARI,18.20
Aldrick Robinson,WR,ATL,SF,18.10
Robby Anderson,WR,NYJ,MIA,18.00
Michael Crabtree,WR,OAK,LAC,18.00
DeAndre Hopkins,WR,HOU,JAX,16.70
Rishard Matthews,WR,TEN,KC,16.50
Ted Ginn,WR,CAR,WAS,16.40
Dez Bryant,WR,DAL,TB,16.20
Demaryius Thomas,WR,DEN,NE,16.10
Brandon LaFell,WR,CIN,PIT,16.10
Sterling Shepard,WR,NYG,DET,15.60
Willie Snead,WR,NO,ARI,15.60
Taylor Gabriel,WR,ATL,SF,15.00
JJ Nelson,WR,ARI,NO,14.80
Pierre Garcon,WR,WAS,CAR,14.80
Doug Baldwin,WR,SEA,LAR,14.50
Jeremy Maclin,WR,KC,TEN,14.20
Travis Benjamin,WR,LAC,OAK,13.60
Julian Edelman,WR,NE,DEN,13.50
Adam Humphries,WR,TB,DAL,12.90
Tyreek Hill,WR,KC,TEN,12.80
Kenny Stills,WR,MIA,NYJ,12.20
Phillip Dorsett,WR,IND,MIN,12.00
Steve Smith,WR,BAL,PHI,12.00
Dontrelle Inman,WR,LAC,OAK,11.80
Larry Fitzgerald,WR,ARI,NO,11.70
Quincy Enunwa,WR,NYJ,MIA,11.40
Charles Johnson,WR,MIN,IND,10.00
Kamar Aiken,WR,BAL,PHI,9.90
Mike Evans,WR,TB,DAL,9.90
Cordarrelle Patterson,WR,MIN,IND,9.90
Rod Streater,WR,SF,ATL,9.10
Kenny Britt,WR,LAR,SEA,9.00
Antonio Brown,WR,PIT,CIN,8.80
Cole Beasley,WR,DAL,TB,8.80
Jordan Matthews,WR,PHI,BAL,8.70
Josh Bellamy,WR,CHI,GB,8.00
Mike Wallace,WR,BAL,PHI,8.00
Cameron Brate,TE,TB,DAL,18.30
Kyle Rudolph,TE,MIN,IND,17.70
Ryan Griffin,TE,HOU,JAX,16.50
Greg Olsen,TE,CAR,WAS,14.50
Jared Cook,TE,GB,CHI,14.50
Jason Witten,TE,DAL,TB,14.10
Erik Swoope,TE,IND,MIN,14.00
Zach Ertz,TE,PHI,BAL,14.00
Hunter Henry,TE,LAC,OAK,12.70
Ladarius Green,TE,PIT,CIN,12.20
Delanie Walker,TE,TEN,KC,11.50
Luke Willson,TE,SEA,LAR,10.90
Garrett Celek,TE,SF,ATL,10.20
Austin Hooper,TE,ATL,SF,7.90
Eric Ebron,TE,DET,NYG,7.60
AJ Derby,TE,DEN,NE,7.50
Jermaine Gresham,TE,ARI,NO,7.20
Jack Doyle,TE,IND,MIN,7.20
Travis Kelce,TE,KC,TEN,7.10
Will Tye,TE,NYG,DET,6.50
Vernon Davis,TE,WAS,CAR,6.30
Jeff Heuerman,TE,DEN,NE,6.00
MarQueis Gray,TE,MIA,NYJ,5.80
Blake Bell,TE,SF,ATL,5.50
