Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,DeAngelo Williams,RB,16,PIT,BAL,17,100,6,2,6,6,53,0,1,1,35.30,2015
2,Tim Hightower,RB,16,NO,JAX,27,122,5,2,3,3,47,0,0,0,34.90,2015
3,Jerick McKinnon,RB,16,MIN,NYG,7,89,13,2,3,2,8,0,0,0,23.70,2015
4,Frank Gore,RB,16,IND,MIA,15,85,6,2,4,2,10,0,0,0,23.50,2015
5,Latavius Murray,RB,16,OAK,LAC,19,79,4,1,5,5,38,0,0,0,22.70,2015
6,Javorius Allen,RB,16,BAL,PIT,17,77,5,1,5,5,35,0,0,0,22.20,2015
7,Adrian Peterson,RB,16,MIN,NYG,22,104,5,1,2,1,15,0,0,0,21.90,2015
8,David Johnson,RB,16,ARI,GB,9,39,4,1,6,3,88,0,0,0,21.70,2015
9,Charles Sims,RB,16,TB,CHI,4,45,11,0,5,3,72,1,0,0,20.70,2015
10,Mike Gillislee,RB,16,BUF,DAL,9,93,10,1,2,2,16,0,0,0,18.90,2015
11,Danny Woodhead,RB,16,LAC,OAK,11,55,5,0,10,8,53,0,0,0,18.80,2015
12,Devonta Freeman,RB,16,ATL,CAR,22,73,3,1,5,3,17,0,0,0,18.00,2015
13,Lamar Miller,RB,16,MIA,IND,15,31,2,1,6,5,36,0,0,0,17.70,2015
14,Karlos Williams,RB,16,BUF,DAL,17,76,5,1,2,2,21,0,1,1,16.70,2015
15,Travaris Cadet,RB,16,NO,JAX,1,6,6,0,5,3,69,1,0,0,16.50,2015
16,Todd Gurley,RB,16,LAR,SEA,19,83,4,1,1,1,7,0,1,0,16.00,2015
17,Pierre Thomas,RB,16,WAS,PHI,4,22,6,0,8,7,67,0,0,0,15.90,2015
18,Eddie Lacy,RB,16,GB,ARI,12,60,5,0,2,1,28,1,0,0,15.80,2015
19,Rashad Jennings,RB,16,NYG,MIN,14,74,5,0,3,2,62,0,0,0,15.60,2015
20,Theo Riddick,RB,16,DET,SF,7,20,3,0,8,7,63,0,0,0,15.30,2015
21,Isaiah Crowell,RB,16,CLE,KC,16,88,6,1,0,0,0,0,0,0,14.80,2015
22,Ka'Deem Carey,RB,16,CHI,TB,7,16,2,1,1,1,1,1,0,0,14.70,2015
23,James White,RB,16,NE,NYJ,2,4,2,0,5,5,28,1,0,0,14.20,2015
24,CJ Anderson,RB,16,DEN,CIN,9,73,8,1,2,1,8,0,1,1,14.10,2015
25,DeMarco Murray,RB,16,PHI,WAS,5,27,5,1,4,3,24,0,0,0,14.10,2015
26,Donald Brown,RB,16,LAC,OAK,14,17,1,1,4,3,33,0,0,0,14.00,2015
27,Bilal Powell,RB,16,NYJ,NE,7,56,8,0,7,5,34,0,1,0,14.00,2015
28,Darren Sproles,RB,16,PHI,WAS,5,9,2,0,9,7,56,0,1,0,13.50,2015
29,Denard Robinson,RB,16,JAX,NO,6,20,3,0,7,5,50,0,0,0,12.00,2015
30,Ronnie Hillman,RB,16,DEN,CIN,9,35,4,0,4,4,37,0,0,0,11.20,2015
31,Brandon Bolden,RB,16,NE,NYJ,9,30,3,0,7,5,30,0,0,0,11.00,2015
32,Darren McFadden,RB,16,DAL,BUF,19,99,5,0,1,1,-1,0,0,0,10.80,2015
33,Matt Forte,RB,16,CHI,TB,11,54,5,0,4,3,23,0,0,0,10.70,2015
34,Doug Martin,RB,16,TB,CHI,17,49,3,1,3,1,6,0,2,2,10.50,2015
35,Kyle Juszczyk,FB,16,BAL,PIT,0,0,0,0,7,5,55,0,0,0,10.50,2015
36,Fred Jackson,RB,16,SEA,LAR,2,11,6,0,8,5,43,0,0,0,10.40,2015
37,Joique Bell,RB,16,DET,SF,7,13,2,1,3,2,9,0,0,0,10.20,2015
38,Ryan Mathews,RB,16,PHI,WAS,4,5,1,1,3,2,13,0,0,0,9.80,2015
39,Jarryd Hayne,RB,16,SF,DET,9,27,3,0,6,5,20,0,0,0,9.70,2015
40,DuJuan Harris,RB,16,SF,DET,11,73,7,0,2,1,11,0,0,0,9.40,2015
41,Ameer Abdullah,RB,16,DET,SF,8,39,5,0,4,4,9,0,0,0,8.80,2015
42,Bishop Sankey,RB,16,TEN,HOU,2,11,6,0,4,3,43,0,0,0,8.40,2015
43,Jeremy Langford,RB,16,CHI,TB,19,83,4,0,2,0,0,0,0,0,8.30,2015
44,Giovani Bernard,RB,16,CIN,DEN,8,14,2,0,5,4,29,0,0,0,8.30,2015
45,Chris Thompson,RB,16,WAS,PHI,0,0,0,0,1,1,12,1,0,0,8.20,2015
46,Chris Ivory,RB,16,NYJ,NE,11,38,4,0,4,4,4,0,1,0,8.20,2015
47,Jeremy Hill,RB,16,CIN,DEN,19,63,3,0,2,2,-2,0,0,0,8.10,2015
48,Charcandrick West,RB,16,KC,CLE,14,62,4,0,1,1,-1,0,0,0,7.10,2015
49,Duke Johnson,RB,16,CLE,KC,8,26,3,0,4,3,15,0,0,0,7.10,2015
50,Cameron Artis-Payne,RB,16,CAR,ATL,5,49,10,0,1,1,7,0,0,0,6.60,2015
