Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Odell Beckham Jr,WR,14,NYG,MIA,9,7,78,166,2,84,18,24,0,0,0,0,0,38.60,2015
2,Doug Baldwin,WR,14,SEA,BAL,9,6,67,82,3,22,9,14,0,0,0,0,0,32.20,2015
3,Tyler Lockett,WR,14,SEA,BAL,7,6,86,104,2,49,15,17,0,0,0,0,0,31.40,2015
4,Ted Ginn,WR,14,CAR,ATL,3,2,67,120,2,74,40,60,1,5,0,0,0,29.50,2015
5,Golden Tate,WR,14,DET,LAR,10,9,90,60,2,16,6,7,1,15,0,0,0,28.50,2015
6,AJ Green,WR,14,CIN,PIT,9,6,67,132,1,66,15,22,0,0,0,0,0,28.20,2015
7,Brandon Marshall,WR,14,NYJ,TEN,10,6,60,125,1,69,13,21,0,0,0,0,0,27.50,2015
8,Alshon Jeffery,WR,14,CHI,WAS,9,6,67,107,1,50,12,18,0,0,0,0,0,25.70,2015
9,Michael Floyd,WR,14,ARI,MIN,9,5,56,102,1,42,11,20,0,0,0,0,0,24.20,2015
10,Allen Hurns,WR,14,JAX,IND,4,3,75,105,1,80,26,35,0,0,0,0,0,22.50,2015
11,Willie Snead,WR,14,NO,TB,8,7,88,122,0,41,15,17,0,0,0,0,0,22.20,2015
12,Brian Hartline,WR,14,CLE,SF,10,8,80,107,0,34,11,13,0,0,0,1,0,21.70,2015
13,Marques Colston,WR,14,NO,TB,8,6,75,36,2,12,5,6,0,0,0,0,0,21.60,2015
14,Jarvis Landry,WR,14,MIA,NYG,18,11,61,99,0,25,6,9,1,0,0,0,0,20.90,2015
15,Eric Decker,WR,14,NYJ,TEN,10,7,70,74,1,20,7,11,0,0,0,0,0,20.40,2015
16,TY Hilton,WR,14,IND,JAX,7,4,57,132,0,57,19,33,0,0,0,0,0,20.20,2015
17,Sammy Watkins,WR,14,BUF,PHI,12,5,42,81,1,47,7,16,1,1,0,0,0,19.20,2015
18,Albert Wilson,WR,14,KC,LAC,6,4,67,87,1,44,15,22,0,0,0,0,0,18.70,2015
19,Robert Woods,WR,14,BUF,PHI,7,5,71,106,0,37,15,21,0,0,0,1,0,18.60,2015
20,Demaryius Thomas,WR,14,DEN,OAK,14,10,71,95,0,17,7,10,0,0,0,1,1,18.50,2015
21,John Brown,WR,14,ARI,MIN,5,4,80,78,1,65,16,20,0,0,0,0,0,17.80,2015
22,Randall Cobb,WR,14,GB,DAL,12,8,67,81,0,17,7,10,3,9,0,0,0,17.00,2015
23,Rueben Randle,WR,14,NYG,MIA,6,5,83,58,1,22,10,12,0,0,0,0,0,16.80,2015
24,Julio Jones,WR,14,ATL,CAR,10,7,70,88,0,46,9,13,0,0,0,1,0,15.80,2015
25,Antonio Brown,WR,14,PIT,CIN,10,7,70,87,0,26,9,12,0,0,0,0,0,15.70,2015
26,Nelson Agholor,WR,14,PHI,BUF,6,3,50,62,1,53,10,21,0,0,0,0,0,15.20,2015
27,Jermaine Kearse,WR,14,SEA,BAL,8,7,88,74,0,20,9,11,0,0,0,0,0,14.40,2015
28,Jeremy Butler,WR,14,BAL,SEA,10,7,70,72,0,23,7,10,0,0,0,0,0,14.20,2015
29,Kamar Aiken,WR,14,BAL,SEA,7,5,71,90,0,37,13,18,0,0,0,0,0,14.00,2015
30,Mike Wallace,WR,14,MIN,ARI,5,3,60,42,1,23,8,14,0,0,0,0,0,13.20,2015
31,Kenny Stills,WR,14,MIA,NYG,3,2,67,49,1,47,16,25,0,0,0,0,0,12.90,2015
32,Jeremy Maclin,WR,14,KC,LAC,9,6,67,68,0,21,8,11,1,-2,0,0,0,12.60,2015
33,Marvin Jones,WR,14,CIN,PIT,8,6,75,61,0,23,8,10,0,0,0,0,0,12.10,2015
34,Martavis Bryant,WR,14,PIT,CIN,9,7,78,49,0,18,5,7,1,1,0,0,0,12.00,2015
35,Danny Amendola,WR,14,NE,HOU,8,6,75,46,0,10,6,8,0,0,0,0,0,10.60,2015
36,Markus Wheaton,WR,14,PIT,CIN,7,4,57,65,0,31,9,16,0,0,0,0,0,10.50,2015
37,Keshawn Martin,WR,14,NE,HOU,4,3,75,23,1,13,6,8,0,0,0,1,1,10.30,2015
38,Pierre Garcon,WR,14,WAS,CHI,7,5,71,52,0,19,7,10,0,0,0,0,0,10.20,2015
39,Jerome Simpson,WR,14,SF,CLE,4,2,50,20,1,14,5,10,0,0,0,0,0,10.00,2015
40,Seth Roberts,WR,14,OAK,DEN,4,2,50,20,1,11,5,10,0,0,0,0,0,10.00,2015
41,Corey Brown,WR,14,CAR,ATL,6,3,50,59,0,26,10,20,1,9,0,0,0,9.80,2015
42,Javontee Herndon,WR,14,LAC,KC,7,5,71,47,0,21,7,9,0,0,0,0,0,9.70,2015
43,Daniel Brown,WR,14,BAL,SEA,6,5,83,47,0,31,8,9,0,0,0,0,0,9.70,2015
44,Quinton Patton,WR,14,SF,CLE,9,5,56,46,0,13,5,9,0,0,0,0,0,9.60,2015
45,Harry Douglas,WR,14,TEN,NYJ,7,3,43,65,0,51,9,22,0,0,0,0,0,9.50,2015
46,Larry Fitzgerald,WR,14,ARI,MIN,6,5,83,41,0,17,7,8,0,0,0,0,0,9.10,2015
47,Dwayne Harris,WR,14,NYG,MIA,5,5,100,41,0,12,8,8,0,0,0,0,0,9.10,2015
48,Jarius Wright,WR,14,MIN,ARI,6,5,83,51,0,22,9,10,0,0,0,1,1,9.10,2015
49,Tavon Austin,WR,14,LAR,DET,5,3,60,19,0,14,4,6,4,40,0,0,0,8.90,2015
50,James Jones,WR,14,GB,DAL,7,4,57,49,0,16,7,12,0,0,0,0,0,8.90,2015
