Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Chris Boswell,K,14,PIT,CIN,4,4,100,47,3,3,0.00,2015
2,Randy Bullock,K,14,NYJ,TEN,3,4,75,47,3,3,0.00,2015
3,Brandon McManus,K,14,DEN,OAK,4,5,80,41,0,0,0.00,2015
4,Chandler Catanzaro,K,14,ARI,MIN,3,3,100,47,2,2,0.00,2015
5,Caleb Sturgis,K,14,PHI,BUF,3,3,100,45,2,2,0.00,2015
6,Blair Walsh,K,14,MIN,ARI,2,2,100,54,2,2,0.00,2015
7,Adam Vinatieri,K,14,IND,JAX,3,3,100,32,1,1,0.00,2015
8,Jason Myers,K,14,JAX,IND,1,1,100,46,6,7,0.00,2015
9,Stephen Gostkowski,K,14,NE,HOU,2,2,100,49,3,3,0.00,2015
10,Graham Gano,K,14,CAR,ATL,1,1,100,38,5,5,0.00,2015
11,Dan Carpenter,K,14,BUF,PHI,2,2,100,40,2,2,0.00,2015
12,Mike Nugent,K,14,CIN,PIT,2,3,67,46,2,2,0.00,2015
13,Josh Brown,K,14,NYG,MIA,1,2,50,35,4,4,0.00,2015
14,Travis Coons,K,14,CLE,SF,1,2,50,26,3,3,0.00,2015
15,Kai Forbath,K,14,NO,TB,1,1,100,23,3,3,0.00,2015
16,Dustin Hopkins,K,14,WAS,CHI,1,1,100,47,3,3,0.00,2015
17,Justin Tucker,K,14,BAL,SEA,2,2,100,30,0,0,0.00,2015
18,Nick Novak,K,14,HOU,NE,2,2,100,45,0,0,0.00,2015
19,Andrew Franks,K,14,MIA,NYG,1,1,100,36,3,3,0.00,2015
20,Steven Hauschka,K,14,SEA,BAL,0,0,0,0,5,5,0.00,2015
21,Connor Barth,K,14,TB,NO,1,2,50,39,2,2,0.00,2015
22,Phil Dawson,K,14,SF,CLE,1,1,100,44,1,1,0.00,2015
23,Cairo Santos,K,14,KC,LAC,1,2,50,40,1,1,0.00,2015
24,Mason Crosby,K,14,GB,DAL,0,0,0,0,4,4,0.00,2015
25,Josh Lambo,K,14,LAC,KC,1,2,50,30,0,0,0.00,2015
26,Greg Zuerlein,K,14,LAR,DET,0,0,0,0,3,3,0.00,2015
27,Robbie Gould,K,14,CHI,WAS,0,1,0,0,3,3,0.00,2015
28,Matt Prater,K,14,DET,LAR,0,0,0,0,2,2,0.00,2015
29,Sebastian Janikowski,K,14,OAK,DEN,0,1,0,0,1,1,0.00,2015
30,Dan Bailey,K,14,DAL,GB,0,0,0,0,1,1,0.00,2015
31,Jordan Gay,K,14,BUF,PHI,0,0,0,0,0,0,0.00,2015
32,Ryan Succop,K,14,TEN,NYJ,0,0,0,0,0,0,0.00,2015
