Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Aaron Rodgers,QB,4,GB,DEN,29,38,76,408,11,4,1,135,9,36,4,2,49.92,2011
2,Cam Newton,QB,4,CAR,CHI,27,46,59,374,8,1,1,83,8,35,4,2,36.46,2011
3,Michael Vick,QB,4,PHI,SF,30,46,65,416,9,2,1,100,8,75,9,0,34.14,2011
4,Tarvaris Jackson,QB,4,SEA,ATL,25,38,66,319,8,3,2,96,2,16,8,0,27.36,2011
5,Tony Romo,QB,4,DAL,DET,34,47,72,331,7,3,3,86,0,0,0,0,25.24,2011
6,Josh Freeman,QB,4,TB,IND,25,39,64,287,7,1,0,95,6,27,5,1,24.18,2011
7,Eli Manning,QB,4,NYG,ARI,27,40,68,321,8,2,0,108,3,-3,-1,0,22.54,2011
8,Jason Campbell,QB,4,OAK,NE,25,39,64,344,9,1,2,79,4,29,7,0,21.66,2011
9,Colt McCoy,QB,4,CLE,TEN,40,61,66,350,6,1,1,79,4,16,4,0,21.60,2011
10,Andy Dalton,QB,4,CIN,BUF,18,36,50,298,8,1,2,64,3,12,4,1,21.12,2011
11,Philip Rivers,QB,4,LAC,MIA,21,31,68,307,10,1,0,111,5,18,4,0,21.08,2011
12,Kyle Orton,QB,4,DEN,GB,22,32,69,273,9,3,3,87,2,7,4,0,20.62,2011
13,Matt Hasselbeck,QB,4,TEN,CLE,10,20,50,220,11,3,1,108,1,5,5,0,20.30,2011
14,Drew Brees,QB,4,NO,JAX,31,44,71,351,8,1,2,83,3,10,3,0,20.04,2011
15,Alex Smith,QB,4,SF,PHI,21,33,64,291,9,2,0,112,1,-1,-1,0,18.54,2011
16,Matt Ryan,QB,4,ATL,SEA,28,42,67,291,7,1,0,94,4,26,7,0,18.24,2011
17,Curtis Painter,QB,4,IND,TB,13,30,43,281,9,2,0,99,0,0,0,0,18.24,2011
18,Tom Brady,QB,4,NE,OAK,16,30,53,226,8,2,0,100,1,-1,-1,0,16.94,2011
19,Matthew Stafford,QB,4,DET,DAL,21,43,49,240,6,2,1,72,1,-1,-1,0,16.50,2011
20,Matt Cassel,QB,4,KC,MIN,18,29,62,260,9,1,0,103,4,20,5,0,16.40,2011
21,Donovan McNabb,QB,4,MIN,KC,18,30,60,202,7,2,1,88,1,0,0,0,15.08,2011
22,Blaine Gabbert,QB,4,JAX,NO,16,42,38,196,5,1,1,51,2,14,7,0,12.24,2011
23,Matt Schaub,QB,4,HOU,PIT,14,21,67,138,7,1,0,101,2,1,1,0,9.62,2011
24,Sam Bradford,QB,4,LAR,WAS,20,43,47,164,4,1,0,64,0,0,0,0,9.56,2011
25,Ryan Fitzpatrick,QB,4,BUF,CIN,20,34,59,199,6,0,0,75,1,5,5,0,8.46,2011
26,Ben Roethlisberger,QB,4,PIT,HOU,16,30,53,206,7,0,1,61,2,11,6,0,8.34,2011
27,Rex Grossman,QB,4,WAS,LAR,15,29,52,143,5,1,2,48,5,2,0,0,7.92,2011
28,Kevin Kolb,QB,4,ARI,NYG,20,34,59,237,7,0,1,68,2,1,1,0,7.58,2011
29,Matt Moore,QB,4,MIA,LAC,17,26,65,167,6,0,1,67,1,-1,-1,0,5.58,2011
30,Joe Flacco,QB,4,BAL,NYJ,10,31,32,163,5,0,1,37,3,-3,-1,0,4.22,2011
31,Jay Cutler,QB,4,CHI,CAR,9,17,53,102,6,0,1,47,1,2,2,0,3.28,2011
32,Mark Sanchez,QB,4,NYJ,BAL,11,35,31,119,3,0,1,31,3,3,1,0,1.06,2011
33,Josh Johnson,QB,4,TB,IND,0,0,0,0,0,0,0,0,1,8,8,0,0.80,2011
34,Chad Henne,QB,4,MIA,LAC,3,4,75,27,7,0,1,53,1,1,1,0,0.18,2011
35,Jake Locker,QB,4,TEN,CLE,0,1,0,0,0,0,0,40,0,0,0,0,0.00,2011
36,Chase Daniel,QB,4,NO,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
37,Joe Webb,QB,4,MIN,KC,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
38,Colin Kaepernick,QB,4,SF,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
39,Mark Brunell,QB,4,NYJ,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
40,Tim Tebow,QB,4,DEN,GB,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.10,2011
41,Matt Flynn,QB,4,GB,DEN,0,1,0,0,0,0,1,0,2,-2,-1,0,-1.20,2011
