Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Ryan Succop,K,4,KC,MIN,5,5,100,54,1,1,0.00,2011
2,Nick Novak,K,4,LAC,MIA,4,4,100,48,2,2,0.00,2011
3,Dan Bailey,K,4,DAL,DET,3,3,100,41,3,3,0.00,2011
4,Jason Hanson,K,4,DET,DAL,2,2,100,51,4,4,0.00,2011
5,Matt Bryant,K,4,ATL,SEA,3,3,100,50,3,3,0.00,2011
6,Dan Carpenter,K,4,MIA,LAC,3,3,100,51,1,1,0.00,2011
7,Olindo Mare,K,4,CAR,CHI,3,5,60,39,2,2,0.00,2011
8,Mike Nugent,K,4,CIN,BUF,3,3,100,43,2,2,0.00,2011
9,John Kasay,K,4,NO,JAX,3,5,60,39,2,2,0.00,2011
10,Alex Henery,K,4,PHI,SF,3,5,60,33,2,2,0.00,2011
11,Robbie Gould,K,4,CHI,CAR,2,2,100,24,4,4,0.00,2011
12,Billy Cundiff,K,4,BAL,NYJ,2,2,100,38,4,4,0.00,2011
13,Phil Dawson,K,4,CLE,TEN,2,2,100,51,1,1,0.00,2011
14,Jay Feely,K,4,ARI,NYG,2,2,100,27,3,3,0.00,2011
15,Rian Lindell,K,4,BUF,CIN,2,2,100,43,2,2,0.00,2011
16,Rob Bironas,K,4,TEN,CLE,1,1,100,39,4,4,0.00,2011
17,Lawrence Tynes,K,4,NYG,ARI,1,1,100,30,4,4,0.00,2011
18,Mason Crosby,K,4,GB,DEN,0,0,0,0,7,7,0.00,2011
19,Sebastian Janikowski,K,4,OAK,NE,2,2,100,28,1,1,0.00,2011
20,Stephen Gostkowski,K,4,NE,OAK,1,1,100,44,4,4,0.00,2011
21,David Akers,K,4,SF,PHI,1,3,33,37,3,3,0.00,2011
22,Connor Barth,K,4,TB,IND,1,2,50,46,3,3,0.00,2011
23,Thomas Howard,K,4,CIN,BUF,0,0,0,0,0,0,0.00,2011
24,Neil Rackers,K,4,HOU,PIT,1,1,100,25,2,2,0.00,2011
25,Ryan Longwell,K,4,MIN,KC,1,1,100,33,2,2,0.00,2011
26,Graham Gano,K,4,WAS,LAR,1,1,100,38,2,2,0.00,2011
27,Matt Prater,K,4,DEN,GB,1,1,100,27,2,2,0.00,2011
28,Nick Folk,K,4,NYJ,BAL,1,1,100,40,2,2,0.00,2011
29,Adam Vinatieri,K,4,IND,TB,1,2,50,45,2,2,0.00,2011
30,Shaun Suisham,K,4,PIT,HOU,1,2,50,26,1,1,0.00,2011
31,Josh Scobee,K,4,JAX,NO,1,1,100,31,1,1,0.00,2011
32,Josh Brown,K,4,LAR,WAS,1,1,100,32,1,1,0.00,2011
33,Steven Hauschka,K,4,SEA,ATL,0,1,0,0,4,4,0.00,2011
34,DJ Smith,K,4,GB,DEN,0,0,0,0,0,0,0.00,2011
