Player,Position,Team,Opponent,Points
Michael Vick,QB,PHI,SF,34.14
Tarvaris Jackson,QB,SEA,ATL,27.36
Tony Romo,QB,DAL,DET,25.24
Josh Freeman,QB,TB,IND,24.18
Eli Manning,QB,NYG,ARI,22.54
Jason Campbell,QB,OAK,NE,21.66
Colt McCoy,QB,CLE,TEN,21.60
Andy Dalton,QB,CIN,BUF,21.12
Philip Rivers,QB,LAC,MIA,21.08
Kyle Orton,QB,DEN,GB,20.62
Matt Hasselbeck,QB,TEN,CLE,20.30
Drew Brees,QB,NO,JAX,20.04
Alex Smith,QB,SF,PHI,18.54
Matt Ryan,QB,ATL,SEA,18.24
Curtis Painter,QB,IND,TB,18.24
Tom Brady,QB,NE,OAK,16.94
Matthew Stafford,QB,DET,DAL,16.50
Matt Cassel,QB,KC,MIN,16.40
Donovan McNabb,QB,MIN,KC,15.08
Blaine Gabbert,QB,JAX,NO,12.24
Matt Schaub,QB,HOU,PIT,9.62
Sam Bradford,QB,LAR,WAS,9.56
Ryan Fitzpatrick,QB,BUF,CIN,8.46
Ben Roethlisberger,QB,PIT,HOU,8.34
Rex Grossman,QB,WAS,LAR,7.92
Kevin Kolb,QB,ARI,NYG,7.58
Matt Moore,QB,MIA,LAC,5.58
Joe Flacco,QB,BAL,NYJ,4.22
Jay Cutler,QB,CHI,CAR,3.28
Mark Sanchez,QB,NYJ,BAL,1.06
Josh Johnson,QB,TB,IND,0.80
Chad Henne,QB,MIA,LAC,0.18
Colin Kaepernick,QB,SF,PHI,0.00
Joe Webb,QB,MIN,KC,0.00
Chase Daniel,QB,NO,JAX,0.00
Mark Brunell,QB,NYJ,BAL,0.00
Jake Locker,QB,TEN,CLE,0.00
Tim Tebow,QB,DEN,GB,-0.10
Matt Flynn,QB,GB,DEN,-1.20
Pierre Garcon,WR,IND,TB,31.60
Calvin Johnson,WR,DET,DAL,29.60
Steve Smith,WR,CAR,CHI,29.10
Julio Jones,WR,ATL,SEA,26.70
Greg Jennings,WR,GB,DEN,26.30
DeSean Jackson,WR,PHI,SF,26.10
Dwayne Bowe,WR,KC,MIN,24.70
Brandon Lloyd,WR,DEN,GB,24.60
Vincent Jackson,WR,LAC,MIA,22.80
Eric Decker,WR,DEN,GB,22.70
Laurent Robinson,WR,DAL,DET,21.60
Larry Fitzgerald,WR,ARI,NYG,21.20
Jordy Nelson,WR,GB,DEN,20.10
AJ Green,WR,CIN,BUF,19.40
Dez Bryant,WR,DAL,DET,19.20
Darrius Heyward-Bey,WR,OAK,NE,18.50
Preston Parker,WR,TB,IND,18.00
Sidney Rice,WR,SEA,ATL,16.90
Percy Harvin,WR,MIN,KC,15.90
Victor Cruz,WR,NYG,ARI,15.80
Josh Morgan,WR,SF,PHI,15.50
Santana Moss,WR,WAS,LAR,14.90
James Jones,WR,GB,DEN,13.80
Roddy White,WR,ATL,SEA,13.80
Doug Baldwin,WR,SEA,ATL,13.40
Jeremy Maclin,WR,PHI,SF,13.40
Steve Breaston,WR,KC,MIN,13.10
Jason Avant,WR,PHI,SF,12.90
Mike Williams,WR,SEA,ATL,12.60
Antonio Brown,WR,PIT,HOU,12.50
Mike Thomas,WR,JAX,NO,12.30
Mike Williams,WR,TB,IND,11.90
Michael Crabtree,WR,SF,PHI,11.80
Mike Wallace,WR,PIT,HOU,11.70
Greg Little,WR,CLE,TEN,11.70
Ben Obomanu,WR,SEA,ATL,11.50
Donald Driver,WR,GB,DEN,11.00
Denarius Moore,WR,OAK,NE,10.90
Mohamed Massaquoi,WR,CLE,TEN,10.60
Devin Aromashodu,WR,MIN,KC,10.40
Jabar Gaffney,WR,WAS,LAR,10.20
Brandon Marshall,WR,MIA,LAC,10.20
Joshua Cribbs,WR,CLE,TEN,10.00
Lance Moore,WR,NO,JAX,10.00
Reggie Wayne,WR,IND,TB,9.90
Robert Meachem,WR,NO,JAX,9.90
Steve Johnson,WR,BUF,CIN,9.80
Randall Cobb,WR,GB,DEN,9.50
Tony Gonzalez,TE,ATL,SEA,18.60
Owen Daniels,TE,HOU,PIT,17.90
Jared Cook,TE,TEN,CLE,17.30
Jermaine Gresham,TE,CIN,BUF,17.00
Benjamin Watson,TE,CLE,TEN,16.80
Greg Olsen,TE,CAR,CHI,16.00
Clay Harbor,TE,PHI,SF,14.50
Vernon Davis,TE,SF,PHI,14.50
Brandon Pettigrew,TE,DET,DAL,12.40
Jake Ballard,TE,NYG,ARI,12.30
Kevin Boss,TE,OAK,NE,11.80
Visanthe Shiancoe,TE,MIN,KC,11.80
Daniel Fells,TE,DEN,GB,9.90
Ed Dickson,TE,BAL,NYJ,8.50
Zach Miller,TE,JAX,NO,8.40
Kellen Winslow,TE,TB,IND,8.30
Craig Stevens,TE,TEN,CLE,8.20
Todd Heap,TE,ARI,NYG,8.10
Dallas Clark,TE,IND,TB,7.60
Kyle Rudolph,TE,MIN,KC,7.40
Fred Davis,TE,WAS,LAR,7.40
Lance Kendricks,TE,LAR,WAS,7.30
Marcedes Lewis,TE,JAX,NO,6.80
Jeremy Shockey,TE,CAR,CHI,6.10
Jermichael Finley,TE,GB,DEN,5.80
Randy McMichael,TE,LAC,MIA,5.50
Charles Clay,TE,MIA,LAC,5.40
Zach Miller,TE,SEA,ATL,5.10
Delanie Walker,TE,SF,PHI,5.00
Heath Miller,TE,PIT,HOU,4.50
Martellus Bennett,TE,DAL,DET,4.20
John Phillips,TE,DAL,DET,3.80
Dustin Keller,TE,NYJ,BAL,3.20
Billy Bajema,TE,LAR,WAS,3.10
Luke Stocker,TE,TB,IND,2.90
Scott Chandler,TE,BUF,CIN,2.80
Rob Housler,TE,ARI,NYG,2.60
Rob Gronkowski,TE,NE,OAK,2.50
Evan Moore,TE,CLE,TEN,2.50
Dennis Pitta,TE,BAL,NYJ,2.40
Joel Dreessen,TE,HOU,PIT,2.40
Alex Smith,TE,CLE,TEN,2.30
Anthony Fasano,TE,MIA,LAC,1.90
Virgil Green,TE,DEN,GB,1.80
Jeron Mastrud,TE,MIA,LAC,1.80
James Casey,TE,HOU,PIT,1.80
Brody Eldridge,TE,IND,TB,1.70
Jake O'Connell,TE,KC,MIN,1.60
Arian Foster,RB,HOU,PIT,28.60
Frank Gore,RB,SF,PHI,24.90
LeGarrette Blount,RB,TB,IND,24.10
Michael Turner,RB,ATL,SEA,22.80
Ryan Torain,RB,WAS,LAR,22.50
Ray Rice,RB,BAL,NYJ,21.00
Fred Jackson,RB,BUF,CIN,20.80
Ryan Mathews,RB,LAC,MIA,19.90
Michael Bush,RB,OAK,NE,18.10
Darren Sproles,RB,NO,JAX,18.10
Mike Tolbert,FB,LAC,MIA,17.80
LeSean McCoy,RB,PHI,SF,17.20
Stevan Ridley,RB,NE,OAK,17.00
Steven Jackson,RB,LAR,WAS,16.40
Darren McFadden,RB,OAK,NE,16.30
Willis McGahee,RB,DEN,GB,16.30
Chris Johnson,RB,TEN,CLE,16.20
BenJarvus Green-Ellis,RB,NE,OAK,15.40
James Starks,RB,GB,DEN,15.10
Marshawn Lynch,RB,SEA,ATL,14.70
Ahmad Bradshaw,RB,NYG,ARI,14.00
Cedric Benson,RB,CIN,BUF,13.40
Felix Jones,RB,DAL,DET,12.60
Jonathan Stewart,RB,CAR,CHI,12.50
Montario Hardesty,RB,CLE,TEN,12.10
Kendall Hunter,RB,SF,PHI,12.00
Pierre Thomas,RB,NO,JAX,11.90
Peyton Hillis,RB,CLE,TEN,11.90
