Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Josh Scobee,K,15,JAX,BAL,4,5,80,53,0,0,0.00,2014
2,Connor Barth,K,15,DEN,LAC,5,5,100,49,1,1,0.00,2014
3,Dan Carpenter,K,15,BUF,GB,4,4,100,51,1,1,0.00,2014
4,Chandler Catanzaro,K,15,ARI,LAR,4,4,100,51,0,0,0.00,2014
5,Graham Gano,K,15,CAR,TB,4,5,80,49,1,1,0.00,2014
6,Mike Nugent,K,15,CIN,CLE,3,3,100,44,3,3,0.00,2014
7,Stephen Gostkowski,K,15,NE,MIA,2,2,100,36,5,5,0.00,2014
8,Ryan Succop,K,15,TEN,NYJ,3,3,100,51,0,0,0.00,2014
9,Matt Prater,K,15,DET,MIN,3,3,100,33,1,1,0.00,2014
10,Caleb Sturgis,K,15,MIA,NE,2,3,67,53,1,1,0.00,2014
11,Shaun Suisham,K,15,PIT,ATL,2,2,100,38,3,3,0.00,2014
12,Sebastian Janikowski,K,15,OAK,KC,2,2,100,53,1,1,0.00,2014
13,Cody Parkey,K,15,PHI,DAL,2,2,100,47,3,3,0.00,2014
14,Justin Tucker,K,15,BAL,JAX,2,4,50,33,2,2,0.00,2014
15,Matt Bryant,K,15,ATL,PIT,2,2,100,28,2,2,0.00,2014
16,Dan Bailey,K,15,DAL,PHI,1,1,100,49,5,5,0.00,2014
17,Kai Forbath,K,15,WAS,NYG,2,2,100,38,1,1,0.00,2014
18,Cairo Santos,K,15,KC,OAK,1,3,33,41,4,4,0.00,2014
19,Mason Crosby,K,15,GB,BUF,2,3,67,45,1,1,0.00,2014
20,Shayne Graham,K,15,NO,CHI,1,2,50,25,4,4,0.00,2014
21,Greg Zuerlein,K,15,LAR,ARI,2,2,100,24,0,0,0.00,2014
22,Josh Brown,K,15,NYG,WAS,1,1,100,32,3,3,0.00,2014
23,Randy Bullock,K,15,HOU,IND,1,1,100,53,1,1,0.00,2014
24,Nick Folk,K,15,NYJ,TEN,1,2,50,51,1,1,0.00,2014
25,Patrick Murray,K,15,TB,CAR,1,1,100,48,2,2,0.00,2014
26,Adam Vinatieri,K,15,IND,HOU,1,1,100,29,2,2,0.00,2014
27,Steven Hauschka,K,15,SEA,SF,1,1,100,38,2,2,0.00,2014
28,Nick Novak,K,15,LAC,DEN,1,3,33,30,1,1,0.00,2014
29,Blair Walsh,K,15,MIN,DET,0,3,0,0,2,2,0.00,2014
30,Phil Dawson,K,15,SF,SEA,0,0,0,0,1,1,0.00,2014
31,Jay Feely,K,15,CHI,NO,0,0,0,0,1,1,0.00,2014
32,Jordan Gay,K,15,BUF,GB,0,0,0,0,0,0,0.00,2014
33,Brandon McManus,K,15,DEN,LAC,0,0,0,0,0,0,0.00,2014
