Player,Position,Team,Opponent,Points
Eli Manning,QB,NYG,WAS,22.00
Alex Smith,QB,KC,OAK,21.58
Tony Romo,QB,DAL,PHI,21.50
Ryan Tannehill,QB,MIA,NE,20.94
Teddy Bridgewater,QB,MIN,DET,20.60
Tom Brady,QB,NE,MIA,20.28
Ben Roethlisberger,QB,PIT,ATL,17.20
Robert Griffin III,QB,WAS,NYG,17.04
Jay Cutler,QB,CHI,NO,16.76
Derek Anderson,QB,CAR,TB,16.48
Andrew Luck,QB,IND,HOU,16.28
Josh McCown,QB,TB,CAR,15.26
Joe Flacco,QB,BAL,JAX,13.64
Peyton Manning,QB,DEN,LAC,13.02
Geno Smith,QB,NYJ,TEN,12.76
Russell Wilson,QB,SEA,SF,12.42
Derek Carr,QB,OAK,KC,11.88
Philip Rivers,QB,LAC,DEN,11.58
Matthew Stafford,QB,DET,MIN,10.32
Colin Kaepernick,QB,SF,SEA,10.24
Charlie Whitehurst,QB,TEN,NYJ,10.02
Shaun Hill,QB,LAR,ARI,9.26
Aaron Rodgers,QB,GB,BUF,8.10
Mark Sanchez,QB,PHI,DAL,8.08
Blake Bortles,QB,JAX,BAL,7.60
Kyle Orton,QB,BUF,GB,4.92
Drew Stanton,QB,ARI,LAR,4.66
Andy Dalton,QB,CIN,CLE,3.98
Colt McCoy,QB,WAS,NYG,3.96
Jake Locker,QB,TEN,NYJ,2.98
Ryan Fitzpatrick,QB,HOU,IND,2.80
Tom Savage,QB,HOU,IND,2.68
Johnny Manziel,QB,CLE,CIN,2.50
Ryan Lindley,QB,ARI,LAR,1.20
Jimmy Garoppolo,QB,NE,MIA,0.00
Matt Schaub,QB,OAK,KC,0.00
Luke McCown,QB,NO,CHI,0.00
Brock Osweiler,QB,DEN,LAC,-0.10
Chase Daniel,QB,KC,OAK,-0.10
Demaryius Thomas,WR,DEN,LAC,27.30
Harry Douglas,WR,ATL,PIT,26.10
Antonio Brown,WR,PIT,ATL,25.30
Mike Wallace,WR,MIA,NE,24.40
Julian Edelman,WR,NE,MIA,22.40
Kelvin Benjamin,WR,CAR,TB,21.40
Eric Decker,WR,NYJ,TEN,20.00
James Jones,WR,OAK,KC,19.70
Devin Hester,WR,ATL,PIT,19.50
Nate Washington,WR,TEN,NYJ,19.20
Roddy White,WR,ATL,PIT,18.80
Randall Cobb,WR,GB,BUF,18.10
Jarvis Landry,WR,MIA,NE,17.90
Alshon Jeffery,WR,CHI,NO,17.80
Marques Colston,WR,NO,CHI,17.50
Golden Tate,WR,DET,MIN,17.30
Jerricho Cotchery,WR,CAR,TB,15.70
Jeremy Maclin,WR,PHI,DAL,13.80
Stedman Bailey,WR,LAR,ARI,13.70
Cecil Shorts,WR,JAX,BAL,13.60
Greg Jennings,WR,MIN,DET,13.30
Allen Hurns,WR,JAX,BAL,13.00
Vincent Jackson,WR,TB,CAR,13.00
Jermaine Kearse,WR,SEA,SF,12.80
DeAndre Hopkins,WR,HOU,IND,12.70
Brandon LaFell,WR,NE,MIA,12.60
Hakeem Nicks,WR,IND,HOU,12.40
Charles Johnson,WR,MIN,DET,12.20
Paul Richardson,WR,SEA,SF,12.00
Andre Holmes,WR,OAK,KC,12.00
Kenny Stills,WR,NO,CHI,11.70
Marlon Brown,WR,BAL,JAX,11.60
Markus Wheaton,WR,PIT,ATL,11.60
Kenny Britt,WR,LAR,ARI,11.50
Marquess Wilson,WR,CHI,NO,10.60
Jordy Nelson,WR,GB,BUF,10.50
Andre Roberts,WR,WAS,NYG,10.10
Larry Fitzgerald,WR,ARI,LAR,10.00
Dwayne Bowe,WR,KC,OAK,9.90
