Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Alfred Morris,RB,17,WAS,DAL,33,200,6,3,2,2,12,0,0,0,44.20,2012
2,DeAngelo Williams,RB,17,CAR,NO,21,210,10,2,2,1,3,0,0,0,37.30,2012
3,Adrian Peterson,RB,17,MIN,GB,34,199,6,1,2,1,2,1,0,0,36.10,2012
4,Doug Martin,RB,17,TB,ATL,28,142,5,1,5,4,18,0,0,0,29.00,2012
5,Ahmad Bradshaw,RB,17,NYG,PHI,16,107,7,1,2,1,41,0,0,0,24.80,2012
6,Mike Tolbert,FB,17,CAR,NO,10,25,3,3,3,1,22,0,0,0,23.70,2012
7,Matt Forte,RB,17,CHI,DET,24,103,4,1,2,2,21,0,1,0,23.40,2012
8,Darren Sproles,RB,17,NO,CAR,3,1,0,0,9,8,79,1,0,0,22.00,2012
9,CJ Spiller,RB,17,BUF,NYJ,24,59,3,0,7,2,72,1,1,1,20.10,2012
10,Arian Foster,RB,17,HOU,IND,16,96,6,1,3,2,23,0,0,0,19.90,2012
11,Stevan Ridley,RB,17,NE,MIA,20,74,4,2,0,0,0,0,0,0,19.40,2012
12,Frank Gore,RB,17,SF,ARI,20,68,3,1,3,3,21,0,0,0,17.90,2012
13,Vick Ballard,RB,17,IND,HOU,27,78,3,1,3,2,9,0,0,0,16.70,2012
14,Steven Jackson,RB,17,LAR,SEA,11,52,5,0,7,7,45,0,0,0,16.70,2012
15,Marshawn Lynch,RB,17,SEA,LAR,18,100,6,0,2,2,14,0,1,0,16.40,2012
16,David Wilson,RB,17,NYG,PHI,15,75,5,0,1,1,15,1,0,0,16.00,2012
17,Jacquizz Rodgers,RB,17,ATL,TB,5,28,6,0,8,8,50,0,0,0,15.80,2012
18,LeSean McCoy,RB,17,PHI,NYG,10,45,5,0,6,5,61,0,0,0,15.60,2012
19,Danny Woodhead,RB,17,NE,MIA,3,18,6,0,5,5,79,0,0,0,14.70,2012
20,Keith Toston,RB,17,JAX,TEN,17,74,4,0,4,3,41,0,0,0,14.50,2012
21,Chris Johnson,RB,17,TEN,JAX,21,56,3,1,1,1,9,0,0,0,13.50,2012
22,Lance Ball,RB,17,DEN,KC,15,66,4,1,0,0,0,0,0,0,12.60,2012
23,Knowshon Moreno,RB,17,DEN,KC,15,44,3,1,1,1,10,0,0,0,12.40,2012
24,Michael Robinson,RB,17,SEA,LAR,0,0,0,0,3,3,33,1,0,0,12.30,2012
25,Darius Reynaud,RB,17,TEN,JAX,3,1,0,0,0,0,0,0,0,0,12.10,2012
26,Anthony Allen,RB,17,BAL,CIN,10,41,4,1,1,1,7,0,0,0,11.80,2012
27,Jackie Battle,FB,17,LAC,OAK,19,37,2,0,4,4,31,0,0,0,10.80,2012
28,DuJuan Harris,RB,17,GB,MIN,14,70,5,0,2,2,17,0,0,0,10.70,2012
29,Mikel Leshoure,RB,17,DET,CHI,15,57,4,0,5,3,20,0,0,0,10.70,2012
30,DeMarco Murray,RB,17,DAL,WAS,17,76,5,0,4,2,10,0,0,0,10.60,2012
31,Bernard Pierce,RB,17,BAL,CIN,22,89,4,0,4,1,4,0,0,0,10.30,2012
32,Shonn Greene,RB,17,NYJ,BUF,19,74,4,0,2,2,3,0,0,0,9.70,2012
33,Tashard Choice,RB,17,BUF,NYJ,5,30,6,1,0,0,0,0,0,0,9.00,2012
34,Bilal Powell,RB,17,NYJ,BUF,12,56,5,0,6,2,12,0,0,0,8.80,2012
35,Darren McFadden,RB,17,OAK,LAC,19,57,3,0,3,2,2,0,0,0,7.90,2012
36,Michael Turner,RB,17,ATL,TB,6,18,3,1,0,0,0,0,0,0,7.80,2012
37,Jamaal Charles,RB,17,KC,DEN,14,53,4,0,2,1,14,0,0,0,7.70,2012
38,Jacob Hester,RB,17,DEN,KC,7,55,8,0,1,1,7,0,0,0,7.20,2012
39,Henry Hynoski,FB,17,NYG,PHI,0,0,0,0,1,1,1,1,0,0,7.10,2012
40,Jonathan Dwyer,RB,17,PIT,CLE,11,52,5,0,2,1,9,0,0,0,7.10,2012
41,Reggie Bush,RB,17,MIA,NE,8,26,3,0,5,2,23,0,0,0,6.90,2012
42,Deji Karim,RB,17,IND,HOU,0,0,0,0,0,0,0,0,0,0,6.00,2012
43,William Powell,RB,17,ARI,SF,14,52,4,0,1,1,-4,0,0,0,5.80,2012
44,Brian Leonard,RB,17,CIN,BAL,10,34,3,0,2,2,1,0,0,0,5.50,2012
45,Lamar Miller,RB,17,MIA,NE,5,13,3,0,2,2,22,0,0,0,5.50,2012
46,Brandon Jackson,RB,17,CLE,PIT,8,54,7,0,0,0,0,0,0,0,5.40,2012
47,Jason Snelling,RB,17,ATL,TB,3,8,3,0,2,2,25,0,0,0,5.30,2012
48,LaMichael James,RB,17,SF,ARI,7,49,7,0,0,0,0,0,1,0,4.90,2012
49,Isaac Redman,RB,17,PIT,CLE,6,26,4,0,1,1,11,0,0,0,4.70,2012
50,Toby Gerhart,RB,17,MIN,GB,1,2,2,0,2,2,22,0,0,0,4.40,2012
