Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Blair Walsh,K,17,MIN,GB,3,3,100,54,4,4,0.00,2012
2,Olindo Mare,K,17,CHI,DET,4,5,80,40,2,2,0.00,2012
3,Graham Gano,K,17,CAR,NO,3,4,75,42,5,5,0.00,2012
4,Shayne Graham,K,17,HOU,IND,3,4,75,51,1,1,0.00,2012
5,Mason Crosby,K,17,GB,MIN,2,2,100,51,4,4,0.00,2012
6,Josh Brown,K,17,CIN,BAL,3,3,100,47,2,2,0.00,2012
7,Connor Barth,K,17,TB,ATL,3,3,100,48,1,1,0.00,2012
8,Garrett Hartley,K,17,NO,CAR,1,1,100,53,5,5,0.00,2012
9,Nick Folk,K,17,NYJ,BUF,3,4,75,47,0,0,0.00,2012
10,David Akers,K,17,SF,ARI,2,4,50,43,3,3,0.00,2012
11,Rob Bironas,K,17,TEN,JAX,1,1,100,48,5,5,0.00,2012
12,Matt Prater,K,17,DEN,KC,1,1,100,42,5,5,0.00,2012
13,Steven Hauschka,K,17,SEA,LAR,2,2,100,49,2,2,0.00,2012
14,Jay Feely,K,17,ARI,SF,2,2,100,35,1,1,0.00,2012
15,Greg Zuerlein,K,17,LAR,SEA,2,3,67,39,1,1,0.00,2012
16,Jason Hanson,K,17,DET,CHI,1,1,100,44,3,3,0.00,2012
17,Lawrence Tynes,K,17,NYG,PHI,0,0,0,0,6,6,0.00,2012
18,Shaun Suisham,K,17,PIT,CLE,1,1,100,41,3,3,0.00,2012
19,Phil Dawson,K,17,CLE,PIT,1,2,50,51,1,1,0.00,2012
20,Nick Novak,K,17,LAC,OAK,1,1,100,30,3,3,0.00,2012
21,Matt Bryant,K,17,ATL,TB,1,1,100,28,2,2,0.00,2012
22,Justin Tucker,K,17,BAL,CIN,1,2,50,49,2,2,0.00,2012
23,Rian Lindell,K,17,BUF,NYJ,0,2,0,0,4,4,0.00,2012
24,Adam Vinatieri,K,17,IND,HOU,0,0,0,0,4,4,0.00,2012
25,Stephen Gostkowski,K,17,NE,MIA,0,0,0,0,4,4,0.00,2012
26,Dan Bailey,K,17,DAL,WAS,1,1,100,48,1,1,0.00,2012
27,Kai Forbath,K,17,WAS,DAL,0,1,0,0,4,4,0.00,2012
28,Ryan Succop,K,17,KC,DEN,1,2,50,23,0,0,0.00,2012
29,Sebastian Janikowski,K,17,OAK,LAC,0,0,0,0,3,3,0.00,2012
30,Josh Scobee,K,17,JAX,TEN,0,0,0,0,2,2,0.00,2012
31,Alex Henery,K,17,PHI,NYG,0,1,0,0,1,1,0.00,2012
32,Nate Kaeding,K,17,MIA,NE,0,1,0,0,0,0,0.00,2012
