Player,Position,Team,Opponent,Points
Tom Brady,QB,NE,HOU,28.44
Ben Roethlisberger,QB,PIT,LAC,24.50
Eli Manning,QB,NYG,NO,24.06
Matt Ryan,QB,ATL,CAR,23.68
Philip Rivers,QB,LAC,PIT,20.30
Matthew Stafford,QB,DET,GB,19.46
Drew Brees,QB,NO,NYG,19.06
Colin Kaepernick,QB,SF,MIA,18.70
Joe Flacco,QB,BAL,WAS,18.18
Peyton Manning,QB,DEN,OAK,18.10
Jake Locker,QB,TEN,IND,17.58
Robert Griffin III,QB,WAS,BAL,17.08
Josh Freeman,QB,TB,PHI,16.86
Carson Palmer,QB,OAK,DEN,16.82
Aaron Rodgers,QB,GB,DET,15.12
Sam Bradford,QB,LAR,BUF,14.66
Jay Cutler,QB,CHI,MIN,14.00
Tony Romo,QB,DAL,CIN,13.72
Ryan Fitzpatrick,QB,BUF,LAR,13.38
Ryan Tannehill,QB,MIA,SF,12.50
Andy Dalton,QB,CIN,DAL,11.24
Andrew Luck,QB,IND,TEN,10.54
Brandon Weeden,QB,CLE,KC,10.18
Russell Wilson,QB,SEA,ARI,10.12
Matt Schaub,QB,HOU,NE,8.28
Jason Campbell,QB,CHI,MIN,7.36
Kirk Cousins,QB,WAS,BAL,7.04
TJ Yates,QB,HOU,NE,6.70
Brady Quinn,QB,KC,CLE,5.76
Chad Henne,QB,JAX,NYJ,5.50
Mark Sanchez,QB,NYJ,JAX,4.54
Christian Ponder,QB,MIN,CHI,2.64
Matt Flynn,QB,SEA,ARI,2.52
Ryan Lindley,QB,ARI,SEA,1.16
Matt Moore,QB,MIA,SF,0.00
Alex Smith,QB,SF,MIA,0.00
Chase Daniel,QB,NO,NYG,0.00
Colt McCoy,QB,CLE,KC,-0.20
Ryan Mallett,QB,NE,HOU,-1.30
John Skelton,QB,ARI,SEA,-1.84
Roddy White,WR,ATL,CAR,29.70
Victor Cruz,WR,NYG,NO,29.10
Jeremy Maclin,WR,PHI,TB,28.40
Vincent Jackson,WR,TB,PHI,28.10
Brandon Lloyd,WR,NE,HOU,27.90
Danario Alexander,WR,LAC,PIT,27.80
Kenny Britt,WR,TEN,IND,25.30
Brandon Gibson,WR,LAR,BUF,25.00
Calvin Johnson,WR,DET,GB,24.80
Jason Avant,WR,PHI,TB,23.30
Anquan Boldin,WR,BAL,WAS,22.80
Steve Smith,WR,CAR,ATL,20.90
Randall Cobb,WR,GB,DET,20.20
Pierre Garcon,WR,WAS,BAL,19.50
Darrius Heyward-Bey,WR,OAK,DEN,19.20
Michael Crabtree,WR,SF,MIA,18.30
Reggie Wayne,WR,IND,TEN,17.90
Julio Jones,WR,ATL,CAR,17.60
Andre Johnson,WR,HOU,NE,17.50
Rod Streater,WR,OAK,DEN,17.00
Eric Decker,WR,DEN,OAK,16.80
Hakeem Nicks,WR,NYG,NO,16.70
Josh Gordon,WR,CLE,KC,16.60
Andrew Hawkins,WR,CIN,DAL,16.40
Joseph Morgan,WR,NO,NYG,15.60
Alshon Jeffery,WR,CHI,MIN,14.70
Dez Bryant,WR,DAL,CIN,13.90
Antonio Brown,WR,PIT,LAC,13.50
Micheal Spurlock,WR,LAC,PIT,13.40
Donte' Stallworth,WR,NE,HOU,13.30
Demaryius Thomas,WR,DEN,OAK,13.30
Steve Johnson,WR,BUF,LAR,13.10
Greg Little,WR,CLE,KC,12.60
Domenik Hixon,WR,NYG,NO,12.00
Josh Morgan,WR,WAS,BAL,12.00
Justin Blackmon,WR,JAX,NYJ,11.70
Marvin Jones,WR,CIN,DAL,11.20
Leonard Hankerson,WR,WAS,BAL,11.00
Mike Williams,WR,TB,PHI,10.80
Jordan Shipley,WR,JAX,NYJ,10.50
Malcom Floyd,WR,LAC,PIT,10.00
Davone Bess,WR,MIA,SF,10.00
Kris Durham,WR,DET,GB,9.40
Marques Colston,WR,NO,NYG,9.10
Dwayne Bowe,WR,KC,CLE,9.00
Devin Hester,WR,CHI,MIN,8.90
Kendall Wright,WR,TEN,IND,8.90
Miles Austin,WR,DAL,CIN,8.60
Anthony McCoy,TE,SEA,ARI,16.50
Dennis Pitta,TE,BAL,WAS,15.60
Greg Olsen,TE,CAR,ATL,15.50
Martellus Bennett,TE,NYG,NO,14.20
Tony Gonzalez,TE,ATL,CAR,14.10
Joel Dreessen,TE,DEN,OAK,14.00
Scott Chandler,TE,BUF,LAR,12.10
Heath Miller,TE,PIT,LAC,11.60
Tony Scheffler,TE,DET,GB,11.00
Jared Cook,TE,TEN,IND,11.00
Zach Miller,TE,SEA,ARI,10.90
Jimmy Graham,TE,NO,NYG,10.60
Rob Housler,TE,ARI,SEA,10.60
Jason Witten,TE,DAL,CIN,10.20
Anthony Fasano,TE,MIA,SF,8.90
Jermaine Gresham,TE,CIN,DAL,8.30
Benjamin Watson,TE,CLE,KC,7.30
Lee Smith,TE,BUF,LAR,7.20
Lance Kendricks,TE,LAR,BUF,6.60
Antonio Gates,TE,LAC,PIT,6.10
Will Heller,TE,DET,GB,6.10
Kellen Davis,TE,CHI,MIN,5.50
Jeff Cumberland,TE,NYJ,JAX,4.70
Jacob Tamme,TE,DEN,OAK,4.40
Owen Daniels,TE,HOU,NE,4.40
James Casey,TE,HOU,NE,4.00
Jermichael Finley,TE,GB,DET,3.60
Delanie Walker,TE,SF,MIA,3.00
Dallas Clark,TE,TB,PHI,2.90
Craig Stevens,TE,TEN,IND,2.90
Orson Charles,TE,CIN,DAL,2.70
Konrad Reuland,TE,NYJ,JAX,2.70
Chase Coffman,TE,ATL,CAR,2.20
Dwayne Allen,TE,IND,TEN,2.10
Tony Moeaki,TE,KC,CLE,2.00
Jordan Cameron,TE,CLE,KC,2.00
Kyle Adams,TE,CHI,MIN,1.90
Coby Fleener,TE,IND,TEN,1.90
Logan Paulsen,TE,WAS,BAL,1.80
Brandon Myers,TE,OAK,DEN,1.70
Gary Barnidge,TE,CAR,ATL,1.60
Vernon Davis,TE,SF,MIA,1.40
Marcedes Lewis,TE,JAX,NYJ,1.40
Michael Palmer,TE,ATL,CAR,1.40
Charles Clay,TE,MIA,SF,1.30
James Hanna,TE,DAL,CIN,1.30
Zach Potter,TE,JAX,NYJ,1.20
Brent Celek,TE,PHI,TB,1.10
David Wilson,RB,NYG,NO,31.00
Knowshon Moreno,RB,DEN,OAK,29.70
Ray Rice,RB,BAL,WAS,25.60
Jamaal Charles,RB,KC,CLE,25.50
Doug Martin,RB,TB,PHI,25.20
Darren Sproles,RB,NO,NYG,24.40
Alfred Morris,RB,WAS,BAL,20.90
DeAngelo Williams,RB,CAR,ATL,19.20
Arian Foster,RB,HOU,NE,18.50
Trent Richardson,RB,CLE,KC,18.10
Matt Forte,RB,CHI,MIN,17.90
DeMarco Murray,RB,DAL,CIN,17.50
Montell Owens,FB,JAX,NYJ,17.20
Frank Gore,RB,SF,MIA,16.50
Reggie Bush,RB,MIA,SF,15.30
Joique Bell,RB,DET,GB,14.60
Pierre Thomas,RB,NO,NYG,14.60
Darren McFadden,RB,OAK,DEN,14.40
Steven Jackson,RB,LAR,BUF,14.30
Bilal Powell,RB,NYJ,JAX,13.80
Robert Turbin,RB,SEA,ARI,13.80
Shonn Greene,RB,NYJ,JAX,13.70
Stevan Ridley,RB,NE,HOU,13.20
BenJarvus Green-Ellis,RB,CIN,DAL,13.20
Jacquizz Rodgers,RB,ATL,CAR,12.40
Vick Ballard,RB,IND,TEN,11.40
Leon Washington,RB,SEA,ARI,9.80
DuJuan Harris,RB,GB,DET,9.10
Chris Johnson,RB,TEN,IND,8.90
Delone Carter,RB,IND,TEN,8.40
Bernard Pierce,RB,BAL,WAS,8.40
Jonathan Dwyer,RB,PIT,LAC,8.00
Alex Green,RB,GB,DET,7.60
Michael Turner,RB,ATL,CAR,7.40
Fred Jackson,RB,BUF,LAR,7.00
Anthony Dixon,RB,SF,MIA,6.90
Mark Ingram,RB,NO,NYG,6.80
Mike Tolbert,FB,CAR,ATL,6.80
Ryan Mathews,RB,LAC,PIT,6.50
CJ Spiller,RB,BUF,LAR,6.20
Danny Woodhead,RB,NE,HOU,5.80
LaMichael James,RB,SF,MIA,5.50
Ben Tate,RB,HOU,NE,5.50
William Powell,RB,ARI,SEA,5.30
Montario Hardesty,RB,CLE,KC,5.20
Mikel Leshoure,RB,DET,GB,4.90
Shane Vereen,RB,NE,HOU,4.00
Darrel Young,FB,WAS,BAL,3.80
Matt Prater,K,DEN,OAK,0.00
Graham Gano,K,CAR,ATL,0.00
Phil Dawson,K,CLE,KC,0.00
Nick Novak,K,LAC,PIT,0.00
Rob Bironas,K,TEN,IND,0.00
Kai Forbath,K,WAS,BAL,0.00
Adam Vinatieri,K,IND,TEN,0.00
Lawrence Tynes,K,NYG,NO,0.00
Dan Carpenter,K,MIA,SF,0.00
Mason Crosby,K,GB,DET,0.00
Garrett Hartley,K,NO,NYG,0.00
David Akers,K,SF,MIA,0.00
Dan Bailey,K,DAL,CIN,0.00
