Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Cam Newton,QB,14,CAR,ATL,23,35,66,287,8,2,0,110,9,116,13,1,40.08,2012
2,Nick Foles,QB,14,PHI,TB,32,51,63,381,8,2,0,99,3,27,9,1,34.94,2012
3,Tom Brady,QB,14,NE,HOU,21,35,60,296,9,4,0,125,1,6,6,0,28.44,2012
4,Ben Roethlisberger,QB,14,PIT,LAC,22,42,52,285,7,3,1,88,5,31,6,0,24.50,2012
5,Eli Manning,QB,14,NYG,NO,22,35,63,259,7,4,2,100,2,-3,-2,0,24.06,2012
6,Matt Ryan,QB,14,ATL,CAR,34,49,69,342,7,2,1,94,0,0,0,0,23.68,2012
7,Philip Rivers,QB,14,LAC,PIT,21,41,51,200,5,3,0,89,3,3,1,0,20.30,2012
8,Matthew Stafford,QB,14,DET,GB,27,45,60,264,6,1,1,75,3,9,3,1,19.46,2012
9,Drew Brees,QB,14,NO,NYG,26,43,61,354,8,1,2,75,1,-1,-1,0,19.06,2012
10,Colin Kaepernick,QB,14,SF,MIA,18,23,78,185,8,0,0,100,6,53,9,1,18.70,2012
11,Joe Flacco,QB,14,BAL,WAS,16,21,76,182,9,3,1,121,5,9,2,0,18.18,2012
12,Peyton Manning,QB,14,DEN,OAK,26,36,72,310,9,1,1,96,3,-3,-1,0,18.10,2012
13,Jake Locker,QB,14,TEN,IND,22,35,63,262,8,1,2,71,4,51,13,0,17.58,2012
14,Robert Griffin III,QB,14,WAS,BAL,15,26,58,242,9,1,0,102,7,34,5,0,17.08,2012
15,Josh Freeman,QB,14,TB,PHI,14,34,41,189,6,2,0,79,2,13,7,0,16.86,2012
16,Carson Palmer,QB,14,OAK,DEN,19,30,63,273,9,2,1,101,1,-1,-1,0,16.82,2012
17,Aaron Rodgers,QB,14,GB,DET,14,24,58,173,7,0,0,81,3,32,11,1,15.12,2012
18,Sam Bradford,QB,14,LAR,BUF,19,39,49,209,5,1,1,63,4,13,3,0,14.66,2012
19,Jay Cutler,QB,14,CHI,MIN,22,44,50,260,6,1,2,57,2,16,8,0,14.00,2012
20,Tony Romo,QB,14,DAL,CIN,25,43,58,268,6,1,1,75,0,0,0,0,13.72,2012
21,Ryan Fitzpatrick,QB,14,BUF,LAR,25,33,76,247,8,1,1,94,3,5,2,0,13.38,2012
22,Ryan Tannehill,QB,14,MIA,SF,17,33,52,150,5,1,0,74,3,25,8,0,12.50,2012
23,Andy Dalton,QB,14,CIN,DAL,20,33,61,206,6,1,1,76,1,0,0,0,11.24,2012
24,Andrew Luck,QB,14,IND,TEN,16,34,47,196,6,1,2,51,5,7,1,0,10.54,2012
25,Brandon Weeden,QB,14,CLE,KC,17,30,57,217,7,0,0,79,1,15,15,0,10.18,2012
26,Russell Wilson,QB,14,SEA,ARI,7,13,54,148,11,1,1,88,3,12,4,0,10.12,2012
27,Matt Schaub,QB,14,HOU,NE,19,32,59,232,7,0,1,69,0,0,0,0,8.28,2012
28,Jason Campbell,QB,14,CHI,MIN,6,9,67,64,7,1,0,124,1,8,8,0,7.36,2012
29,Kirk Cousins,QB,14,WAS,BAL,2,2,100,26,13,1,0,158,0,0,0,0,7.04,2012
30,TJ Yates,QB,14,HOU,NE,2,4,50,15,4,0,0,59,1,1,1,1,6.70,2012
31,Brady Quinn,QB,14,KC,CLE,10,21,48,159,8,0,1,53,1,4,4,0,5.76,2012
32,Chad Henne,QB,14,JAX,NYJ,21,43,49,185,4,0,2,41,1,1,1,0,5.50,2012
33,Mark Sanchez,QB,14,NYJ,JAX,12,19,63,111,6,0,0,79,3,11,4,0,4.54,2012
34,Christian Ponder,QB,14,MIN,CHI,11,17,65,91,5,0,1,54,4,0,0,0,2.64,2012
35,Matt Flynn,QB,14,SEA,ARI,5,9,56,68,8,0,0,80,1,-2,-2,0,2.52,2012
36,Ryan Lindley,QB,14,ARI,SEA,8,17,47,59,4,0,0,56,1,-2,-2,0,1.16,2012
37,Matt Moore,QB,14,MIA,SF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2012
38,Alex Smith,QB,14,SF,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2012
39,Chase Daniel,QB,14,NO,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2012
40,Colt McCoy,QB,14,CLE,KC,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.20,2012
41,Ryan Mallett,QB,14,NE,HOU,0,1,0,0,0,0,1,0,3,-3,-1,0,-1.30,2012
42,John Skelton,QB,14,ARI,SEA,11,22,50,74,3,0,4,18,2,2,1,0,-1.84,2012
