Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Steven Hauschka,K,14,SEA,ARI,3,3,100,32,7,7,0.00,2012
2,Josh Brown,K,14,CIN,DAL,4,4,100,52,1,1,0.00,2012
3,Matt Prater,K,14,DEN,OAK,4,4,100,43,2,2,0.00,2012
4,Graham Gano,K,14,CAR,ATL,3,3,100,41,3,3,0.00,2012
5,Phil Dawson,K,14,CLE,KC,3,3,100,34,3,3,0.00,2012
6,Nick Novak,K,14,LAC,PIT,2,2,100,51,4,4,0.00,2012
7,Rob Bironas,K,14,TEN,IND,3,4,75,40,2,2,0.00,2012
8,Adam Vinatieri,K,14,IND,TEN,2,2,100,53,3,3,0.00,2012
9,Kai Forbath,K,14,WAS,BAL,3,3,100,49,2,2,0.00,2012
10,Lawrence Tynes,K,14,NYG,NO,1,2,50,39,7,7,0.00,2012
11,Dan Carpenter,K,14,MIA,SF,2,2,100,53,1,1,0.00,2012
12,David Akers,K,14,SF,MIA,2,2,100,37,3,3,0.00,2012
13,Garrett Hartley,K,14,NO,NYG,2,2,100,32,3,3,0.00,2012
14,Mason Crosby,K,14,GB,DET,2,3,67,49,3,3,0.00,2012
15,Dan Bailey,K,14,DAL,CIN,2,2,100,40,2,2,0.00,2012
16,Jason Hanson,K,14,DET,GB,2,3,67,46,2,2,0.00,2012
17,Rian Lindell,K,14,BUF,LAR,2,2,100,40,0,0,0.00,2012
18,Shaun Suisham,K,14,PIT,LAC,1,1,100,49,3,3,0.00,2012
19,Stephen Gostkowski,K,14,NE,HOU,0,0,0,0,6,6,0.00,2012
20,Nick Folk,K,14,NYJ,JAX,1,1,100,44,2,2,0.00,2012
21,Alex Henery,K,14,PHI,TB,1,3,33,28,2,2,0.00,2012
22,Josh Scobee,K,14,JAX,NYJ,1,2,50,31,1,1,0.00,2012
23,Justin Tucker,K,14,BAL,WAS,0,0,0,0,4,4,0.00,2012
24,Blair Walsh,K,14,MIN,CHI,0,0,0,0,3,3,0.00,2012
25,Connor Barth,K,14,TB,PHI,0,0,0,0,3,3,0.00,2012
26,Matt Bryant,K,14,ATL,CAR,0,0,0,0,2,2,0.00,2012
27,Robbie Gould,K,14,CHI,MIN,0,0,0,0,2,2,0.00,2012
28,Shayne Graham,K,14,HOU,NE,0,0,0,0,2,2,0.00,2012
29,Sebastian Janikowski,K,14,OAK,DEN,0,0,0,0,1,1,0.00,2012
30,Greg Zuerlein,K,14,LAR,BUF,0,0,0,0,1,1,0.00,2012
31,Ryan Succop,K,14,KC,CLE,0,1,0,0,1,1,0.00,2012
32,Jay Feely,K,14,ARI,SEA,0,0,0,0,0,0,0.00,2012
