,Player,Position,Team,Opponent,Points,PlayerID
0,Ben Roethlisberger,QB,PIT,NE,24.7,00-0022924
1,Eli Manning,QB,NYG,MIA,24.66,00-0022803
2,Michael Vick,QB,PHI,DAL,24.16,
3,Matt Schaub,QB,HOU,JAX,18.2,00-0022787
4,Ryan Fitzpatrick,QB,BUF,WAS,16.88,00-0023682
5,Philip Rivers,QB,LAC,KC,16.86,00-0022942
6,Joe Flacco,QB,BAL,ARI,15.94,00-0026158
7,Tom Brady,QB,NE,PIT,15.92,00-0019596
8,Curtis Painter,QB,IND,TEN,15.9,00-0027134
9,Tim Tebow,QB,DEN,DET,15.18,00-0027876
10,Tarvaris Jackson,QB,SEA,CIN,15.12,00-0024279
11,Colt McCoy,QB,CLE,SF,14.64,00-0027688
12,Christian Ponder,QB,MIN,CAR,13.84,00-0027950
13,Matt Moore,QB,MIA,NYG,13.62,00-0025708
14,Alex Smith,QB,SF,CLE,13.28,00-0023436
15,Andy Dalton,QB,CIN,SEA,13.02,00-0027973
16,Matt Hasselbeck,QB,TEN,IND,12.86,00-0007091
17,Matt Cassel,QB,KC,LAC,12.84,00-0023662
18,Drew Brees,QB,NO,LAR,12.66,00-0020531
19,Tony Romo,QB,DAL,PHI,12.02,00-0021678
20,AJ Feeley,QB,LA,NO,10.5,
21,Kevin Kolb,QB,ARI,BAL,9.62,00-0025423
22,John Beck,QB,WAS,BUF,7.32,00-0025427
23,Blaine Gabbert,QB,JAX,HOU,7.28,00-0027948
24,Charlie Whitehurst,QB,SEA,CIN,2.18,00-0024296
25,Shaun Hill,QB,DET,DEN,0.1,00-0020679
26,Chase Daniel,QB,NO,LAR,0.0,00-0026544
27,Joe Webb,QB,MIN,CAR,0.0,00-0027796
28,Luke McCown,QB,JAX,HOU,0.0,00-0022864
29,Anquan Boldin,WR,BAL,ARI,24.5,00-0022084
30,Laurent Robinson,WR,DAL,PHI,24.3,00-0025462
31,Victor Cruz,WR,NYG,MIA,22.9,00-0027265
32,Antonio Brown,WR,PIT,NE,21.7,00-0027793
33,Lance Moore,WR,NO,LAR,20.4,00-0023310
34,Sidney Rice,WR,SEA,CIN,20.2,00-0025431
35,Nate Washington,WR,TEN,IND,19.7,00-0023367
36,Jonathan Baldwin,WR,KC,LAC,19.2,
37,Eric Decker,WR,DEN,DET,19.2,00-0027690
38,Malcom Floyd,WR,LAC,KC,18.7,00-0022414
39,Mario Manningham,WR,NYG,MIA,18.3,00-0026235
40,Ben Obomanu,WR,SEA,CIN,17.7,00-0024463
41,Brandon Lloyd,WR,LA,NO,17.3,00-0022097
42,Titus Young,WR,DET,DEN,16.6,00-0027982
43,Percy Harvin,WR,MIN,CAR,16.4,00-0026998
44,Michael Crabtree,WR,SF,CLE,16.4,00-0026986
45,AJ Green,WR,CIN,SEA,16.3,00-0027942
46,Jeremy Maclin,WR,PHI,DAL,14.4,00-0026995
47,Mike Wallace,WR,PIT,NE,14.0,00-0026901
48,Joshua Cribbs,WR,CLE,SF,13.6,
49,Deion Branch,WR,NE,PIT,13.6,00-0021192
50,Pierre Garcon,WR,IND,TEN,13.6,00-0026345
51,Larry Fitzgerald,WR,ARI,BAL,12.8,00-0022921
52,Hakeem Nicks,WR,NYG,MIA,12.7,00-0027005
53,Jason Avant,WR,PHI,DAL,12.4,00-0024324
54,Doug Baldwin,WR,SEA,CIN,12.3,00-0028434
55,Emmanuel Sanders,WR,PIT,NE,12.0,00-0027685
56,Kevin Walter,WR,HOU,JAX,12.0,00-0021931
57,Steve Johnson,WR,BUF,WAS,11.7,00-0026364
58,Reggie Wayne,WR,IND,TEN,11.1,00-0020498
59,Greg Salas,WR,LA,NO,10.5,00-0028050
60,Dwayne Bowe,WR,KC,LAC,10.2,00-0025410
61,Eddie Royal,WR,DEN,DET,10.1,00-0026182
62,Early Doucet,WR,ARI,BAL,10.0,00-0026221
63,Damian Williams,WR,TEN,IND,10.0,00-0027893
64,Legedu Naanee,WR,CAR,MIN,9.9,00-0025559
65,Wes Welker,WR,NE,PIT,9.9,00-0022427
66,Brandon Marshall,WR,MIA,NYG,9.5,00-0024334
67,Austin Collie,WR,IND,TEN,9.4,00-0027092
68,Jacoby Jones,WR,HOU,JAX,8.9,00-0025460
69,Torrey Smith,WR,BAL,ARI,8.7,00-0027996
70,David Nelson,WR,BUF,WAS,8.7,00-0027322
71,Jerome Simpson,WR,CIN,SEA,8.4,00-0026186
72,Braylon Edwards,WR,SF,CLE,8.2,00-0023438
73,Jordan Norwood,WR,CLE,SF,8.2,00-0026739
74,Patrick Crayton,WR,LAC,KC,8.0,00-0022766
75,Marques Colston,WR,NO,LAR,8.0,00-0024466
76,Jabar Gaffney,WR,WAS,BUF,8.0,00-0021163
77,Fred Davis,TE,WAS,BUF,17.4,00-0026188
78,Greg Olsen,TE,CAR,MIN,17.3,00-0025418
79,Rob Gronkowski,TE,NE,PIT,16.4,00-0027656
80,Heath Miller,TE,PIT,NE,15.5,00-0023465
81,Dallas Clark,TE,IND,TEN,13.7,00-0022165
82,Tony Scheffler,TE,DET,DEN,12.8,00-0024276
83,Antonio Gates,TE,LAC,KC,11.3,00-0021547
84,Ed Dickson,TE,BAL,ARI,10.6,00-0027675
85,Dennis Pitta,TE,BAL,ARI,10.4,00-0027714
86,Owen Daniels,TE,HOU,JAX,10.0,00-0024313
87,Joel Dreessen,TE,HOU,JAX,9.9,00-0023630
88,Jake Ballard,TE,NYG,MIA,9.5,00-0027259
89,Benjamin Watson,TE,CLE,SF,9.4,00-0022943
90,Aaron Hernandez,TE,NE,PIT,9.1,00-0027713
91,Marcedes Lewis,TE,JAX,HOU,8.5,00-0024243
92,Jimmy Graham,TE,NO,LAR,7.9,00-0027696
93,Donald Lee,TE,CIN,SEA,7.4,00-0021929
94,Jeremy Shockey,TE,CAR,MIN,7.1,00-0021148
95,Jason Witten,TE,DAL,PHI,6.8,00-0022127
96,Zach Miller,TE,SEA,CIN,6.7,00-0027125
97,Visanthe Shiancoe,TE,MIN,CAR,6.7,00-0022054
98,Jared Cook,TE,TEN,IND,6.0,00-0027061
99,Jeff King,TE,ARI,BAL,5.9,00-0024369
100,Vernon Davis,TE,SF,CLE,5.7,00-0024221
101,Cameron Morrah,TE,SEA,CIN,4.1,00-0026963
102,Brandon Pettigrew,TE,DET,DEN,3.8,00-0026996
103,Evan Moore,TE,CLE,SF,3.7,00-0026123
104,Kyle Rudolph,TE,MIN,CAR,3.5,00-0027981
105,Bear Pascoe,TE,NYG,MIA,3.2,00-0026931
106,Randy McMichael,TE,LAC,KC,3.1,00-0021236
107,Alex Smith,TE,CLE,SF,3.0,
108,Justin Peelle,TE,SF,CLE,2.9,00-0021227
109,Charles Clay,TE,MIA,NYG,2.6,00-0028112
110,Leonard Pope,TE,KC,LAC,2.1,00-0024287
111,Clay Harbor,TE,PHI,DAL,2.1,00-0027725
112,Billy Bajema,TE,LA,NO,1.7,00-0023679
113,David Johnson,TE,PIT,NE,1.7,
114,Dante Rosario,TE,DEN,DET,1.7,00-0025542
115,Daniel Fells,TE,DEN,DET,1.5,00-0023752
116,Rob Housler,TE,ARI,BAL,1.3,00-0028007
117,Lance Kendricks,TE,LA,NO,1.2,00-0027985
118,Anthony Fasano,TE,MIA,NYG,0.0,00-0024268
119,Martin Rucker,TE,JAX,HOU,0.0,00-0026251
120,Stephen Spach,TE,LA,NO,0.0,00-0023108
121,Lee Smith,TE,BUF,WAS,0.0,00-0028097
122,Will Heller,TE,DET,DEN,0.0,00-0021756
123,Ben Hartsock,TE,CAR,MIN,0.0,00-0022847
124,Colin Cochart,TE,CIN,SEA,0.0,00-0028550
125,Ray Rice,RB,BAL,ARI,34.9,00-0026195
126,Adrian Peterson,RB,MIN,CAR,33.2,00-0025394
127,Fred Jackson,RB,BUF,WAS,25.4,00-0024204
128,Frank Gore,RB,SF,CLE,22.4,00-0023500
129,Arian Foster,RB,HOU,JAX,22.4,00-0026796
130,Reggie Bush,RB,MIA,NYG,19.0,00-0024217
131,Curtis Brinkley,RB,LAC,KC,17.7,00-0026745
132,Ryan Mathews,RB,LAC,KC,16.2,00-0027864
133,Javon Ringer,RB,TEN,IND,15.2,00-0027120
134,Maurice Jones-Drew,RB,JAX,HOU,14.4,00-0024275
135,Chris Wells,RB,ARI,BAL,14.3,
136,Ahmad Bradshaw,RB,NYG,MIA,13.8,00-0025637
137,Darren Sproles,RB,NO,LAR,13.6,00-0023564
138,Maurice Morris,RB,DET,DEN,13.5,00-0021182
139,Pierre Thomas,RB,NO,LAR,13.4,00-0024813
140,Jackie Battle,FB,KC,LAC,13.0,00-0025701
141,Mewelde Moore,RB,PIT,NE,12.5,00-0022217
142,Rashard Mendenhall,RB,PIT,NE,12.2,00-0026163
143,Chris Ogbonnaya,RB,CLE,SF,11.1,00-0027140
144,Bernard Scott,RB,CIN,SEA,10.6,00-0026941
145,Donald Brown,RB,IND,TEN,10.4,00-0027003
146,Kevin Faulk,RB,NE,PIT,10.2,00-0005091
147,Knowshon Moreno,RB,DEN,DET,8.4,00-0026988
148,DeMarco Murray,RB,DAL,PHI,8.2,00-0028009
149,Chris Johnson,RB,TEN,IND,8.1,
150,Jonathan Stewart,RB,CAR,MIN,7.9,00-0026153
151,Marshawn Lynch,RB,SEA,CIN,7.4,00-0025399
152,Steve Slaton,RB,MIA,NYG,6.7,00-0026229
153,Delone Carter,RB,IND,TEN,6.7,00-0028057
154,Lance Ball,RB,DEN,DET,6.7,00-0026432
155,DeAngelo Williams,RB,CAR,MIN,5.9,00-0024242
156,Ricky Williams,RB,BAL,ARI,5.7,00-0017915
157,Roy Helu,RB,WAS,BUF,5.0,00-0028043
158,Dexter McCluster,RB,KC,LAC,4.8,00-0027651
159,Jed Collins,FB,NO,LAR,4.5,00-0026072
160,Phillip Tanner,RB,DAL,PHI,4.1,00-0028613
161,Keiland Williams,RB,DET,DEN,4.0,00-0027214
162,Brian Leonard,RB,CIN,SEA,3.7,00-0025439
163,LeRon McClain,RB,KC,LAC,3.7,
164,Leon Washington,RB,SEA,CIN,3.4,00-0024332
165,Ahmard Hall,FB,TEN,IND,3.3,00-0024489
166,Ben Tate,RB,HOU,JAX,3.2,00-0027890
167,Ryan Torain,RB,WAS,BUF,3.0,00-0026279
168,CJ Spiller,RB,BUF,WAS,2.9,
169,Toby Gerhart,RB,MIN,CAR,2.6,00-0027888
170,Kendall Hunter,RB,SF,CLE,2.6,00-0028053
171,Isaac Redman,RB,PIT,NE,2.6,00-0026566
172,Justin Forsett,RB,SEA,CIN,2.3,00-0026373
173,Shaun Suisham,K,PIT,NE,0.0,00-0023001
174,Rob Bironas,K,TEN,IND,0.0,00-0020962
175,Rian Lindell,K,BUF,WAS,0.0,00-0019310
176,Ryan Succop,K,KC,LAC,0.0,00-0026968
177,Mike Nugent,K,CIN,SEA,0.0,00-0023482
178,Alex Henery,K,PHI,DAL,0.0,00-0028058
179,Jay Feely,K,ARI,BAL,0.0,00-0019770
180,Jason Hanson,K,DET,DEN,0.0,00-0006800
181,Lawrence Tynes,K,NYG,MIA,0.0,00-0019778
182,David Akers,K,SF,CLE,0.0,00-0000108
183,Josh Brown,K,LA,NO,0.0,00-0021940
184,Steven Hauschka,K,SEA,CIN,0.0,
185,Phil Dawson,K,CLE,SF,0.0,00-0004091
186,Neil Rackers,K,HOU,JAX,0.0,00-0019676
187,Thomas Howard,K,CIN,SEA,0.0,00-0024253
188,Ryan Longwell,K,MIN,CAR,0.0,00-0010072
189,Stephen Gostkowski,K,NE,PIT,0.0,00-0024333
190,Dan Carpenter,K,MIA,NYG,0.0,00-0026003
191,Matt Prater,K,DEN,DET,0.0,00-0023853
192,Adam Vinatieri,K,IND,TEN,0.0,00-0016919
193,Olindo Mare,K,CAR,MIN,0.0,00-0010373
194,John Kasay,K,NO,LAR,0.0,00-0009028
195,Josh Scobee,K,JAX,HOU,0.0,00-0022874
196,Dan Bailey,K,DAL,PHI,0.0,00-0028660
197,Graham Gano,K,WAS,BUF,0.0,00-0026858
198,David Buehler,K,DAL,PHI,0.0,00-0027119
199,Cincinnati Bengals,DST,CIN,SEA,24.0,
200,Los Angeles Rams,DST,LA,NO,19.0,
201,Tennessee Titans,DST,TEN,IND,18.0,
202,Kansas City Chiefs,DST,KC,LAC,12.0,
203,Arizona Cardinals,DST,ARI,BAL,12.0,
204,San Francisco 49ers,DST,SF,CLE,12.0,
205,New Orleans Saints,DST,NO,LAR,12.0,
206,Los Angeles Chargers,DST,LAC,KC,11.0,
207,Philadelphia Eagles,DST,PHI,DAL,10.0,
208,Baltimore Ravens,DST,BAL,ARI,8.0,
209,New York Giants,DST,NYG,MIA,8.0,
210,Minnesota Vikings,DST,MIN,CAR,7.0,
211,New England Patriots,DST,NE,PIT,7.0,
212,Jacksonville Jaguars,DST,JAX,HOU,6.0,
213,Carolina Panthers,DST,CAR,MIN,6.0,
214,Pittsburgh Steelers,DST,PIT,NE,6.0,
215,Houston Texans,DST,HOU,JAX,6.0,
216,Washington Redskins,DST,WAS,BUF,6.0,
217,Seattle Seahawks,DST,SEA,CIN,4.0,
218,Dallas Cowboys,DST,DAL,PHI,3.0,
219,Miami Dolphins,DST,MIA,NYG,2.0,
220,Cleveland Browns,DST,CLE,SF,2.0,
221,Denver Broncos,DST,DEN,DET,1.0,
222,Indianapolis Colts,DST,IND,TEN,1.0,
