Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Cam Newton,QB,8,CAR,MIN,22,35,63,290,8,3,0,118,6,53,9,0,26.90,2011
2,Matthew Stafford,QB,8,DET,DEN,21,30,70,267,9,3,0,131,1,21,21,0,24.78,2011
3,Ben Roethlisberger,QB,8,PIT,NE,36,50,72,365,7,2,1,98,2,1,1,0,24.70,2011
4,Eli Manning,QB,8,NYG,MIA,31,45,69,349,8,2,0,107,4,-3,-1,0,24.66,2011
5,Michael Vick,QB,8,PHI,DAL,21,28,75,279,10,2,0,130,7,50,7,0,24.16,2011
6,Matt Schaub,QB,8,HOU,JAX,16,30,53,225,8,1,0,89,1,2,2,1,18.20,2011
7,Ryan Fitzpatrick,QB,8,BUF,WAS,21,27,78,262,10,2,1,116,3,4,1,0,16.88,2011
8,Philip Rivers,QB,8,LAC,KC,26,41,63,369,9,0,2,72,3,1,0,0,16.86,2011
9,Joe Flacco,QB,8,BAL,ARI,31,51,61,336,7,0,1,72,4,15,4,0,15.94,2011
10,Tom Brady,QB,8,NE,PIT,24,35,69,198,6,2,0,102,0,0,0,0,15.92,2011
11,Curtis Painter,QB,8,IND,TEN,26,49,53,250,5,0,2,51,7,79,11,0,15.90,2011
12,Tim Tebow,QB,8,DEN,DET,18,39,46,172,4,1,1,57,10,63,6,0,15.18,2011
13,Tarvaris Jackson,QB,8,SEA,CIN,21,40,53,323,8,0,1,69,1,2,2,0,15.12,2011
14,Colt McCoy,QB,8,CLE,SF,22,34,65,241,7,1,1,83,8,30,4,0,14.64,2011
15,Christian Ponder,QB,8,MIN,CAR,18,28,64,236,8,1,0,103,4,4,1,0,13.84,2011
16,Matt Moore,QB,8,MIA,NYG,13,22,59,138,6,0,1,59,5,31,6,1,13.62,2011
17,Alex Smith,QB,8,SF,CLE,15,24,63,177,7,1,0,99,4,22,6,0,13.28,2011
18,Andy Dalton,QB,8,CIN,SEA,18,29,62,168,6,2,2,72,2,3,2,0,13.02,2011
19,Matt Hasselbeck,QB,8,TEN,IND,23,33,70,224,7,1,0,99,1,-1,-1,0,12.86,2011
20,Matt Cassel,QB,8,KC,LAC,19,32,59,261,8,1,2,70,2,14,7,0,12.84,2011
21,Drew Brees,QB,8,NO,LAR,30,44,68,269,6,1,2,73,1,-1,-1,0,12.66,2011
22,Tony Romo,QB,8,DAL,PHI,18,35,51,203,6,1,1,67,1,9,9,0,12.02,2011
23,AJ Feeley,QB,8,LAR,NO,20,37,54,175,5,1,0,76,2,5,3,0,10.50,2011
24,Kevin Kolb,QB,8,ARI,BAL,10,21,48,153,7,1,1,68,1,5,5,0,9.62,2011
25,John Beck,QB,8,WAS,BUF,20,33,61,208,6,0,2,54,3,10,3,0,7.32,2011
26,Blaine Gabbert,QB,8,JAX,HOU,10,30,33,97,3,1,2,27,4,14,4,0,7.28,2011
27,Charlie Whitehurst,QB,8,SEA,CIN,4,7,57,52,7,0,0,81,1,1,1,0,2.18,2011
28,Shaun Hill,QB,8,DET,DEN,1,2,50,5,3,0,0,56,1,-1,-1,0,0.10,2011
29,Joe Webb,QB,8,MIN,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
30,Luke McCown,QB,8,JAX,HOU,0,2,0,0,0,0,0,40,0,0,0,0,0.00,2011
31,Chase Daniel,QB,8,NO,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
