Player,Position,Team,Opponent,Points
Cam Newton,QB,CAR,TB,29.32
Brandon Weeden,QB,CLE,JAX,27.30
Matthew Stafford,QB,DET,GB,26.00
Ryan Tannehill,QB,MIA,NYJ,25.44
Josh McCown,QB,CHI,MIN,25.20
Tom Brady,QB,NE,HOU,24.84
Carson Palmer,QB,ARI,PHI,23.98
Nick Foles,QB,PHI,ARI,23.68
Alex Smith,QB,KC,DEN,23.32
Robert Griffin III,QB,WAS,NYG,21.08
Matt Ryan,QB,ATL,BUF,20.14
Ryan Fitzpatrick,QB,TEN,IND,19.44
Ben Roethlisberger,QB,PIT,BAL,19.38
EJ Manuel,QB,BUF,ATL,18.70
Colin Kaepernick,QB,SF,LAR,17.10
Case Keenum,QB,HOU,NE,16.48
Chad Henne,QB,JAX,CLE,14.80
Joe Flacco,QB,BAL,PIT,14.74
Kellen Clemens,QB,LAR,SF,13.82
Philip Rivers,QB,LAC,CIN,13.48
Tony Romo,QB,DAL,OAK,12.90
Matt Cassel,QB,MIN,CHI,12.72
Eli Manning,QB,NYG,WAS,12.40
Andy Dalton,QB,CIN,LAC,11.50
Andrew Luck,QB,IND,TEN,11.20
Matt McGloin,QB,OAK,DAL,9.10
Drew Brees,QB,NO,SEA,8.78
Mike Glennon,QB,TB,CAR,5.50
Matt Flynn,QB,GB,DET,2.96
Christian Ponder,QB,MIN,CHI,1.60
Chris Simms,QB,NYJ,MIA,1.36
Geno Smith,QB,NYJ,MIA,0.36
Derek Anderson,QB,CAR,TB,0.20
Thaddeus Lewis,QB,BUF,ATL,0.00
Joe Webb,QB,MIN,CHI,0.00
Luke McCown,QB,NO,SEA,0.00
Shaun Hill,QB,DET,GB,-0.20
Josh Gordon,WR,CLE,JAX,51.10
Brian Hartline,WR,MIA,NYJ,30.70
Roddy White,WR,ATL,BUF,27.30
Calvin Johnson,WR,DET,GB,25.10
Andre Holmes,WR,OAK,DAL,23.60
Andre Johnson,WR,HOU,NE,23.10
Julian Edelman,WR,NE,HOU,22.10
Torrey Smith,WR,BAL,PIT,21.30
Mike Wallace,WR,MIA,NYJ,21.20
Michael Floyd,WR,ARI,PHI,20.90
Greg Jennings,WR,MIN,CHI,20.80
Keenan Allen,WR,LAC,CIN,20.60
AJ Green,WR,CIN,LAC,19.30
Dez Bryant,WR,DAL,OAK,19.10
Anquan Boldin,WR,SF,LAR,18.80
Cecil Shorts,WR,JAX,CLE,18.40
Larry Fitzgerald,WR,ARI,PHI,18.20
Doug Baldwin,WR,SEA,NO,17.70
Demaryius Thomas,WR,DEN,KC,16.60
Emmanuel Sanders,WR,PIT,BAL,16.30
Ace Sanders,WR,JAX,CLE,15.10
Pierre Garcon,WR,WAS,NYG,14.10
Victor Cruz,WR,NYG,WAS,14.00
Kendall Wright,WR,TEN,IND,13.70
Harry Douglas,WR,ATL,BUF,13.30
Junior Hemingway,WR,KC,DEN,13.20
Brian Quick,WR,LAR,SF,13.10
Nate Washington,WR,TEN,IND,13.10
Ted Ginn,WR,CAR,TB,12.70
Brandon LaFell,WR,CAR,TB,12.60
James Jones,WR,GB,DET,10.90
Antonio Brown,WR,PIT,BAL,10.90
Jerome Simpson,WR,MIN,CHI,10.60
Vincent Jackson,WR,TB,CAR,10.50
