Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Justin Tucker,K,13,BAL,PIT,5,5,100,48,1,1,0.00,2013
2,Adam Vinatieri,K,13,IND,TEN,5,5,100,49,1,1,0.00,2013
3,Stephen Gostkowski,K,13,NE,HOU,2,3,67,53,4,4,0.00,2013
4,Josh Scobee,K,13,JAX,CLE,3,3,100,44,3,3,0.00,2013
5,Caleb Sturgis,K,13,MIA,NYJ,3,4,75,43,2,2,0.00,2013
6,Blair Walsh,K,13,MIN,CHI,3,4,75,34,2,2,0.00,2013
7,Phil Dawson,K,13,SF,LAR,3,3,100,43,2,2,0.00,2013
8,Matt Bryant,K,13,ATL,BUF,2,2,100,49,4,4,0.00,2013
9,Steven Hauschka,K,13,SEA,NO,2,2,100,26,4,4,0.00,2013
10,Graham Gano,K,13,CAR,TB,2,2,100,23,3,3,0.00,2013
11,David Akers,K,13,DET,GB,1,2,50,27,5,5,0.00,2013
12,Rian Lindell,K,13,TB,CAR,2,3,67,53,0,0,0.00,2013
13,Robbie Gould,K,13,CHI,MIN,2,4,50,40,2,2,0.00,2013
14,Dan Bailey,K,13,DAL,OAK,1,1,100,19,4,4,0.00,2013
15,Randy Bullock,K,13,HOU,NE,1,1,100,43,4,4,0.00,2013
16,Dan Carpenter,K,13,BUF,ATL,1,1,100,29,4,4,0.00,2013
17,Greg Zuerlein,K,13,LAR,SF,2,2,100,43,1,1,0.00,2013
18,Mason Crosby,K,13,GB,DET,1,1,100,54,1,1,0.00,2013
19,Sebastian Janikowski,K,13,OAK,DAL,1,1,100,45,3,3,0.00,2013
20,Alex Henery,K,13,PHI,ARI,1,1,100,32,3,3,0.00,2013
21,Josh Brown,K,13,NYG,WAS,1,1,100,39,3,3,0.00,2013
22,Matt Prater,K,13,DEN,KC,0,0,0,0,5,5,0.00,2013
23,Mike Nugent,K,13,CIN,LAC,1,1,100,46,2,2,0.00,2013
24,Kai Forbath,K,13,WAS,NYG,1,1,100,33,2,2,0.00,2013
25,Billy Cundiff,K,13,CLE,JAX,0,1,0,0,4,4,0.00,2013
26,Ryan Succop,K,13,KC,DEN,0,0,0,0,4,4,0.00,2013
27,Nick Novak,K,13,LAC,CIN,1,1,100,48,1,1,0.00,2013
28,Jay Feely,K,13,ARI,PHI,0,0,0,0,3,3,0.00,2013
29,Nick Folk,K,13,NYJ,MIA,1,1,100,20,0,0,0.00,2013
30,Rob Bironas,K,13,TEN,IND,0,0,0,0,2,2,0.00,2013
31,Garrett Hartley,K,13,NO,SEA,0,0,0,0,1,1,0.00,2013
32,Shaun Suisham,K,13,PIT,BAL,0,0,0,0,2,2,-1.20,2013
