Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Peyton Manning,QB,1,DEN,BAL,27,42,64,462,11,7,0,141,2,-2,-1,0,49.28,2013
2,Eli Manning,QB,1,NYG,DAL,27,42,64,450,11,4,3,102,2,8,4,0,34.80,2013
3,Colin Kaepernick,QB,1,SF,GB,27,39,69,412,11,3,0,129,7,22,3,0,33.68,2013
4,Aaron Rodgers,QB,1,GB,SF,21,37,57,333,9,3,1,103,2,13,7,0,28.62,2013
5,Matt Schaub,QB,1,HOU,LAC,34,45,76,346,8,3,1,110,0,0,0,0,27.84,2013
6,Michael Vick,QB,1,PHI,WAS,15,25,60,203,8,2,0,113,9,54,6,1,26.52,2013
7,Andrew Luck,QB,1,IND,OAK,18,23,78,178,8,2,0,128,6,38,6,1,24.92,2013
8,Philip Rivers,QB,1,LAC,HOU,14,29,48,195,7,4,1,96,1,18,18,0,24.60,2013
9,Robert Griffin III,QB,1,WAS,PHI,30,49,61,329,7,2,2,78,5,24,5,0,24.56,2013
10,Matthew Stafford,QB,1,DET,MIN,28,43,65,357,8,2,1,97,5,2,0,0,24.48,2013
11,Drew Brees,QB,1,NO,ATL,26,35,74,357,10,2,1,114,3,2,1,0,24.48,2013
12,Joe Flacco,QB,1,BAL,DEN,34,62,55,362,6,2,2,69,0,0,0,0,23.48,2013
13,Matt Ryan,QB,1,ATL,NO,25,38,66,304,8,2,1,97,1,12,12,0,23.36,2013
14,Carson Palmer,QB,1,ARI,LAR,26,40,65,327,8,2,1,97,0,0,0,0,22.08,2013
15,Sam Bradford,QB,1,LAR,ARI,27,38,71,299,8,2,1,101,2,1,1,0,21.06,2013
16,Russell Wilson,QB,1,SEA,CAR,25,33,76,320,10,1,0,116,5,7,1,0,19.50,2013
17,Jay Cutler,QB,1,CHI,CIN,21,33,64,242,7,2,1,93,3,16,5,0,18.28,2013
18,Andy Dalton,QB,1,CIN,CHI,26,33,79,282,9,2,2,97,2,2,1,0,17.48,2013
19,Alex Smith,QB,1,KC,JAX,21,34,62,173,5,2,0,94,4,25,6,0,17.42,2013
20,Tony Romo,QB,1,DAL,NYG,36,49,74,263,5,2,1,91,2,-1,-1,0,17.42,2013
21,Tom Brady,QB,1,NE,BUF,29,52,56,288,6,2,1,76,5,-4,-1,0,17.12,2013
22,Geno Smith,QB,1,NYJ,TB,24,38,63,256,7,1,1,81,6,47,8,0,16.94,2013
23,EJ Manuel,QB,1,BUF,NE,18,27,67,150,6,2,0,105,3,23,8,0,16.30,2013
24,Ryan Tannehill,QB,1,MIA,CLE,24,38,63,272,7,1,1,82,5,3,1,0,14.18,2013
25,Cam Newton,QB,1,CAR,SEA,16,23,70,125,5,1,0,97,5,38,8,0,12.80,2013
26,Brandon Weeden,QB,1,CLE,MIA,26,53,49,289,6,1,3,48,0,0,0,0,12.56,2013
27,Josh Freeman,QB,1,TB,NYJ,15,31,48,210,7,1,1,68,1,0,0,0,11.40,2013
28,Ben Roethlisberger,QB,1,PIT,TEN,21,33,64,191,6,1,1,77,0,0,0,0,10.64,2013
29,Christian Ponder,QB,1,MIN,DET,18,28,64,236,8,1,3,63,4,12,3,0,10.64,2013
30,Jake Locker,QB,1,TEN,PIT,11,20,55,125,6,0,0,74,5,3,1,0,5.30,2013
31,Blaine Gabbert,QB,1,JAX,KC,16,35,46,121,4,0,2,31,4,16,4,0,4.44,2013
32,Chad Henne,QB,1,JAX,KC,3,6,50,36,6,0,0,69,0,0,0,0,1.44,2013
33,Luke McCown,QB,1,NO,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2013
34,Joe Webb,QB,1,MIN,DET,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2013
35,Kyle Orton,QB,1,DAL,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2013
36,Chase Daniel,QB,1,KC,JAX,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.20,2013
