Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Stephen Gostkowski,K,6,NE,BUF,3,4,75,53,4,4,0.00,2014
2,Dan Bailey,K,6,DAL,SEA,3,3,100,56,3,3,0.00,2014
3,Graham Gano,K,6,CAR,CIN,3,4,75,44,4,4,0.00,2014
4,Mike Nugent,K,6,CIN,CAR,3,4,75,44,4,4,0.00,2014
5,Justin Tucker,K,6,BAL,TB,2,3,67,49,6,6,0.00,2014
6,Chandler Catanzaro,K,6,ARI,WAS,3,3,100,49,3,3,0.00,2014
7,Steven Hauschka,K,6,SEA,DAL,3,3,100,48,2,2,0.00,2014
8,Matt Bryant,K,6,ATL,CHI,2,2,100,54,1,1,0.00,2014
9,Ryan Succop,K,6,TEN,JAX,3,3,100,42,1,1,0.00,2014
10,Adam Vinatieri,K,6,IND,HOU,2,2,100,34,3,3,0.00,2014
11,Mason Crosby,K,6,GB,MIA,2,2,100,43,3,3,0.00,2014
12,Cody Parkey,K,6,PHI,NYG,2,2,100,45,3,3,0.00,2014
13,Phil Dawson,K,6,SF,LAR,1,1,100,54,4,4,0.00,2014
14,Kai Forbath,K,6,WAS,ARI,2,2,100,43,2,2,0.00,2014
15,Brandon McManus,K,6,DEN,NYJ,1,1,100,37,4,4,0.00,2014
16,Matt Prater,K,6,DET,MIN,1,3,33,52,2,2,0.00,2014
17,Billy Cundiff,K,6,CLE,PIT,1,1,100,40,4,4,0.00,2014
18,Nick Novak,K,6,LAC,OAK,1,1,100,30,4,4,0.00,2014
19,Robbie Gould,K,6,CHI,ATL,2,2,100,28,1,2,0.00,2014
20,Caleb Sturgis,K,6,MIA,GB,1,1,100,48,3,3,0.00,2014
21,Nick Folk,K,6,NYJ,DEN,1,1,100,30,2,2,0.00,2014
22,Patrick Murray,K,6,TB,BAL,1,2,50,47,2,2,0.00,2014
23,Greg Zuerlein,K,6,LAR,SF,1,1,100,38,2,2,0.00,2014
24,Randy Bullock,K,6,HOU,IND,0,1,0,0,4,4,0.00,2014
25,Shaun Suisham,K,6,PIT,CLE,1,1,100,20,1,1,0.00,2014
26,Sebastian Janikowski,K,6,OAK,LAC,0,1,0,0,4,4,0.00,2014
27,Blair Walsh,K,6,MIN,DET,1,1,100,40,0,0,0.00,2014
28,Josh Scobee,K,6,JAX,TEN,0,1,0,0,2,2,0.00,2014
29,Dan Carpenter,K,6,BUF,NE,0,0,0,0,2,2,0.00,2014
30,Jordan Gay,K,6,BUF,NE,0,0,0,0,0,0,0.00,2014
31,Josh Brown,K,6,NYG,PHI,0,0,0,0,0,0,0.00,2014
