Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Matt Forte,RB,6,CHI,ATL,17,80,5,2,13,10,77,0,0,0,37.70,2014
2,Arian Foster,RB,6,HOU,IND,20,109,5,2,4,3,32,0,0,0,32.10,2014
3,DeMarco Murray,RB,6,DAL,SEA,29,115,4,1,6,6,31,0,0,0,29.60,2014
4,Giovani Bernard,RB,6,CIN,CAR,18,137,8,1,5,4,20,0,0,0,28.70,2014
5,Branden Oliver,RB,6,LAC,OAK,26,101,4,1,5,4,23,0,0,0,25.40,2014
6,LeSean McCoy,RB,6,PHI,NYG,22,149,7,0,2,2,5,0,0,0,20.40,2014
7,Ben Tate,RB,6,CLE,PIT,25,78,3,2,0,0,0,0,0,0,19.80,2014
8,Theo Riddick,RB,6,DET,MIN,3,6,2,0,6,5,75,1,0,0,19.10,2014
9,Joique Bell,RB,6,DET,MIN,18,74,4,1,3,2,23,0,0,0,17.70,2014
10,Ronnie Hillman,RB,6,DEN,NYJ,24,100,4,0,5,3,16,0,1,0,17.60,2014
11,Lamar Miller,RB,6,MIA,GB,14,53,4,1,3,3,40,0,1,1,17.30,2014
12,Antone Smith,RB,6,ATL,CHI,2,5,3,0,4,4,64,1,0,0,16.90,2014
13,Andre Ellington,RB,6,ARI,WAS,19,67,4,0,9,6,26,0,0,0,15.30,2014
14,Ahmad Bradshaw,RB,6,IND,HOU,11,34,3,0,6,3,25,1,0,0,14.90,2014
15,Le'Veon Bell,RB,6,PIT,CLE,18,82,5,0,6,4,23,0,0,0,14.50,2014
16,Fred Jackson,RB,6,BUF,NE,10,26,3,1,6,4,17,0,0,0,14.30,2014
17,Jerick McKinnon,RB,6,MIN,DET,11,40,4,0,6,6,42,0,0,0,14.20,2014
18,Justin Forsett,RB,6,BAL,TB,14,111,8,0,0,0,0,0,0,0,14.10,2014
19,Jeremy Hill,RB,6,CIN,CAR,8,22,3,1,4,4,13,0,0,0,13.50,2014
20,Fozzy Whittaker,RB,6,CAR,CIN,9,25,3,1,2,2,27,0,0,0,13.20,2014
21,Isaiah Crowell,RB,6,CLE,PIT,11,77,7,1,0,0,0,0,2,1,12.70,2014
22,Dexter McCluster,RB,6,TEN,JAX,2,6,3,0,6,6,52,0,0,0,11.80,2014
23,Benjamin Cunningham,RB,6,LAR,SF,7,21,3,1,2,2,12,0,0,0,11.30,2014
24,Darren McFadden,RB,6,OAK,LAC,14,80,6,0,4,2,6,0,0,0,10.60,2014
25,Trent Richardson,RB,6,IND,HOU,17,41,2,1,0,0,0,0,0,0,10.10,2014
26,Darren Sproles,RB,6,PHI,NYG,7,39,6,1,4,0,0,0,1,0,9.90,2014
27,Bernard Pierce,RB,6,BAL,TB,15,32,2,1,0,0,0,0,0,0,9.20,2014
28,Storm Johnson,RB,6,JAX,TEN,10,21,2,1,1,1,-4,0,0,0,8.70,2014
29,Roy Helu,RB,6,WAS,ARI,3,26,9,0,2,2,40,0,0,0,8.60,2014
30,Lance Dunbar,RB,6,DAL,SEA,1,-4,-4,0,4,4,48,0,0,0,8.40,2014
31,Peyton Hillis,RB,6,NYG,PHI,5,24,5,0,5,3,28,0,0,0,8.20,2014
32,Bishop Sankey,RB,6,TEN,JAX,18,61,3,0,1,1,7,0,0,0,7.80,2014
33,Marshawn Lynch,RB,6,SEA,DAL,10,61,6,0,2,1,1,0,0,0,7.20,2014
34,Lorenzo Taliaferro,RB,6,BAL,TB,2,29,15,0,2,2,18,0,0,0,6.70,2014
35,Denard Robinson,RB,6,JAX,TEN,5,22,4,0,3,3,14,0,0,0,6.60,2014
36,Alfred Morris,RB,6,WAS,ARI,13,41,3,0,3,1,14,0,0,0,6.50,2014
37,Tre Mason,RB,6,LAR,SF,5,40,8,0,1,1,12,0,0,0,6.20,2014
38,James Starks,RB,6,GB,MIA,8,31,4,0,5,2,11,0,0,0,6.20,2014
39,Jackie Battle,FB,6,TEN,JAX,1,1,1,1,0,0,0,0,0,0,6.10,2014
40,Andre Williams,RB,6,NYG,PHI,17,59,4,0,0,0,0,0,0,0,5.90,2014
41,Doug Martin,RB,6,TB,BAL,11,45,4,0,2,1,3,0,0,0,5.80,2014
42,Zac Stacy,RB,6,LAR,SF,8,17,2,0,3,2,17,0,0,0,5.40,2014
43,Joseph Randle,RB,6,DAL,SEA,5,52,10,0,0,0,0,0,0,0,5.20,2014
44,Devonta Freeman,RB,6,ATL,CHI,2,5,3,0,3,2,26,0,0,0,5.10,2014
45,Maurice Jones-Drew,RB,6,OAK,LAC,4,30,8,0,1,1,10,0,0,0,5.00,2014
46,Kyle Juszczyk,FB,6,BAL,TB,0,0,0,0,3,2,29,0,0,0,4.90,2014
47,Juwan Thompson,RB,6,DEN,NYJ,8,38,5,0,1,1,0,0,0,0,4.80,2014
48,Bobby Rainey,RB,6,TB,BAL,7,42,6,0,3,0,0,0,0,0,4.20,2014
49,Eddie Lacy,RB,6,GB,MIA,14,40,3,0,0,0,0,0,0,0,4.00,2014
50,Will Ta'ufo'ou,FB,6,JAX,TEN,0,0,0,0,2,2,20,0,0,0,4.00,2014
