Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Tom Brady,QB,6,NE,TEN,29,34,85,380,11,6,0,153,0,0,0,0,42.20,2009
2,Drew Brees,QB,6,NO,NYG,23,30,77,369,12,4,0,157,1,6,6,0,34.36,2009
3,Matt Schaub,QB,6,HOU,CIN,28,40,70,392,10,4,1,124,3,-1,0,0,33.58,2009
4,Ben Roethlisberger,QB,6,PIT,CLE,23,35,66,417,12,2,1,114,6,11,2,0,26.78,2009
5,Joe Flacco,QB,6,BAL,MIN,28,43,65,385,9,2,0,109,0,0,0,0,26.40,2009
6,Jay Cutler,QB,6,CHI,ATL,27,43,63,300,7,2,2,80,3,34,11,0,24.40,2009
7,Aaron Rodgers,QB,6,GB,DET,29,37,78,358,10,2,1,114,3,9,3,0,24.22,2009
8,Brett Favre,QB,6,MIN,BAL,21,29,72,278,10,3,0,137,0,0,0,0,23.12,2009
9,Kyle Orton,QB,6,DEN,LAC,20,29,69,229,8,2,0,115,5,11,2,0,18.26,2009
10,David Garrard,QB,6,JAX,LAR,30,43,70,335,8,0,2,73,4,31,8,0,17.50,2009
11,Kurt Warner,QB,6,ARI,SEA,32,41,78,276,7,2,1,101,0,0,0,0,17.04,2009
12,Matt Ryan,QB,6,ATL,CHI,19,33,58,185,6,2,2,68,3,8,3,0,14.20,2009
13,Philip Rivers,QB,6,LAC,DEN,20,33,61,274,8,1,0,97,1,1,1,0,14.06,2009
14,Carson Palmer,QB,6,CIN,HOU,23,35,66,259,7,1,1,85,1,2,2,0,13.56,2009
15,JaMarcus Russell,QB,6,OAK,PHI,17,28,61,224,8,1,2,68,5,8,2,0,11.76,2009
16,Donovan McNabb,QB,6,PHI,OAK,22,46,48,269,6,0,0,66,2,8,4,0,11.56,2009
17,Marc Bulger,QB,6,LAR,JAX,22,34,65,213,6,1,1,80,0,0,0,0,11.52,2009
18,Ryan Fitzpatrick,QB,6,BUF,NYJ,10,25,40,116,5,1,1,51,7,20,3,0,9.64,2009
19,Matt Cassel,QB,6,KC,WAS,16,31,52,186,6,0,0,70,6,16,3,0,9.04,2009
20,Eli Manning,QB,6,NYG,NO,14,31,45,178,6,1,1,61,1,-1,-1,0,9.02,2009
21,Josh Johnson,QB,6,TB,CAR,11,17,65,147,9,0,1,68,8,45,6,0,8.38,2009
22,Brian Hoyer,QB,6,NE,TEN,9,11,82,52,5,0,0,86,6,-2,0,1,7.88,2009
23,David Carr,QB,6,NYG,NO,4,5,80,72,14,1,0,158,1,4,4,0,7.28,2009
24,Derek Anderson,QB,6,CLE,PIT,9,24,38,122,5,1,1,51,1,-1,-1,0,5.78,2009
25,Jake Delhomme,QB,6,CAR,TB,9,17,53,65,4,1,2,42,1,5,5,0,5.10,2009
26,Jason Campbell,QB,6,WAS,KC,9,16,56,89,6,0,1,46,2,6,3,0,3.16,2009
27,Todd Collins,QB,6,WAS,KC,6,14,43,75,5,0,0,60,1,0,0,0,3.00,2009
28,Matt Hasselbeck,QB,6,SEA,ARI,10,29,35,112,4,0,1,33,1,2,2,0,2.68,2009
29,Trent Edwards,QB,6,BUF,NYJ,5,5,100,43,9,0,0,103,0,0,0,0,1.72,2009
30,Daunte Culpepper,QB,6,DET,GB,6,14,43,48,3,0,1,22,0,0,0,0,0.92,2009
31,Matt Leinart,QB,6,ARI,SEA,2,2,100,16,8,0,0,100,1,1,1,0,0.74,2009
32,Mark Sanchez,QB,6,NYJ,BUF,10,29,35,119,4,0,5,8,1,6,6,0,0.36,2009
33,Drew Stanton,QB,6,DET,GB,5,11,46,57,5,0,2,22,0,0,0,0,0.28,2009
34,Matt Flynn,QB,6,GB,DET,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2009
35,Michael Vick,QB,6,PHI,OAK,0,0,0,0,0,0,0,0,1,-4,-4,0,-0.40,2009
36,Mark Brunell,QB,6,NO,NYG,0,0,0,0,0,0,0,0,1,-9,-9,0,-0.90,2009
37,Vince Young,QB,6,TEN,NE,0,2,0,0,0,0,1,0,2,-1,-1,0,-1.10,2009
38,Kerry Collins,QB,6,TEN,NE,2,12,17,-7,-1,0,1,5,3,-1,0,0,-2.38,2009
