Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Randy Moss,WR,6,NE,TEN,10,8,80,129,3,40,13,16,0,0,0,0,0,41.90,2009
2,Wes Welker,WR,6,NE,TEN,11,10,91,150,2,48,14,15,0,0,0,1,0,40.00,2009
3,Marques Colston,WR,6,NO,NYG,8,8,100,166,1,40,21,21,0,0,0,0,0,33.60,2009
4,Hines Ward,WR,6,PIT,CLE,12,8,67,159,1,52,13,20,0,0,0,0,0,32.90,2009
5,Larry Fitzgerald,WR,6,ARI,SEA,15,13,87,100,1,19,7,8,0,0,0,0,0,32.00,2009
6,Sidney Rice,WR,6,MIN,BAL,7,6,86,176,0,63,25,29,0,0,0,0,0,26.60,2009
7,Hakeem Nicks,WR,6,NYG,NO,8,5,63,114,1,58,14,23,0,0,0,0,0,25.40,2009
8,Andre Johnson,WR,6,HOU,CIN,14,8,57,135,0,59,10,17,0,0,0,0,0,24.50,2009
9,Mike Sims-Walker,WR,6,JAX,LAR,11,9,82,120,0,35,11,13,0,0,0,0,0,24.00,2009
10,Derrick Mason,WR,6,BAL,MIN,12,7,58,97,1,27,8,14,0,0,0,0,0,22.70,2009
11,Steve Breaston,WR,6,ARI,SEA,9,7,78,77,1,22,9,11,0,0,0,0,0,20.70,2009
12,Donald Driver,WR,6,GB,DET,8,7,88,107,0,37,13,15,0,0,0,0,0,20.70,2009
13,Dwayne Bowe,WR,6,KC,WAS,14,6,43,109,0,32,8,18,0,0,0,0,0,19.90,2009
14,Lance Moore,WR,6,NO,NYG,7,6,86,78,1,22,11,13,0,0,0,0,0,19.80,2009
15,Santonio Holmes,WR,6,PIT,CLE,8,5,63,104,0,41,13,21,0,0,0,0,0,18.40,2009
16,Chad Johnson,WR,6,CIN,HOU,7,5,71,103,0,50,15,21,0,0,0,0,0,18.30,2009
17,Torry Holt,WR,6,JAX,LAR,8,5,63,101,0,41,13,20,0,0,0,0,0,18.10,2009
18,Lee Evans,WR,6,BUF,NYJ,11,4,36,68,1,37,6,17,0,0,0,0,0,16.80,2009
19,Roddy White,WR,6,ATL,CHI,6,4,67,56,1,40,9,14,0,0,0,0,0,15.60,2009
20,Sammie Stroughter,WR,6,TB,CAR,4,3,75,65,0,29,16,22,0,0,0,0,0,15.50,2009
21,DeSean Jackson,WR,6,PHI,OAK,12,6,50,94,0,51,8,16,0,0,0,0,0,15.40,2009
22,Devin Hester,WR,6,CHI,ATL,10,6,60,83,0,34,8,14,2,11,0,0,0,15.40,2009
23,Robert Meachem,WR,6,NO,NYG,3,2,67,70,1,36,23,35,1,2,0,1,0,15.20,2009
24,Mario Manningham,WR,6,NYG,NO,9,4,44,50,1,18,6,13,0,0,0,0,0,15.00,2009
25,Mark Clayton,WR,6,BAL,MIN,8,3,38,57,1,32,7,19,0,0,0,0,0,14.70,2009
26,Vincent Jackson,WR,6,LAC,DEN,7,4,57,46,1,18,7,12,0,0,0,0,0,14.60,2009
27,Laveranues Coles,WR,6,CIN,HOU,5,4,80,40,1,18,8,10,0,0,0,0,0,14.00,2009
28,James Jones,WR,6,GB,DET,3,2,67,55,1,47,18,28,0,0,0,0,0,13.50,2009
29,Mohamed Massaquoi,WR,6,CLE,PIT,10,5,50,83,0,43,8,17,0,0,0,0,0,13.30,2009
30,Johnny Knox,WR,6,CHI,ATL,7,3,43,34,1,23,5,11,0,0,0,0,0,12.40,2009
31,Greg Jennings,WR,6,GB,DET,8,6,75,64,0,26,8,11,0,0,0,0,0,12.40,2009
32,Mike Thomas,WR,6,JAX,LAR,9,7,78,52,0,17,6,7,0,0,0,0,0,12.20,2009
33,Eddie Royal,WR,6,DEN,LAC,4,0,0,0,0,0,0,0,0,0,0,0,0,12.00,2009
34,Andre Caldwell,WR,6,CIN,HOU,9,6,67,57,0,14,6,10,0,0,0,0,0,11.70,2009
35,Brandon Stokley,WR,6,DEN,LAC,3,3,100,24,1,11,8,8,0,0,0,0,0,11.40,2009
36,Anquan Boldin,WR,6,ARI,SEA,7,6,86,54,0,18,8,9,0,0,0,0,0,11.40,2009
37,Jacoby Jones,WR,6,HOU,CIN,2,2,100,29,1,23,15,15,0,0,0,1,0,10.90,2009
38,Bernard Berrian,WR,6,MIN,BAL,5,3,60,18,1,8,4,6,0,0,0,0,0,10.80,2009
39,Julian Edelman,WR,6,NE,TEN,6,6,100,43,0,16,7,7,0,0,0,0,0,10.30,2009
40,Brandon Marshall,WR,6,DEN,LAC,6,5,83,49,0,15,8,10,0,0,0,0,0,9.90,2009
41,Earl Bennett,WR,6,CHI,ATL,5,4,80,57,0,24,11,14,0,0,0,0,0,9.70,2009
42,Joshua Cribbs,WR,6,CLE,PIT,1,0,0,0,0,0,0,0,6,45,0,0,0,9.50,2009
43,Mike Wallace,WR,6,PIT,CLE,4,2,50,50,0,29,13,25,1,21,0,0,0,9.10,2009
44,Dennis Northcutt,WR,6,DET,GB,6,5,83,40,0,18,7,8,0,0,0,1,0,9.00,2009
45,Donnie Avery,WR,6,LAR,JAX,3,1,33,17,1,17,6,17,0,0,0,0,0,8.70,2009
46,Keenan Burton,WR,6,LAR,JAX,6,5,83,37,0,21,6,7,0,0,0,0,0,8.70,2009
47,Steve Smith,WR,6,NYG,NO,6,4,67,44,0,22,7,11,0,0,0,0,0,8.40,2009
48,Malcom Floyd,WR,6,LAC,DEN,5,3,60,51,0,20,10,17,0,0,0,0,0,8.10,2009
49,Kelley Washington,WR,6,BAL,MIN,5,3,60,48,0,28,10,16,0,0,0,0,0,7.80,2009
50,TJ Houshmandzadeh,WR,6,SEA,ARI,8,4,50,34,0,15,4,9,0,0,0,0,0,7.40,2009
