Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Ryan Longwell,K,6,MIN,BAL,4,4,100,40,3,3,0.00,2009
2,Mason Crosby,K,6,GB,DET,4,4,100,46,2,2,0.00,2009
3,Ryan Succop,K,6,KC,WAS,4,4,100,46,0,0,0.00,2009
4,Stephen Gostkowski,K,6,NE,TEN,1,2,50,33,8,8,0.00,2009
5,Nate Kaeding,K,6,LAC,DEN,3,4,75,50,2,2,0.00,2009
6,Thomas Howard,K,6,OAK,PHI,0,0,0,0,0,0,0.00,2009
7,Josh Brown,K,6,LAR,JAX,2,2,100,52,2,2,0.00,2009
8,Rian Lindell,K,6,BUF,NYJ,3,4,75,47,1,1,0.00,2009
9,Matt Prater,K,6,DEN,LAC,2,3,67,34,4,4,0.00,2009
10,Lawrence Tynes,K,6,NYG,NO,2,2,100,49,3,3,0.00,2009
11,Jeff Reed,K,6,PIT,CLE,2,2,100,39,3,3,0.00,2009
12,David Akers,K,6,PHI,OAK,3,5,60,45,0,0,0.00,2009
13,Neil Rackers,K,6,ARI,SEA,2,2,100,31,3,3,0.00,2009
14,Steven Hauschka,K,6,BAL,MIN,1,2,50,29,4,4,0.00,2009
15,Sebastian Janikowski,K,6,OAK,PHI,2,2,100,46,1,1,0.00,2009
16,Jay Feely,K,6,NYJ,BUF,2,3,67,41,1,1,0.00,2009
17,John Carney,K,6,NO,NYG,0,0,0,0,6,6,0.00,2009
18,Shaun Suisham,K,6,WAS,KC,2,2,100,40,0,0,0.00,2009
19,Shayne Graham,K,6,CIN,HOU,1,1,100,50,2,2,0.00,2009
20,Josh Scobee,K,6,JAX,LAR,1,2,50,36,2,2,0.00,2009
21,Kris Brown,K,6,HOU,CIN,0,1,0,0,4,4,0.00,2009
22,John Kasay,K,6,CAR,TB,0,1,0,0,4,4,0.00,2009
23,Shane Andrus,K,6,TB,CAR,0,1,0,0,3,3,0.00,2009
24,Olindo Mare,K,6,SEA,ARI,1,1,100,28,0,0,0.00,2009
25,Jason Elam,K,6,ATL,CHI,0,0,0,0,3,3,0.00,2009
26,Billy Cundiff,K,6,CLE,PIT,0,0,0,0,2,2,0.00,2009
27,Robbie Gould,K,6,CHI,ATL,0,0,0,0,2,2,0.00,2009
28,Jason Hanson,K,6,DET,GB,0,0,0,0,0,0,0.00,2009
29,Rhys Lloyd,K,6,CAR,TB,0,0,0,0,0,0,0.00,2009
30,Rob Bironas,K,6,TEN,NE,0,0,0,0,0,0,0.00,2009
