Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Michael Crabtree,WR,2,OAK,NYJ,6,6,100,80,3,26,13,13,0,0,0,0,0,32.00,2017
2,JJ Nelson,WR,2,ARI,IND,7,5,71,120,1,45,17,24,0,0,0,0,0,26.00,2017
3,Emmanuel Sanders,WR,2,DEN,DAL,8,6,75,62,2,25,8,10,0,0,0,0,0,24.20,2017
4,Davante Adams,WR,2,GB,ATL,10,8,80,99,1,33,10,12,0,0,0,0,0,23.90,2017
5,Jermaine Kearse,WR,2,NYJ,OAK,5,4,80,64,2,34,13,16,0,0,0,0,0,22.40,2017
6,Mike Evans,WR,2,TB,CHI,9,7,78,93,1,18,10,13,0,0,0,0,0,22.30,2017
7,Alshon Jeffery,WR,2,PHI,KC,13,7,54,92,1,18,7,13,0,0,0,0,0,22.20,2017
8,Keenan Allen,WR,2,LAC,MIA,10,9,90,100,0,24,10,11,0,0,0,0,0,22.00,2017
9,Allen Hurns,WR,2,JAX,TEN,7,6,86,82,1,20,12,14,0,0,0,0,0,20.20,2017
10,Jarvis Landry,WR,2,MIA,LAC,15,13,87,78,0,18,5,6,1,-7,0,0,0,20.10,2017
11,Dez Bryant,WR,2,DAL,DEN,16,7,44,59,1,15,4,8,0,0,0,0,0,18.90,2017
12,Martavis Bryant,WR,2,PIT,MIN,4,3,75,91,1,51,23,30,1,7,0,0,0,18.80,2017
13,Chris Hogan,WR,2,NE,NO,6,5,83,78,1,27,13,16,0,0,0,0,0,18.80,2017
14,Julio Jones,WR,2,ATL,GB,9,5,56,108,0,34,12,22,0,0,0,0,0,18.80,2017
15,Brandon Coleman,WR,2,NO,NE,6,4,67,82,1,42,14,21,0,0,0,0,0,18.20,2017
16,Rashard Higgins,WR,2,CLE,BAL,11,7,64,95,0,35,9,14,1,4,0,0,0,16.90,2017
17,Deonte Thompson,WR,2,CHI,TB,5,4,80,57,1,20,11,14,0,0,0,0,0,15.70,2017
18,Marqise Lee,WR,2,JAX,TEN,12,7,58,76,0,19,6,11,0,0,0,0,0,14.60,2017
19,DeAndre Hopkins,WR,2,HOU,CIN,13,7,54,73,0,25,6,10,0,0,0,0,0,14.30,2017
20,Michael Thomas,WR,2,NO,NE,10,5,50,89,0,33,9,18,0,0,0,0,0,13.90,2017
21,Kendall Wright,WR,2,CHI,TB,10,7,70,69,0,18,7,10,0,0,0,0,0,13.90,2017
22,Kelvin Benjamin,WR,2,CAR,BUF,8,6,75,77,0,18,10,13,0,0,0,0,0,13.70,2017
23,Mohamed Sanu,WR,2,ATL,GB,6,5,83,85,0,24,14,17,0,0,0,0,0,13.50,2017
24,Cordarrelle Patterson,WR,2,OAK,NYJ,1,1,100,6,0,6,6,6,3,57,1,0,0,13.30,2017
25,Jeremy Maclin,WR,2,BAL,CLE,5,4,80,31,1,19,6,8,0,0,0,0,0,13.10,2017
26,Demaryius Thomas,WR,2,DEN,DAL,8,6,75,71,0,27,9,12,0,0,0,0,0,13.10,2017
27,Randall Cobb,WR,2,GB,ATL,9,6,67,60,0,18,7,10,1,10,0,0,0,13.00,2017
28,Devante Parker,WR,2,MIA,LAC,9,4,44,85,0,31,9,21,0,0,0,0,0,12.50,2017
29,Tyler Lockett,WR,2,SEA,SF,9,6,67,64,0,22,7,11,0,0,0,0,0,12.40,2017
30,Kenny Stills,WR,2,MIA,LAC,5,2,40,37,1,29,7,19,0,0,0,0,0,11.70,2017
31,AJ Green,WR,2,CIN,HOU,8,5,63,67,0,50,8,13,0,0,0,0,0,11.70,2017
32,Jaron Brown,WR,2,ARI,IND,11,4,36,73,0,22,7,18,0,0,0,0,0,11.30,2017
33,Antonio Brown,WR,2,PIT,MIN,11,5,46,62,0,26,6,12,0,0,0,0,0,11.20,2017
34,Devin Funchess,WR,2,CAR,BUF,6,4,67,68,0,24,11,17,0,0,0,0,0,10.80,2017
35,Juju Smith-Schuster,WR,2,PIT,MIN,4,3,75,16,1,9,4,5,0,0,0,0,0,10.60,2017
36,Torrey Smith,WR,2,PHI,KC,8,4,50,66,0,24,8,17,0,0,0,0,0,10.60,2017
37,Phillip Dorsett,WR,2,NE,NO,3,3,100,68,0,38,23,23,1,7,0,0,0,10.50,2017
38,Alex Erickson,WR,2,CIN,HOU,6,4,67,62,0,37,10,16,1,2,0,0,0,10.40,2017
39,Doug Baldwin,WR,2,SEA,SF,9,6,67,44,0,18,5,7,0,0,0,0,0,10.40,2017
40,Paul Richardson,WR,2,SEA,SF,5,2,40,19,1,10,4,10,0,0,0,0,0,9.90,2017
41,Marvin Jones,WR,2,DET,NYG,5,1,20,27,1,27,5,27,0,0,0,0,0,9.70,2017
42,Chris Conley,WR,2,KC,PHI,4,4,100,55,0,35,14,14,0,0,0,0,0,9.50,2017
43,Tyrell Williams,WR,2,LAC,MIA,4,4,100,54,0,23,14,14,0,0,0,0,0,9.40,2017
44,Josh Bellamy,WR,2,CHI,TB,7,4,57,51,0,17,7,13,0,0,0,0,0,9.10,2017
45,Tyreek Hill,WR,2,KC,PHI,6,4,67,43,0,18,7,11,1,6,0,0,0,8.90,2017
46,TY Hilton,WR,2,IND,ARI,6,4,67,49,0,16,8,12,0,0,0,0,0,8.90,2017
47,Jamison Crowder,WR,2,WAS,LAR,5,4,80,47,0,21,9,12,0,0,0,0,0,8.70,2017
48,Adam Thielen,WR,2,MIN,PIT,6,5,83,44,0,24,7,9,0,0,0,1,1,8.40,2017
49,Eli Rogers,WR,2,PIT,MIN,7,4,57,43,0,16,6,11,0,0,0,0,0,8.30,2017
50,Ryan Grant,WR,2,WAS,LAR,2,1,50,11,1,11,6,11,0,0,0,0,0,8.10,2017
