Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Tom Brady,QB,2,NE,NO,30,39,77,447,12,3,0,140,2,9,5,0,33.78,2017
2,Carson Wentz,QB,2,PHI,KC,25,46,54,333,7,2,1,83,4,55,14,0,28.82,2017
3,Drew Brees,QB,2,NO,NE,27,45,60,356,8,2,0,100,0,0,0,0,25.24,2017
4,Trevor Siemian,QB,2,DEN,DAL,22,32,69,231,7,4,1,116,5,14,3,0,24.64,2017
5,Aaron Rodgers,QB,2,GB,ATL,33,50,66,343,7,2,1,91,2,8,4,0,23.52,2017
6,Derek Carr,QB,2,OAK,NYJ,23,28,82,230,8,3,0,137,0,0,0,0,21.20,2017
7,Philip Rivers,QB,2,LAC,MIA,31,39,80,331,9,1,0,111,1,0,0,0,20.24,2017
8,Carson Palmer,QB,2,ARI,IND,19,36,53,332,9,1,1,82,3,6,2,0,19.88,2017
9,Dak Prescott,QB,2,DAL,DEN,30,50,60,238,5,2,2,69,3,24,8,0,17.92,2017
10,Deshaun Watson,QB,2,HOU,CIN,15,24,63,125,5,0,0,76,5,67,13,1,17.70,2017
11,Ben Roethlisberger,QB,2,PIT,MIN,23,35,66,243,7,2,0,105,2,-2,-1,0,17.52,2017
12,Josh McCown,QB,2,NYJ,OAK,16,24,67,166,7,2,0,114,4,31,8,0,16.74,2017
13,Alex Smith,QB,2,KC,PHI,21,28,75,251,9,1,0,114,4,21,5,0,16.14,2017
14,Mike Glennon,QB,2,CHI,TB,31,45,69,301,7,1,2,76,0,0,0,0,16.04,2017
15,Joe Flacco,QB,2,BAL,CLE,25,34,74,217,6,2,1,97,1,-1,-1,0,15.58,2017
16,Russell Wilson,QB,2,SEA,SF,23,39,59,198,5,1,0,81,12,34,3,0,15.32,2017
17,Matt Ryan,QB,2,ATL,GB,19,28,68,252,9,1,0,108,1,8,8,0,14.88,2017
18,Matthew Stafford,QB,2,DET,NYG,15,21,71,122,6,2,0,118,3,23,8,0,14.18,2017
19,Marcus Mariota,QB,2,TEN,JAX,15,27,56,215,8,1,1,78,6,24,4,0,14.00,2017
20,Jay Cutler,QB,2,MIA,LAC,24,33,73,230,7,1,0,102,2,-1,-1,0,13.10,2017
21,Blake Bortles,QB,2,JAX,TEN,20,34,59,223,7,1,2,64,4,29,7,0,12.82,2017
22,Eli Manning,QB,2,NYG,DET,22,32,69,239,8,1,1,88,0,0,0,0,12.56,2017
23,Jameis Winston,QB,2,TB,CHI,18,30,60,204,7,1,0,92,1,3,3,0,12.46,2017
24,Kirk Cousins,QB,2,WAS,LAR,18,27,67,179,7,1,0,98,3,7,2,0,11.86,2017
25,Jared Goff,QB,2,LAR,WAS,14,24,58,219,9,1,1,85,3,1,0,0,11.86,2017
26,Cam Newton,QB,2,CAR,BUF,20,32,63,228,7,0,0,84,5,27,5,0,11.82,2017
27,Tyrod Taylor,QB,2,BUF,CAR,17,25,68,125,5,0,0,80,8,55,7,0,10.50,2017
28,Jacoby Brissett,QB,2,IND,ARI,20,37,54,216,6,0,1,60,6,22,4,0,9.84,2017
29,Andy Dalton,QB,2,CIN,HOU,20,35,57,224,6,0,0,76,2,5,3,0,9.46,2017
30,Kevin Hogan,QB,2,CLE,BAL,5,11,46,118,11,1,1,77,1,5,5,0,8.22,2017
31,Case Keenum,QB,2,MIN,PIT,20,37,54,167,5,0,0,66,0,0,0,0,6.68,2017
32,Deshone Kizer,QB,2,CLE,BAL,15,31,48,182,6,0,3,27,5,26,5,0,5.88,2017
33,Brian Hoyer,QB,2,SF,SEA,15,27,56,99,4,0,1,48,0,0,0,0,2.96,2017
34,Joe Webb,QB,2,BUF,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2017
35,Ryan Fitzpatrick,QB,2,TB,CHI,0,1,0,0,0,0,0,40,2,-2,-1,0,-0.20,2017
