Player,Position,Team,Opponent,Pass Yds,Pass Yds,Pass Interceptions,Rush Yds,Rush TD,Receptions,Receiving Yds,Receiving TD,Sacks,Received Interceptions,Fumbles Forced,Fumbles Rec,Points
Earl Bennett,WR,CHI,GB,13,7,54,66,0,21,5,9,0,0,0,0,13.60
Robert Meachem,WR,NO,DET,2,2,100,51,1,39,26,26,0,0,0,0,13.10
Davone Bess,WR,MIA,ATL,7,7,100,57,0,21,8,8,0,0,0,0,12.70
Kenny Britt,WR,TEN,PIT,6,4,67,85,0,57,14,21,0,0,0,0,12.50
Jerheme Urban,WR,ARI,SF,7,5,71,74,0,40,11,15,0,0,0,0,12.40
DeSean Jackson,WR,PHI,CAR,7,2,29,9,0,6,1,5,2,33,0,0,12.20
Marques Colston,WR,NO,DET,6,3,50,30,1,14,5,10,0,0,0,0,12.00
Calvin Johnson,WR,DET,NO,14,3,21,90,0,64,6,30,0,0,0,0,12.00
Andre Caldwell,WR,CIN,DEN,8,6,75,54,0,14,7,9,0,0,0,0,11.40
Mark Bradley,WR,KC,BAL,7,4,57,73,0,50,10,18,0,0,0,0,11.30
Miles Austin,WR,DAL,TB,2,1,50,42,1,42,21,42,0,0,0,0,11.20
TJ Houshmandzadeh,WR,SEA,LAR,9,6,67,48,0,9,5,8,0,0,0,0,10.80
Isaac Bruce,WR,SF,ARI,8,4,50,74,0,50,9,19,1,-8,0,0,10.60
Donnie Avery,WR,LAR,SEA,8,6,75,46,0,16,6,8,1,8,0,1,10.40
Johnny Knox,WR,CHI,GB,4,2,50,82,0,68,21,41,0,0,0,0,10.20
Legedu Naanee,WR,LAC,OAK,6,5,83,49,0,23,8,10,0,0,0,0,9.90
Joshua Cribbs,WR,CLE,MIN,3,2,67,10,0,8,3,5,3,6,0,1,9.60
Roddy White,WR,ATL,MIA,10,5,50,42,0,14,4,8,0,0,0,0,9.20
Derrick Mason,WR,BAL,KC,10,4,40,47,0,19,5,12,0,0,0,0,8.70
Bryant Johnson,WR,DET,NO,8,4,50,45,0,19,6,11,0,0,0,0,8.50
Michael Jenkins,WR,ATL,MIA,5,4,80,41,0,22,8,10,0,0,0,0,8.10
Muhsin Muhammad,WR,CAR,PHI,9,4,44,41,0,17,5,10,0,0,0,0,8.10
Donald Driver,WR,GB,CHI,7,4,57,39,0,14,6,10,0,0,0,0,7.90
