Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,DJ Smith,K,5,GB,IND,0,0,0,0,0,0,0.00,2012
2,Blair Walsh,K,5,MIN,TEN,3,3,100,42,3,3,0.00,2012
3,Lawrence Tynes,K,5,NYG,CLE,2,2,100,40,5,5,0.00,2012
4,Robbie Gould,K,5,CHI,JAX,2,2,100,32,5,5,0.00,2012
5,Shayne Graham,K,5,HOU,NYJ,3,3,100,42,2,2,0.00,2012
6,Adam Vinatieri,K,5,IND,GB,3,4,75,50,1,1,0.00,2012
7,Shaun Suisham,K,5,PIT,PHI,3,3,100,34,1,1,0.00,2012
8,Steven Hauschka,K,5,SEA,CAR,3,3,100,44,1,1,0.00,2012
9,Justin Tucker,K,5,BAL,KC,3,3,100,39,0,0,0.00,2012
10,Phil Dawson,K,5,CLE,NYG,2,2,100,41,3,3,0.00,2012
11,David Akers,K,5,SF,BUF,1,1,100,19,6,6,0.00,2012
12,Matt Bryant,K,5,ATL,WAS,1,1,100,53,3,3,0.00,2012
13,Greg Zuerlein,K,5,LAR,ARI,1,1,100,53,2,2,0.00,2012
14,Mike Nugent,K,5,CIN,MIA,2,3,67,42,1,1,0.00,2012
15,Stephen Gostkowski,K,5,NE,DEN,1,1,100,23,4,4,0.00,2012
16,Garrett Hartley,K,5,NO,LAC,1,1,100,26,4,4,0.00,2012
17,Ryan Succop,K,5,KC,BAL,2,2,100,31,0,0,0.00,2012
18,Nick Novak,K,5,LAC,NO,1,2,50,20,3,3,0.00,2012
19,Dan Carpenter,K,5,MIA,CIN,1,2,50,46,2,2,0.00,2012
20,Billy Cundiff,K,5,WAS,ATL,1,2,50,23,2,2,0.00,2012
21,Nick Folk,K,5,NYJ,HOU,1,1,100,21,2,2,0.00,2012
22,Justin Medlock,K,5,CAR,SEA,1,1,100,32,1,1,0.00,2012
23,Jay Feely,K,5,ARI,LAR,1,2,50,35,0,0,0.00,2012
24,Mason Crosby,K,5,GB,IND,0,2,0,0,3,3,0.00,2012
25,Josh Scobee,K,5,JAX,CHI,1,1,100,31,0,0,0.00,2012
26,Matt Prater,K,5,DEN,NE,0,0,0,0,3,3,0.00,2012
27,Rian Lindell,K,5,BUF,SF,1,1,100,31,0,0,0.00,2012
28,Alex Henery,K,5,PHI,PIT,0,0,0,0,2,2,0.00,2012
29,Rob Bironas,K,5,TEN,MIN,0,0,0,0,1,1,0.00,2012
30,John Potter,K,5,BUF,SF,0,0,0,0,0,0,0.00,2012
