Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Andrew Luck,QB,5,IND,GB,31,55,56,362,7,2,1,81,6,24,4,1,32.88,2012
2,Drew Brees,QB,5,NO,LAC,29,45,64,370,8,4,1,110,2,-2,-1,0,32.60,2012
3,Alex Smith,QB,5,SF,BUF,18,24,75,303,13,3,0,156,3,49,16,0,32.02,2012
4,Peyton Manning,QB,5,DEN,NE,31,44,71,337,8,3,0,115,2,9,5,0,28.38,2012
5,Aaron Rodgers,QB,5,GB,IND,20,32,63,235,7,3,1,103,5,57,11,0,26.10,2012
6,Matt Ryan,QB,5,ATL,WAS,34,52,65,345,7,2,1,89,5,7,1,0,23.50,2012
7,Philip Rivers,QB,5,LAC,NO,27,42,64,354,8,2,1,97,0,0,0,0,23.16,2012
8,Eli Manning,QB,5,NYG,CLE,25,37,68,259,7,3,1,103,2,-1,-1,0,21.26,2012
9,Jay Cutler,QB,5,CHI,JAX,23,39,59,292,8,2,1,89,2,22,11,0,20.88,2012
10,Christian Ponder,QB,5,MIN,TEN,25,35,71,258,7,2,2,88,3,31,10,0,19.42,2012
11,Tom Brady,QB,5,NE,DEN,23,31,74,223,7,1,0,105,4,-2,-1,1,18.72,2012
12,Brandon Weeden,QB,5,CLE,NYG,22,35,63,291,8,2,2,84,1,2,2,0,17.84,2012
13,Michael Vick,QB,5,PHI,PIT,20,30,67,175,6,2,0,104,5,16,3,0,14.60,2012
14,Ben Roethlisberger,QB,5,PIT,PHI,22,38,58,220,6,1,0,83,3,14,5,0,14.20,2012
15,Andy Dalton,QB,5,CIN,MIA,26,43,61,234,5,1,2,64,4,21,5,0,13.46,2012
16,Sam Bradford,QB,5,LAR,ARI,7,21,33,141,7,2,1,70,5,0,0,0,12.64,2012
17,Russell Wilson,QB,5,SEA,CAR,19,25,76,221,9,1,2,82,5,12,2,0,12.04,2012
18,Matt Hasselbeck,QB,5,TEN,MIN,26,43,61,200,5,1,1,70,2,10,5,0,12.00,2012
19,Matt Schaub,QB,5,HOU,NYJ,14,28,50,209,8,1,1,72,0,0,0,0,11.36,2012
20,Mark Sanchez,QB,5,NYJ,HOU,14,31,45,230,7,1,2,55,2,1,1,0,11.30,2012
21,Kevin Kolb,QB,5,ARI,LAR,28,50,56,289,6,0,0,73,1,2,2,0,10.76,2012
22,Colin Kaepernick,QB,5,SF,BUF,1,1,100,7,7,0,0,96,4,39,10,1,9.18,2012
23,Cam Newton,QB,5,CAR,SEA,12,29,41,141,5,0,0,57,7,42,6,0,8.84,2012
24,Ryan Tannehill,QB,5,MIA,CIN,17,26,65,223,9,0,0,92,4,-4,-1,0,8.52,2012
25,Joe Flacco,QB,5,BAL,KC,13,27,48,187,7,0,1,56,3,14,5,0,7.88,2012
26,Kirk Cousins,QB,5,WAS,ATL,5,9,56,111,12,1,2,97,0,0,0,0,6.44,2012
27,Robert Griffin III,QB,5,WAS,ATL,10,15,67,91,6,0,0,83,1,7,7,0,4.34,2012
28,Ryan Fitzpatrick,QB,5,BUF,SF,16,26,62,126,5,0,1,58,2,1,1,0,4.14,2012
29,Blaine Gabbert,QB,5,JAX,CHI,17,33,52,142,4,0,2,38,2,1,1,0,2.78,2012
30,Tim Tebow,QB,5,NYJ,HOU,0,1,0,0,0,0,0,40,5,19,4,0,1.90,2012
31,Rusty Smith,QB,5,TEN,MIN,3,5,60,34,7,0,0,80,0,0,0,0,1.36,2012
32,Brady Quinn,QB,5,KC,BAL,2,2,100,32,16,0,0,119,0,0,0,0,1.28,2012
33,Matt Cassel,QB,5,KC,BAL,9,15,60,92,6,0,2,38,4,14,4,0,1.08,2012
34,Tyrod Taylor,QB,5,BAL,KC,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2012
35,Jason Campbell,QB,5,CHI,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2012
36,Chase Daniel,QB,5,NO,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2012
37,Joe Webb,QB,5,MIN,TEN,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.10,2012
