Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Stephen Gostkowski,K,17,NE,BUF,4,4,100,43,2,2,0.00,2013
2,Phil Dawson,K,17,SF,ARI,3,4,75,56,2,2,0.00,2013
3,Adam Vinatieri,K,17,IND,JAX,3,3,100,39,3,3,0.00,2013
4,Rob Bironas,K,17,TEN,HOU,3,3,100,55,1,1,0.00,2013
5,Matt Prater,K,17,DEN,OAK,2,2,100,54,4,4,0.00,2013
6,Mike Nugent,K,17,CIN,BAL,2,2,100,39,4,4,0.00,2013
7,Dan Carpenter,K,17,BUF,NE,2,2,100,51,2,2,0.00,2013
8,Dan Bailey,K,17,DAL,PHI,3,3,100,44,1,1,0.00,2013
9,Justin Tucker,K,17,BAL,CIN,3,3,100,38,0,0,0.00,2013
10,David Akers,K,17,DET,MIN,2,2,100,53,1,1,0.00,2013
11,Steven Hauschka,K,17,SEA,LAR,2,2,100,35,3,3,0.00,2013
12,Nick Novak,K,17,LAC,KC,2,2,100,36,3,3,0.00,2013
13,Mason Crosby,K,17,GB,CHI,2,2,100,33,3,3,0.00,2013
14,Matt Bryant,K,17,ATL,CAR,2,2,100,42,2,2,0.00,2013
15,Shaun Suisham,K,17,PIT,CLE,2,2,100,32,2,2,0.00,2013
16,Josh Brown,K,17,NYG,WAS,2,3,67,38,2,2,0.00,2013
17,Nick Folk,K,17,NYJ,MIA,2,3,67,35,2,2,0.00,2013
18,Jay Feely,K,17,ARI,SF,2,4,50,49,2,2,0.00,2013
19,Rian Lindell,K,17,TB,NO,1,1,100,54,2,2,0.00,2013
20,Kai Forbath,K,17,WAS,NYG,2,2,100,49,0,0,0.00,2013
21,Ryan Succop,K,17,KC,LAC,1,2,50,46,3,3,0.00,2013
22,Shayne Graham,K,17,NO,TB,0,0,0,0,6,6,0.00,2013
23,Alex Henery,K,17,PHI,DAL,1,1,100,47,3,3,0.00,2013
24,Randy Bullock,K,17,HOU,TEN,1,1,100,19,1,1,0.00,2013
25,Josh Scobee,K,17,JAX,IND,1,1,100,37,1,1,0.00,2013
26,Robbie Gould,K,17,CHI,GB,0,0,0,0,4,4,0.00,2013
27,Graham Gano,K,17,CAR,ATL,0,0,0,0,3,3,0.00,2013
28,Greg Zuerlein,K,17,LAR,SEA,1,1,100,36,0,0,0.00,2013
29,Blair Walsh,K,17,MIN,DET,0,0,0,0,2,2,0.00,2013
30,Sebastian Janikowski,K,17,OAK,DEN,0,1,0,0,2,2,0.00,2013
31,Caleb Sturgis,K,17,MIA,NYJ,0,0,0,0,1,1,0.00,2013
32,Billy Cundiff,K,17,CLE,PIT,0,0,0,0,1,1,0.00,2013
