Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Matt Forte,RB,17,CHI,GB,22,110,5,2,4,4,47,1,0,0,40.70,2013
2,LeGarrette Blount,RB,17,NE,BUF,24,189,8,2,0,0,0,0,1,0,33.90,2013
3,Chris Johnson,RB,17,TEN,HOU,27,127,5,1,3,3,14,0,1,0,26.10,2013
4,Jonathan Grimes,RB,17,HOU,TEN,16,50,3,1,6,6,76,0,1,1,23.60,2013
5,LeSean McCoy,RB,17,PHI,DAL,27,131,5,0,2,1,3,1,0,0,23.40,2013
6,Knile Davis,RB,17,KC,LAC,27,81,3,2,4,2,5,0,0,0,22.60,2013
7,CJ Spiller,RB,17,BUF,NE,19,105,6,0,5,5,28,0,0,0,21.30,2013
8,Ryan Mathews,RB,17,LAC,KC,24,144,6,0,3,2,11,0,0,0,20.50,2013
9,Fred Jackson,RB,17,BUF,NE,14,60,4,1,6,3,53,0,0,0,20.30,2013
10,Dexter McCluster,RB,17,KC,LAC,0,0,0,0,6,6,62,1,0,0,18.20,2013
11,Reggie Bush,RB,17,DET,MIN,14,32,2,0,6,5,33,1,0,0,17.50,2013
12,Knowshon Moreno,RB,17,DEN,OAK,6,23,4,0,6,5,41,1,0,0,17.40,2013
13,Marshawn Lynch,RB,17,SEA,LAR,23,97,4,1,2,1,4,0,0,0,17.10,2013
14,Le'Veon Bell,RB,17,PIT,CLE,20,90,5,1,1,1,6,0,0,0,16.60,2013
15,Eddie Lacy,RB,17,GB,CHI,21,66,3,1,2,2,15,0,0,0,16.10,2013
16,Matt Asiata,RB,17,MIN,DET,14,115,8,0,3,2,-2,0,1,1,15.30,2013
17,Steven Jackson,RB,17,ATL,CAR,13,41,3,0,7,5,53,0,0,0,14.40,2013
18,Ray Rice,RB,17,BAL,CIN,6,15,3,0,7,7,35,0,0,0,14.00,2013
19,Shane Vereen,RB,17,NE,BUF,2,3,2,0,5,3,42,1,1,0,13.50,2013
20,Jason Snelling,RB,17,ATL,CAR,5,36,7,0,2,2,15,1,0,0,13.10,2013
21,Maurice Jones-Drew,RB,17,JAX,IND,13,39,3,0,6,5,51,0,1,1,13.00,2013
22,Danny Woodhead,RB,17,LAC,KC,5,18,4,0,7,7,42,0,0,0,13.00,2013
23,DeMarco Murray,RB,17,DAL,PHI,17,48,3,0,7,5,39,0,1,1,12.70,2013
24,Donald Brown,RB,17,IND,JAX,12,31,3,1,3,3,4,0,0,0,12.50,2013
25,Montee Ball,RB,17,DEN,OAK,10,72,7,0,3,3,22,0,0,0,12.40,2013
26,Giovani Bernard,RB,17,CIN,BAL,13,22,2,0,7,5,51,0,0,0,12.30,2013
27,Trent Richardson,RB,17,IND,JAX,8,25,3,1,2,2,17,0,0,0,12.20,2013
28,Fozzy Whittaker,RB,17,CLE,PIT,0,0,0,0,5,2,38,1,0,0,11.80,2013
29,DeAngelo Williams,RB,17,CAR,ATL,10,33,3,0,2,2,75,0,1,1,11.80,2013
30,James Starks,RB,17,GB,CHI,11,88,8,0,2,1,7,0,0,0,10.50,2013
31,Joique Bell,RB,17,DET,MIN,8,31,4,0,4,4,25,0,1,0,9.60,2013
32,Bilal Powell,RB,17,NYJ,MIA,21,76,4,0,3,1,-4,0,0,0,9.40,2013
33,Pierre Thomas,RB,17,NO,TB,7,20,3,1,1,1,3,0,0,0,9.30,2013
34,Alfred Morris,RB,17,WAS,NYG,16,62,4,0,2,2,21,0,1,1,9.30,2013
35,Edwin Baker,RB,17,CLE,PIT,18,69,4,0,2,2,-1,0,0,0,8.80,2013
36,Lamar Miller,RB,17,MIA,NYJ,17,73,4,0,1,1,4,0,0,0,8.70,2013
37,Bernard Pierce,RB,17,BAL,CIN,5,28,6,0,4,4,18,0,0,0,8.60,2013
38,Zac Stacy,RB,17,LAR,SEA,15,15,1,0,4,4,23,0,0,0,7.80,2013
39,Stevan Ridley,RB,17,NE,BUF,12,74,6,0,0,0,0,0,0,0,7.40,2013
40,Peyton Hillis,RB,17,NYG,WAS,17,56,3,0,5,1,6,0,0,0,7.20,2013
41,Andre Ellington,RB,17,ARI,SF,9,30,3,0,6,3,12,0,0,0,7.20,2013
42,Bryce Brown,RB,17,PHI,DAL,2,11,6,1,0,0,0,0,0,0,7.10,2013
43,Rashard Mendenhall,RB,17,ARI,SF,10,47,5,0,2,2,13,0,1,1,7.00,2013
44,Mike Tolbert,FB,17,CAR,ATL,7,29,4,0,3,3,10,0,0,0,6.90,2013
45,BenJarvus Green-Ellis,RB,17,CIN,BAL,11,66,6,0,0,0,0,0,0,0,6.60,2013
46,Brian Leonard,RB,17,TB,NO,5,35,7,0,3,3,1,0,0,0,6.60,2013
47,Roy Helu,RB,17,WAS,NYG,3,24,8,0,3,2,14,0,1,0,5.80,2013
48,Darren McFadden,RB,17,OAK,DEN,7,6,1,0,4,3,15,0,0,0,5.10,2013
49,Khiry Robinson,RB,17,NO,TB,12,50,4,0,0,0,0,0,0,0,5.00,2013
50,Darren Sproles,RB,17,NO,TB,3,-1,0,0,4,2,30,0,0,0,4.90,2013
