Rank,Player,Position,Week,Team,Opponent,Targets,Rec,RecPctRecYds,RecTDs,Long,YdsTarget,YdsPerRec,RushAtt,RushYds,RushTD,Fumbles,FumLost,Points,Year
1,Brandon Marshall,WR,14,DEN,IND,28,21,75,200,2,23,7,10,0,0,0,0,0,56.00,2009
2,Andre Johnson,WR,14,HOU,SEA,15,11,73,193,2,64,13,18,1,3,0,0,0,45.60,2009
3,DeSean Jackson,WR,14,PHI,NYG,7,6,86,178,1,60,25,30,0,0,0,0,0,38.80,2009
4,Hakeem Nicks,WR,14,NYG,PHI,7,4,57,110,1,68,16,28,0,0,0,0,0,24.00,2009
5,Wes Welker,WR,14,NE,CAR,14,10,71,105,0,23,8,11,0,0,0,0,0,23.50,2009
6,Vincent Jackson,WR,14,LAC,DAL,11,7,64,120,0,39,11,17,0,0,0,0,0,22.00,2009
7,Devin Aromashodu,WR,14,CHI,GB,12,8,67,76,1,19,6,10,0,0,0,0,0,21.60,2009
8,Greg Camarillo,WR,14,MIA,JAX,8,7,88,110,0,24,14,16,0,0,0,0,0,21.00,2009
9,Derrick Mason,WR,14,BAL,DET,6,5,83,94,1,62,16,19,0,0,0,0,0,20.40,2009
10,Johnny Knox,WR,14,CHI,GB,7,5,71,83,1,28,12,17,0,0,0,0,0,19.30,2009
11,Miles Austin,WR,14,DAL,LAC,8,6,75,71,1,21,9,12,0,0,0,0,0,19.10,2009
12,Michael Crabtree,WR,14,SF,ARI,10,5,50,67,1,35,7,13,0,0,0,0,0,17.70,2009
13,Marques Colston,WR,14,NO,ATL,7,6,86,54,1,20,8,9,0,0,0,0,0,17.40,2009
14,Michael Jenkins,WR,14,ATL,NO,5,3,60,82,1,50,16,27,0,0,0,0,0,17.20,2009
15,Steve Smith,WR,14,CAR,NE,6,2,33,83,1,41,14,42,2,7,0,0,0,17.00,2009
16,Santonio Holmes,WR,14,PIT,CLE,11,6,55,93,0,24,9,16,0,0,0,0,0,15.30,2009
17,Steve Smith,WR,14,NYG,PHI,10,7,70,74,0,19,7,11,0,0,0,0,0,14.40,2009
18,Sidney Rice,WR,14,MIN,CIN,9,4,44,39,1,16,4,10,0,0,0,0,0,13.90,2009
19,Austin Collie,WR,14,IND,DEN,6,3,50,39,1,23,7,13,0,0,0,0,0,12.90,2009
20,Domenik Hixon,WR,14,NYG,PHI,1,1,100,61,1,61,61,61,0,0,0,2,1,12.10,2009
21,Chad Johnson,WR,14,CIN,MIN,8,3,38,27,1,15,3,9,0,0,0,0,0,11.70,2009
22,Roy Williams,WR,14,DAL,LAC,8,4,50,74,0,25,9,19,0,0,0,0,0,11.40,2009
23,Patrick Crayton,WR,14,DAL,LAC,3,2,67,31,1,22,10,16,0,0,0,0,0,11.10,2009
24,Joshua Cribbs,WR,14,CLE,PIT,1,1,100,9,0,9,9,9,8,87,0,1,0,10.60,2009
25,Greg Jennings,WR,14,GB,CHI,5,3,60,56,0,25,11,19,0,0,0,0,0,10.60,2009
26,Brandon Gibson,WR,14,LAR,TEN,11,6,55,43,0,10,4,7,0,0,0,1,0,10.30,2009
27,Robert Meachem,WR,14,NO,ATL,5,4,80,57,0,42,11,14,1,4,0,0,0,10.10,2009
28,Santana Moss,WR,14,WAS,OAK,8,4,50,58,0,30,7,15,1,2,0,0,0,10.00,2009
29,Terrell Owens,WR,14,BUF,KC,5,2,40,15,1,9,3,8,0,0,0,0,0,9.50,2009
30,Kenny Britt,WR,14,TEN,LAR,2,2,100,75,0,44,38,38,0,0,0,0,0,9.50,2009
31,TJ Houshmandzadeh,WR,14,SEA,HOU,8,4,50,52,0,31,7,13,0,0,0,0,0,9.20,2009
32,Torry Holt,WR,14,JAX,MIA,3,2,67,71,0,63,24,36,0,0,0,0,0,9.10,2009
33,Chris Chambers,WR,14,KC,BUF,9,4,44,50,0,24,6,13,0,0,0,0,0,9.00,2009
34,David Anderson,WR,14,HOU,SEA,4,4,100,49,0,27,12,12,0,0,0,0,0,8.90,2009
35,Nate Washington,WR,14,TEN,LAR,5,3,60,54,0,32,11,18,0,0,0,0,0,8.40,2009
36,Reggie Wayne,WR,14,IND,DEN,7,4,57,43,0,20,6,11,0,0,0,0,0,8.30,2009
