Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Rob Bironas,K,14,TEN,LAR,4,4,100,50,5,5,0.00,2009
2,Jay Feely,K,14,NYJ,TB,4,5,80,49,2,2,0.00,2009
3,Billy Cundiff,K,14,BAL,DET,2,2,100,38,6,6,0.00,2009
4,Ryan Longwell,K,14,MIN,CIN,3,3,100,44,3,3,0.00,2009
5,Matt Bryant,K,14,ATL,NO,3,3,100,36,2,2,0.00,2009
6,Kris Brown,K,14,HOU,SEA,2,4,50,31,4,4,0.00,2009
7,Rian Lindell,K,14,BUF,KC,3,4,75,41,1,1,0.00,2009
8,Graham Gano,K,14,WAS,OAK,2,2,100,46,4,4,0.00,2009
9,Sebastian Janikowski,K,14,OAK,WAS,2,3,67,54,1,1,0.00,2009
10,Garrett Hartley,K,14,NO,ATL,2,2,100,38,2,2,0.00,2009
11,Stephen Gostkowski,K,14,NE,CAR,2,2,100,48,2,2,0.00,2009
12,Nate Kaeding,K,14,LAC,DAL,2,2,100,34,2,2,0.00,2009
13,Lawrence Tynes,K,14,NYG,PHI,1,1,100,26,5,5,0.00,2009
14,Phil Dawson,K,14,CLE,PIT,2,2,100,29,1,1,0.00,2009
15,Mason Crosby,K,14,GB,CHI,2,3,67,33,1,1,0.00,2009
16,David Akers,K,14,PHI,NYG,1,1,100,20,4,4,0.00,2009
17,Jeff Reed,K,14,PIT,CLE,2,2,100,42,0,0,0.00,2009
18,Joe Nedney,K,14,SF,ARI,1,2,50,37,3,3,0.00,2009
19,Thomas Howard,K,14,OAK,WAS,0,0,0,0,0,0,0.00,2009
20,Nick Folk,K,14,DAL,LAC,1,2,50,31,2,2,0.00,2009
21,Matt Prater,K,14,DEN,IND,1,2,50,28,1,1,0.00,2009
22,Matt Stover,K,14,IND,DEN,0,0,0,0,4,4,0.00,2009
23,Josh Scobee,K,14,JAX,MIA,1,1,100,25,1,1,0.00,2009
24,Ryan Succop,K,14,KC,BUF,1,1,100,21,1,1,0.00,2009
25,Shayne Graham,K,14,CIN,MIN,1,1,100,22,1,1,0.00,2009
26,John Kasay,K,14,CAR,NE,1,2,50,36,1,1,0.00,2009
27,Jason Hanson,K,14,DET,BAL,1,2,50,22,0,0,0.00,2009
28,Connor Barth,K,14,TB,NYJ,1,1,100,43,0,0,0.00,2009
29,Neil Rackers,K,14,ARI,SF,1,1,100,48,0,0,0.00,2009
30,Robbie Gould,K,14,CHI,GB,0,0,0,0,2,2,0.00,2009
31,Dan Carpenter,K,14,MIA,JAX,0,1,0,0,2,2,0.00,2009
32,Olindo Mare,K,14,SEA,HOU,0,0,0,0,1,1,0.00,2009
33,Josh Brown,K,14,LAR,TEN,0,0,0,0,1,1,0.00,2009
34,Rhys Lloyd,K,14,CAR,NE,0,0,0,0,0,0,0.00,2009
35,David Buehler,K,14,DAL,LAC,0,0,0,0,0,0,0.00,2009
