,Player,Position,Team,Opponent,Points,PlayerID
0,Drew Brees,QB,NO,ATL,23.64,00-0020531
1,Peyton Manning,QB,IND,DEN,21.5,00-0010346
2,Donovan McNabb,QB,PHI,NYG,20.5,00-0011022
3,Kyle Orton,QB,DEN,IND,19.18,00-0023541
4,Jason Campbell,QB,WAS,OAK,18.88,00-0023460
5,Chris Redman,QB,ATL,NO,18.12,00-0019709
6,Tony Romo,QB,DAL,LAC,17.86,00-0021678
7,Jay Cutler,QB,CHI,GB,14.26,00-0024226
8,Philip Rivers,QB,LAC,DAL,13.98,00-0022942
9,Chad Henne,QB,MIA,JAX,13.9,00-0026197
10,Vince Young,QB,TEN,LAR,13.68,00-0024218
11,Joe Flacco,QB,BAL,DET,13.4,00-0026158
12,Matt Hasselbeck,QB,SEA,HOU,12.88,00-0007091
13,Alex Smith,QB,SF,ARI,12.36,00-0023436
14,Matt Moore,QB,CAR,NE,11.88,00-0025708
15,Brett Favre,QB,MIN,CIN,11.48,00-0005106
16,Tom Brady,QB,NE,CAR,10.48,00-0019596
17,Kerry Collins,QB,TEN,LAR,10.06,00-0003292
18,Ben Roethlisberger,QB,PIT,CLE,9.24,00-0022924
19,Aaron Rodgers,QB,GB,CHI,8.8,00-0023459
20,Carson Palmer,QB,CIN,MIN,8.76,00-0021429
21,Michael Vick,QB,PHI,NYG,8.38,
22,David Garrard,QB,JAX,MIA,8.16,00-0021231
23,Troy Smith,QB,BAL,DET,7.8,00-0025561
24,Bruce Gradkowski,QB,OAK,WAS,7.72,00-0024408
25,Ryan Fitzpatrick,QB,BUF,KC,7.14,00-0023682
26,Keith Null,QB,LA,TEN,5.6,00-0027131
27,Kellen Clemens,QB,NYJ,TB,4.64,00-0024264
28,Daunte Culpepper,QB,DET,BAL,4.5,00-0003739
29,Matt Cassel,QB,KC,BUF,4.36,00-0023662
30,Kurt Warner,QB,ARI,SF,4.12,00-0017200
31,Brady Quinn,QB,CLE,PIT,3.8,00-0025409
32,Josh Freeman,QB,TB,NYJ,2.82,00-0026993
33,JaMarcus Russell,QB,OAK,WAS,1.96,00-0025388
34,JT OSullivan,QB,CIN,MIN,0.36,
35,Mark Brunell,QB,NO,ATL,0.0,00-0002110
36,Matt Flynn,QB,GB,CHI,0.0,00-0026349
37,Tarvaris Jackson,QB,MIN,CIN,-0.1,00-0024279
38,Seneca Wallace,QB,SEA,HOU,-0.5,00-0022055
39,DeSean Jackson,WR,PHI,NYG,38.8,00-0026189
40,Hakeem Nicks,WR,NYG,PHI,24.0,00-0027005
41,Wes Welker,WR,NE,CAR,23.5,00-0022427
42,Vincent Jackson,WR,LAC,DAL,22.0,00-0023496
43,Devin Aromashodu,WR,CHI,GB,21.6,00-0024447
44,Greg Camarillo,WR,MIA,JAX,21.0,00-0023408
45,Derrick Mason,WR,BAL,DET,20.4,00-0010500
46,Johnny Knox,WR,CHI,GB,19.3,00-0026913
47,Miles Austin,WR,DAL,LAC,19.1,00-0023921
48,Michael Crabtree,WR,SF,ARI,17.7,00-0026986
49,Marques Colston,WR,NO,ATL,17.4,00-0024466
50,Michael Jenkins,WR,ATL,NO,17.2,00-0022781
51,Steve Smith,WR,CAR,NE,17.0,
52,Santonio Holmes,WR,PIT,CLE,15.3,00-0024240
53,Steve Smith,WR,NYG,PHI,14.4,
54,Sidney Rice,WR,MIN,CIN,13.9,00-0025431
55,Austin Collie,WR,IND,DEN,12.9,00-0027092
56,Domenik Hixon,WR,NYG,PHI,12.1,00-0024345
57,Chad Johnson,WR,CIN,MIN,11.7,00-0020397
58,Roy Williams,WR,DAL,LAC,11.4,
59,Patrick Crayton,WR,DAL,LAC,11.1,00-0022766
60,Joshua Cribbs,WR,CLE,PIT,10.6,
61,Greg Jennings,WR,GB,CHI,10.6,00-0024267
62,Brandon Gibson,WR,LA,TEN,10.3,00-0026937
63,Robert Meachem,WR,NO,ATL,10.1,00-0025414
64,Santana Moss,WR,WAS,OAK,10.0,00-0020494
65,Kenny Britt,WR,TEN,LAR,9.5,00-0027006
66,Terrell Owens,WR,BUF,KC,9.5,00-0012478
67,TJ Houshmandzadeh,WR,SEA,HOU,9.2,
68,Torry Holt,WR,JAX,MIA,9.1,00-0007681
69,Chris Chambers,WR,KC,BUF,9.0,00-0020446
70,David Anderson,WR,HOU,SEA,8.9,00-0024465
71,Nate Washington,WR,TEN,LAR,8.4,00-0023367
72,Reggie Wayne,WR,IND,DEN,8.3,00-0020498
73,Bernard Berrian,WR,MIN,CIN,8.3,00-0022807
74,Deion Branch,WR,SEA,HOU,8.3,00-0021192
75,Nate Burleson,WR,SEA,HOU,8.2,00-0021999
76,Anquan Boldin,WR,ARI,SF,8.0,00-0022084
77,Jabar Gaffney,WR,DEN,IND,7.8,00-0021163
78,Calvin Johnson,WR,DET,BAL,7.7,00-0025389
79,Bobby Wade,WR,KC,BUF,7.4,00-0022144
80,Malcom Floyd,WR,LAC,DAL,7.0,00-0022414
81,Dennis Northcutt,WR,DET,BAL,6.9,00-0019650
82,Braylon Edwards,WR,NYJ,TB,6.7,00-0023438
83,Damian Williams,WR,BAL,DET,6.5,00-0027893
