Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Tony Romo,QB,5,DAL,TEN,31,46,67,406,9,3,3,90,1,9,9,0,29.14,2010
2,Philip Rivers,QB,5,LAC,OAK,27,42,64,431,10,2,0,114,1,14,14,0,27.64,2010
3,Alex Smith,QB,5,SF,PHI,25,39,64,309,8,3,2,93,3,16,5,0,25.96,2010
4,Kyle Orton,QB,5,DEN,BAL,23,38,61,314,8,2,0,105,0,0,0,0,23.56,2010
5,Eli Manning,QB,5,NYG,HOU,27,42,64,297,7,3,2,89,6,9,2,0,22.78,2010
6,Shaun Hill,QB,5,DET,LAR,21,32,66,227,7,3,0,118,2,9,5,0,21.98,2010
7,Donovan McNabb,QB,5,WAS,GB,26,49,53,357,7,1,1,75,4,10,3,0,21.28,2010
8,Ryan Fitzpatrick,QB,5,BUF,JAX,20,30,67,220,7,3,0,122,2,4,2,0,21.20,2010
9,Brett Favre,QB,5,MIN,NYJ,14,34,41,264,8,3,1,86,4,1,0,0,19.66,2010
10,David Garrard,QB,5,JAX,BUF,16,20,80,178,9,3,1,123,3,9,3,0,18.02,2010
11,Aaron Rodgers,QB,5,GB,WAS,27,46,59,293,6,1,1,76,4,30,8,0,17.72,2010
12,Vince Young,QB,5,TEN,DAL,12,25,48,173,7,2,0,98,4,22,6,0,17.12,2010
13,Drew Brees,QB,5,NO,ARI,24,39,62,279,7,2,3,68,2,2,1,0,16.36,2010
14,Josh Freeman,QB,5,TB,CIN,20,33,61,280,9,1,1,85,3,20,7,0,16.20,2010
15,Joe Flacco,QB,5,BAL,DEN,14,25,56,196,8,0,0,81,5,20,4,1,15.84,2010
16,Kevin Kolb,QB,5,PHI,SF,21,31,68,253,8,1,0,103,3,17,6,0,14.82,2010
17,Carson Palmer,QB,5,CIN,TB,21,36,58,209,6,2,3,59,1,3,3,0,13.66,2010
18,Jason Campbell,QB,5,OAK,LAC,13,18,72,159,9,1,0,118,4,7,2,0,11.06,2010
19,Matt Ryan,QB,5,ATL,CLE,16,28,57,187,7,1,0,89,5,5,1,0,10.98,2010
20,Seneca Wallace,QB,5,CLE,ATL,11,15,73,139,9,1,0,124,0,0,0,0,9.56,2010
21,Peyton Manning,QB,5,IND,KC,26,44,59,244,6,0,1,65,3,-3,-1,0,8.46,2010
22,Mark Sanchez,QB,5,NYJ,MIN,21,44,48,191,4,0,0,60,0,0,0,0,7.64,2010
23,Sam Bradford,QB,5,LAR,DET,23,45,51,215,5,0,2,46,0,0,0,0,6.60,2010
24,Matt Cassel,QB,5,KC,IND,16,29,55,156,5,0,0,70,1,1,1,0,6.34,2010
25,Matt Schaub,QB,5,HOU,NYG,16,34,47,196,6,0,1,53,1,-1,-1,0,5.74,2010
26,Max Hall,QB,5,ARI,NO,17,27,63,168,6,0,1,65,0,0,0,0,5.72,2010
27,Jake Delhomme,QB,5,CLE,ATL,13,23,57,97,4,0,2,31,1,0,0,0,1.88,2010
28,Jimmy Clausen,QB,5,CAR,CHI,9,22,41,61,3,0,1,30,2,0,0,0,1.44,2010
29,Caleb Hanie,QB,5,CHI,CAR,2,3,67,19,6,0,0,84,1,-1,-1,0,0.66,2010
30,Bruce Gradkowski,QB,5,OAK,LAC,1,7,14,14,2,0,0,40,0,0,0,0,0.56,2010
31,Derek Anderson,QB,5,ARI,NO,1,2,50,6,3,0,0,56,0,0,0,0,0.24,2010
32,Josh Johnson,QB,5,TB,CIN,2,2,100,4,2,0,0,79,0,0,0,0,0.16,2010
33,Drew Stanton,QB,5,DET,LAR,1,1,100,11,11,0,0,113,3,-3,-1,0,0.14,2010
34,Sage Rosenfels,QB,5,NYG,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2010
35,Chase Daniel,QB,5,NO,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2010
36,Matt Moore,QB,5,CAR,CHI,5,10,50,35,4,0,2,19,0,0,0,0,-0.60,2010
37,Todd Collins,QB,5,CHI,CAR,6,16,38,32,2,0,4,6,0,0,0,0,-2.72,2010
