Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Garrett Hartley,K,13,NO,WAS,4,5,80,34,3,3,0.00,2009
2,Matt Prater,K,13,DEN,KC,3,3,100,44,5,5,0.00,2009
3,Jay Feely,K,13,NYJ,BUF,4,4,100,49,1,1,0.00,2009
4,Josh Scobee,K,13,JAX,HOU,3,3,100,51,2,2,0.00,2009
5,Shaun Suisham,K,13,WAS,NO,3,4,75,32,3,3,0.00,2009
6,Nate Kaeding,K,13,LAC,CLE,3,3,100,42,3,3,0.00,2009
7,Neil Rackers,K,13,ARI,MIN,3,3,100,31,3,3,0.00,2009
8,Shayne Graham,K,13,CIN,DET,3,3,100,44,2,2,0.00,2009
9,David Akers,K,13,PHI,ATL,2,3,67,33,4,4,0.00,2009
10,John Kasay,K,13,CAR,TB,3,3,100,40,1,1,0.00,2009
11,Dan Carpenter,K,13,MIA,NE,3,3,100,41,1,1,0.00,2009
12,Josh Brown,K,13,LAR,CHI,3,3,100,50,0,0,0.00,2009
13,Matt Stover,K,13,IND,TEN,2,3,67,43,3,3,0.00,2009
14,Sebastian Janikowski,K,13,OAK,PIT,2,2,100,48,3,3,0.00,2009
15,Mason Crosby,K,13,GB,BAL,2,3,67,32,3,3,0.00,2009
16,Olindo Mare,K,13,SEA,SF,2,2,100,30,2,2,0.00,2009
17,Rian Lindell,K,13,BUF,NYJ,2,2,100,49,1,1,0.00,2009
18,Ryan Succop,K,13,KC,DEN,2,2,100,47,1,1,0.00,2009
19,Lawrence Tynes,K,13,NYG,DAL,1,1,100,23,4,4,0.00,2009
20,Connor Barth,K,13,TB,CAR,2,4,50,46,0,0,0.00,2009
21,Jeff Reed,K,13,PIT,OAK,1,2,50,33,3,3,0.00,2009
22,Nick Folk,K,13,DAL,NYG,1,3,33,34,3,3,0.00,2009
23,Robbie Gould,K,13,CHI,LAR,1,1,100,27,2,2,0.00,2009
24,Rob Bironas,K,13,TEN,IND,1,1,100,20,2,2,0.00,2009
25,Phil Dawson,K,13,CLE,LAC,1,2,50,49,2,2,0.00,2009
26,Ryan Longwell,K,13,MIN,ARI,1,1,100,25,2,2,0.00,2009
27,Joe Nedney,K,13,SF,SEA,1,1,100,34,2,2,0.00,2009
28,Kris Brown,K,13,HOU,JAX,1,1,100,32,1,1,0.00,2009
29,Thomas Howard,K,13,OAK,PIT,0,0,0,0,0,0,0.00,2009
30,Stephen Gostkowski,K,13,NE,MIA,0,0,0,0,3,3,0.00,2009
31,Billy Cundiff,K,13,BAL,GB,0,0,0,0,2,2,0.00,2009
32,Matt Bryant,K,13,ATL,PHI,0,0,0,0,1,1,0.00,2009
33,Jason Hanson,K,13,DET,CIN,0,1,0,0,1,1,0.00,2009
34,Rhys Lloyd,K,13,CAR,TB,0,0,0,0,0,0,0.00,2009
35,David Buehler,K,13,DAL,NYG,0,0,0,0,0,0,0.00,2009
