,Position,Player,Salary,Opponent,AvgPointsPerGame,Team,PlayerID
0,RB,Le'Veon Bell,9600,PIT@KC 04:25PM ET,19.9,PIT,00-0030496
1,WR,Antonio Brown,9300,PIT@KC 04:25PM ET,21.9,PIT,00-0027793
2,WR,Julio Jones,8300,MIA@ATL 01:00PM ET,12.875,ATL,00-0027944
3,QB,Tom Brady,8300,NE@NYJ 01:00PM ET,25.055999999999997,NE,00-0019596
4,RB,Kareem Hunt,8200,PIT@KC 04:25PM ET,28.1,KC,00-0033923
5,WR,DeAndre Hopkins,8100,CLE@HOU 01:00PM ET,20.86,HOU,00-0030564
6,RB,Leonard Fournette,8000,LAR@JAX 04:05PM ET,22.88,JAX,00-0033856
7,WR,Keenan Allen,7900,LAC@OAK 04:25PM ET,16.02,LAC,00-0030279
8,RB,Melvin Gordon,7800,LAC@OAK 04:25PM ET,18.96,LAC,00-0032144
9,RB,Todd Gurley II,7700,LAR@JAX 04:05PM ET,26.52,LA,00-0032241
10,WR,Brandin Cooks,7600,NE@NYJ 01:00PM ET,14.78,NE,00-0031236
11,WR,Stefon Diggs,7500,GB@MIN 01:00PM ET,17.86,MIN,00-0031588
12,RB,Devonta Freeman,7400,MIA@ATL 01:00PM ET,19.375,ATL,00-0031285
13,QB,Aaron Rodgers,7300,GB@MIN 01:00PM ET,23.996,GB,00-0023459
14,WR,Michael Thomas,7300,DET@NO 01:00PM ET,17.0,NO,00-0032765
15,QB,Drew Brees,7200,DET@NO 01:00PM ET,20.175,NO,00-0020531
16,WR,Jordy Nelson,7100,GB@MIN 01:00PM ET,15.6,GB,00-0026176
17,QB,Matt Ryan,7000,MIA@ATL 01:00PM ET,15.99,ATL,00-0026143
18,WR,Chris Hogan,7000,NE@NYJ 01:00PM ET,16.7,NE,00-0028237
19,WR,Mike Evans,6900,TB@ARI 04:05PM ET,15.9,TB,00-0031408
20,WR,Golden Tate,6800,DET@NO 01:00PM ET,13.12,DET,00-0027891
21,TE,Rob Gronkowski,6800,NE@NYJ 01:00PM ET,16.7,NE,00-0027656
22,QB,Kirk Cousins,6800,SF@WAS 01:00PM ET,18.965,WAS,00-0029604
23,WR,Larry Fitzgerald,6800,TB@ARI 04:05PM ET,15.94,ARI,00-0022921
24,QB,Deshaun Watson,6700,CLE@HOU 01:00PM ET,24.156,HOU,00-0033537
25,RB,Ty Montgomery,6700,GB@MIN 01:00PM ET,16.025,GB,00-0032200
26,WR,T.Y. Hilton,6700,IND@TEN 08:30PM ET,16.32,IND,00-0029608
27,WR,Jarvis Landry,6600,MIA@ATL 01:00PM ET,14.075,MIA,00-0031382
28,QB,Philip Rivers,6600,LAC@OAK 04:25PM ET,18.22,LAC,00-0022942
29,RB,C.J. Anderson,6600,NYG@DEN 08:30PM ET,16.175,DEN,00-0029854
30,QB,Matthew Stafford,6500,DET@NO 01:00PM ET,16.988,DET,00-0026498
31,RB,David Johnson,6500,TB@ARI 04:05PM ET,14.1,ARI,00-0032187
32,WR,Odell Beckham Jr.,6500,NYG@DEN 08:30PM ET,18.5,NYG,00-0031235
33,QB,Alex Smith,6400,PIT@KC 04:25PM ET,24.488000000000003,KC,00-0023436
34,WR,Tyreek Hill,6400,PIT@KC 04:25PM ET,16.8,KC,00-0033040
35,WR,Pierre Garcon,6300,SF@WAS 01:00PM ET,13.78,SF,00-0026345
36,QB,Marcus Mariota,6300,IND@TEN 08:30PM ET,17.57,TEN,00-0032268
37,WR,DeVante Parker,6200,MIA@ATL 01:00PM ET,12.15,MIA,00-0031547
38,RB,Carlos Hyde,6200,SF@WAS 01:00PM ET,15.14,SF,00-0031045
39,QB,Jameis Winston,6200,TB@ARI 04:05PM ET,21.23,TB,00-0031503
40,QB,Carson Palmer,6100,TB@ARI 04:05PM ET,18.512,ARI,00-0021429
41,TE,Travis Kelce,6100,PIT@KC 04:25PM ET,16.6,KC,00-0030506
42,WR,Emmanuel Sanders,6100,NYG@DEN 08:30PM ET,12.75,DEN,00-0027685
43,QB,Sam Bradford,6000,GB@MIN 01:00PM ET,14.99,MIN,00-0027854
44,WR,Adam Thielen,6000,GB@MIN 01:00PM ET,14.06,MIN,00-0030035
45,RB,Bilal Powell,6000,NE@NYJ 01:00PM ET,11.84,NYJ,00-0028064
46,WR,Demaryius Thomas,6000,NYG@DEN 08:30PM ET,10.675,DEN,00-0027874
47,RB,Jordan Howard,5900,CHI@BAL 01:00PM ET,14.72,CHI,00-0032780
48,WR,Randall Cobb,5900,GB@MIN 01:00PM ET,12.95,GB,00-0028002
49,QB,Derek Carr,5900,LAC@OAK 04:25PM ET,14.205,OAK,00-0031280
50,WR,DeSean Jackson,5800,TB@ARI 04:05PM ET,11.975,TB,00-0026189
51,RB,Doug Martin,5800,TB@ARI 04:05PM ET,15.2,TB,00-0029613
52,WR,Michael Crabtree,5800,LAC@OAK 04:25PM ET,17.05,OAK,00-0026986
53,QB,Jacoby Brissett,5800,IND@TEN 08:30PM ET,14.636,IND,00-0033119
54,RB,Jay Ajayi,5700,MIA@ATL 01:00PM ET,9.35,MIA,00-0031590
55,WR,Davante Adams,5700,GB@MIN 01:00PM ET,15.1,GB,00-0031381
56,WR,Terrelle Pryor Sr.,5700,SF@WAS 01:00PM ET,9.4,WAS,00-0028825
57,QB,Ben Roethlisberger,5700,PIT@KC 04:25PM ET,13.872,PIT,00-0022924
58,QB,Andrew Luck,5700,IND@TEN 08:30PM ET,0.0,IND,00-0029668
59,RB,Aaron Jones,5600,GB@MIN 01:00PM ET,8.575,GB,00-0033293
60,WR,Danny Amendola,5600,NE@NYJ 01:00PM ET,14.675,NE,00-0026035
61,RB,Mike Gillislee,5500,NE@NYJ 01:00PM ET,9.72,NE,00-0030433
62,QB,Jimmy Garoppolo,5500,NE@NYJ 01:00PM ET,0.0,NE,00-0031345
63,QB,Trevor Siemian,5500,NYG@DEN 08:30PM ET,17.28,DEN,00-0032156
64,QB,Joe Flacco,5400,CHI@BAL 01:00PM ET,8.484,BAL,00-0026158
65,RB,Javorius Allen,5400,CHI@BAL 01:00PM ET,12.98,BAL,00-0031577
66,RB,Lamar Miller,5400,CLE@HOU 01:00PM ET,14.12,HOU,00-0029615
67,WR,Tyrell Williams,5400,LAC@OAK 04:25PM ET,10.4,LAC,00-0032160
68,WR,Rishard Matthews,5400,IND@TEN 08:30PM ET,10.82,TEN,00-0029580
69,RB,Andre Ellington,5300,TB@ARI 04:05PM ET,11.72,ARI,00-0030287
70,WR,Will Fuller V,5200,CLE@HOU 01:00PM ET,20.05,HOU,00-0033127
71,QB,Josh McCown,5200,NE@NYJ 01:00PM ET,12.86,NYJ,00-0021206
72,RB,James White,5200,NE@NYJ 01:00PM ET,11.92,NE,00-0031062
73,RB,DeMarco Murray,5200,IND@TEN 08:30PM ET,9.84,TEN,00-0028009
74,RB,Tarik Cohen,5100,CHI@BAL 01:00PM ET,12.834000000000001,CHI,00-0033556
75,RB,Duke Johnson Jr.,5100,CLE@HOU 01:00PM ET,15.14,CLE,00-0032257
76,QB,Brian Hoyer,5100,SF@WAS 01:00PM ET,14.427999999999999,SF,00-0026625
77,WR,Sterling Shepard,5100,NYG@DEN 08:30PM ET,11.72,NYG,00-0032385
78,RB,Tevin Coleman,5000,MIA@ATL 01:00PM ET,13.15,ATL,00-0032058
79,QB,Mitchell Trubisky,5000,CHI@BAL 01:00PM ET,5.66,CHI,00-0033869
80,QB,Case Keenum,5000,GB@MIN 01:00PM ET,14.7,MIN,00-0028986
81,TE,Jordan Reed,5000,SF@WAS 01:00PM ET,8.167,WAS,00-0030472
82,RB,Chris Thompson,5000,SF@WAS 01:00PM ET,19.425,WAS,00-0030404
83,QB,Jared Goff,5000,LAR@JAX 04:05PM ET,16.78,LA,00-0033106
84,RB,Marshawn Lynch,5000,LAC@OAK 04:25PM ET,7.84,OAK,00-0025399
85,WR,Amari Cooper,5000,LAC@OAK 04:25PM ET,6.16,OAK,00-0031544
86,RB,Derrick Henry,5000,IND@TEN 08:30PM ET,5.34,TEN,00-0032764
87,QB,Jay Cutler,4900,MIA@ATL 01:00PM ET,9.835,MIA,00-0024226
88,RB,Ameer Abdullah,4900,DET@NO 01:00PM ET,10.32,DET,00-0032104
89,WR,Jaron Brown,4900,TB@ARI 04:05PM ET,10.08,ARI,00-0030300
90,WR,Mohamed Sanu,4800,MIA@ATL 01:00PM ET,9.675,ATL,00-0029632
91,WR,Corey Coleman,4800,CLE@HOU 01:00PM ET,9.1,CLE,00-0032966
92,WR,Jermaine Kearse,4800,NE@NYJ 01:00PM ET,12.4,NYJ,00-0029159
93,RB,Rob Kelley,4800,SF@WAS 01:00PM ET,4.367,WAS,00-0032371
94,QB,EJ Manuel,4800,LAC@OAK 04:25PM ET,7.55,OAK,00-0030526
95,QB,Eli Manning,4800,NYG@DEN 08:30PM ET,18.124000000000002,NYG,00-0022803
96,TE,Delanie Walker,4800,IND@TEN 08:30PM ET,10.3,TEN,00-0024389
97,RB,Latavius Murray,4700,GB@MIN 01:00PM ET,2.58,MIN,00-0030513
98,WR,Willie Snead,4700,DET@NO 01:00PM ET,0.0,NO,00-0030663
99,QB,Colt McCoy,4700,SF@WAS 01:00PM ET,0.0,WAS,00-0027688
100,RB,Matt Breida,4700,SF@WAS 01:00PM ET,4.98,SF,00-0033308
101,WR,Martavis Bryant,4700,PIT@KC 04:25PM ET,8.68,PIT,00-0031373
102,QB,Patrick Mahomes II,4700,PIT@KC 04:25PM ET,0.0,KC,00-0033873
103,QB,Matt Cassel,4700,IND@TEN 08:30PM ET,3.24,TEN,00-0023662
104,WR,Taylor Gabriel,4600,MIA@ATL 01:00PM ET,7.4,ATL,00-0031228
105,QB,Kevin Hogan,4600,CLE@HOU 01:00PM ET,9.527000000000001,CLE,00-0032784
106,QB,DeShone Kizer,4600,CLE@HOU 01:00PM ET,11.927999999999999,CLE,00-0033899
107,QB,Chase Daniel,4600,DET@NO 01:00PM ET,0.0,NO,00-0026544
108,WR,Marvin Jones Jr.,4600,DET@NO 01:00PM ET,8.88,DET,00-0029293
109,RB,Elijah McGuire,4600,NE@NYJ 01:00PM ET,6.62,NYJ,00-0033295
110,QB,Blake Bortles,4600,LAR@JAX 04:05PM ET,13.356,JAX,00-0031407
111,QB,Matt Moore,4500,MIA@ATL 01:00PM ET,0.0,MIA,00-0025708
112,RB,Alvin Kamara,4500,DET@NO 01:00PM ET,13.75,NO,00-0033906
113,WR,John Brown,4500,TB@ARI 04:05PM ET,8.833,ARI,00-0031051
114,QB,Landry Jones,4500,PIT@KC 04:25PM ET,0.0,PIT,00-0030524
115,RB,James Conner,4500,PIT@KC 04:25PM ET,1.1,PIT,00-0033553
116,QB,Cardale Jones,4500,LAC@OAK 04:25PM ET,0.0,LAC,00-0033098
117,QB,Geno Smith,4500,NYG@DEN 08:30PM ET,0.0,NYG,00-0030565
118,RB,Frank Gore,4500,IND@TEN 08:30PM ET,10.42,IND,00-0023500
119,WR,Jeremy Maclin,4400,CHI@BAL 01:00PM ET,8.78,BAL,00-0026995
120,QB,Mike Glennon,4400,CHI@BAL 01:00PM ET,11.18,CHI,00-0030520
121,RB,Alex Collins,4400,CHI@BAL 01:00PM ET,6.025,BAL,00-0032426
122,RB,Mark Ingram,4400,DET@NO 01:00PM ET,11.125,NO,00-0027966
123,WR,Robby Anderson,4400,NE@NYJ 01:00PM ET,8.4,NYJ,00-0032688
124,RB,Samaje Perine,4400,SF@WAS 01:00PM ET,3.975,WAS,00-0033526
125,QB,Ryan Fitzpatrick,4400,TB@ARI 04:05PM ET,-0.2,TB,00-0023682
126,WR,J.J. Nelson,4400,TB@ARI 04:05PM ET,12.02,ARI,00-0032112
127,QB,Matt Schaub,4300,MIA@ATL 01:00PM ET,0.0,ATL,00-0022787
128,WR,Mike Wallace,4300,CHI@BAL 01:00PM ET,8.46,BAL,00-0026901
129,QB,Tom Savage,4300,CLE@HOU 01:00PM ET,0.24,HOU,00-0031064
130,RB,Theo Riddick,4300,DET@NO 01:00PM ET,8.12,DET,00-0030107
131,TE,Austin Seferian-Jenkins,4300,NE@NYJ 01:00PM ET,10.533,NYJ,00-0031418
132,QB,Blaine Gabbert,4300,TB@ARI 04:05PM ET,0.0,ARI,00-0027948
133,QB,Chad Henne,4300,LAR@JAX 04:05PM ET,-0.3,JAX,00-0026197
134,WR,Allen Hurns,4300,LAR@JAX 04:05PM ET,10.14,JAX,00-0030821
135,WR,Travis Benjamin,4300,LAC@OAK 04:25PM ET,8.82,LAC,00-0029269
136,QB,Scott Tolzien,4300,IND@TEN 08:30PM ET,3.32,IND,00-0028595
137,WR,Kenny Stills,4200,MIA@ATL 01:00PM ET,6.85,MIA,00-0030085
138,RB,Isaiah Crowell,4200,CLE@HOU 01:00PM ET,6.82,CLE,00-0030656
139,RB,D'Onta Foreman,4200,CLE@HOU 01:00PM ET,4.72,HOU,00-0033925
140,QB,Brett Hundley,4200,GB@MIN 01:00PM ET,0.0,GB,00-0031589
141,RB,Jamaal Williams,4200,GB@MIN 01:00PM ET,1.2,GB,00-0033948
142,QB,Jake Rudock,4200,DET@NO 01:00PM ET,0.0,DET,00-0032431
143,QB,C.J. Beathard,4200,SF@WAS 01:00PM ET,0.0,SF,00-0033936
144,QB,Sean Mannion,4200,LAR@JAX 04:05PM ET,-0.22,LA,00-0032245
145,WR,Marqise Lee,4200,LAR@JAX 04:05PM ET,7.16,JAX,00-0031431
146,WR,Eric Decker,4200,IND@TEN 08:30PM ET,5.96,TEN,00-0027690
147,WR,Corey Davis,4200,IND@TEN 08:30PM ET,7.15,TEN,00-0033871
148,RB,Jerick McKinnon,4100,GB@MIN 01:00PM ET,8.04,MIN,00-0031376
149,WR,Marquise Goodwin,4100,SF@WAS 01:00PM ET,8.26,SF,00-0030068
150,WR,Sammy Watkins,4100,LAR@JAX 04:05PM ET,10.02,LA,00-0031325
151,TE,Hunter Henry,4100,LAC@OAK 04:25PM ET,7.56,LAC,00-0033090
152,RB,Jamaal Charles,4100,NYG@DEN 08:30PM ET,6.9,DEN,00-0026213
