Rank,Player,Position,Week,Team,Opponent,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Rec,RecYds,RecTDs,Fumbles,FumLost,Points,Year
1,Adrian Peterson,RB,15,MIN,LAR,24,212,9,1,0,0,0,0,0,0,30.20,2012
2,Danny Woodhead,RB,15,NE,SF,12,61,5,2,10,5,23,0,0,0,25.40,2012
3,Chris Wells,RB,15,ARI,DET,17,67,4,3,0,0,0,0,0,0,24.70,2012
4,Alfred Morris,RB,15,WAS,CLE,27,87,3,2,2,2,6,0,0,0,23.30,2012
5,Knowshon Moreno,RB,15,DEN,BAL,21,115,6,1,3,2,8,0,0,0,23.30,2012
6,Marshawn Lynch,RB,15,SEA,BUF,10,113,11,1,1,1,14,0,0,0,22.70,2012
7,Steven Jackson,RB,15,LAR,MIN,13,73,6,0,10,8,73,0,0,0,22.60,2012
8,CJ Spiller,RB,15,BUF,SEA,17,103,6,1,5,3,-2,0,0,0,22.10,2012
9,Arian Foster,RB,15,HOU,IND,27,165,6,0,2,2,4,0,0,0,21.90,2012
10,DeAngelo Williams,RB,15,CAR,LAC,22,93,4,0,2,2,51,1,1,1,21.40,2012
11,Chris Johnson,RB,15,TEN,NYJ,21,122,6,1,0,0,0,0,0,0,21.20,2012
12,Darren McFadden,RB,15,OAK,KC,30,110,4,0,4,4,39,0,1,1,20.90,2012
13,Mike Tolbert,FB,15,CAR,LAC,9,40,4,2,4,2,24,0,0,0,20.40,2012
14,DeMarco Murray,RB,15,DAL,PIT,14,81,6,1,4,4,31,0,1,1,20.20,2012
15,Frank Gore,RB,15,SF,NE,21,83,4,1,2,2,34,0,0,0,19.70,2012
16,BenJarvus Green-Ellis,RB,15,CIN,PHI,25,106,4,1,0,0,0,0,0,0,19.60,2012
17,Matt Forte,RB,15,CHI,GB,20,69,3,0,8,5,64,0,0,0,18.30,2012
18,Trent Richardson,RB,15,CLE,WAS,11,28,3,2,4,3,4,0,0,0,18.20,2012
19,Darren Sproles,RB,15,NO,TB,5,22,4,0,8,5,21,1,0,0,15.30,2012
20,Mark Ingram,RB,15,NO,TB,14,90,6,1,0,0,0,0,0,0,15.00,2012
21,Mikel Leshoure,RB,15,DET,ARI,14,55,4,1,3,2,4,0,0,0,13.90,2012
22,Vick Ballard,RB,15,IND,HOU,18,105,6,0,2,0,0,0,0,0,13.50,2012
23,Reggie Bush,RB,15,MIA,JAX,21,104,5,0,1,0,0,0,0,0,13.40,2012
24,Michael Turner,RB,15,ATL,NYG,16,52,3,1,2,1,9,0,0,0,13.10,2012
25,Dexter McCluster,RB,15,KC,OAK,0,0,0,0,10,7,59,0,0,0,12.90,2012
26,Mike Goodson,RB,15,OAK,KC,13,89,7,0,1,1,14,0,0,0,11.30,2012
27,Evan Royster,RB,15,WAS,CLE,2,3,2,1,4,2,30,0,0,0,11.30,2012
28,Shonn Greene,RB,15,NYJ,TEN,13,68,5,0,3,2,1,0,0,0,8.90,2012
29,Jorvorskie Lane,FB,15,MIA,JAX,0,0,0,0,2,2,6,1,0,0,8.60,2012
30,Curtis Brinkley,RB,15,LAC,CAR,6,42,7,0,3,3,14,0,0,0,8.60,2012
31,Jason Snelling,RB,15,ATL,NYG,6,39,7,0,3,3,14,0,0,0,8.30,2012
32,Jonathan Dwyer,RB,15,PIT,DAL,9,22,2,1,1,0,0,0,0,0,8.20,2012
33,Jacob Hester,RB,15,DEN,BAL,7,20,3,1,0,0,0,0,0,0,8.00,2012
34,David Wilson,RB,15,NYG,ATL,12,55,5,0,3,1,11,0,0,0,7.60,2012
35,Ray Rice,RB,15,BAL,DEN,12,38,3,0,7,3,3,0,0,0,7.10,2012
36,Pierre Thomas,RB,15,NO,TB,4,13,3,0,4,3,26,0,0,0,6.90,2012
37,Doug Martin,RB,15,TB,NO,9,16,2,0,5,3,19,0,0,0,6.50,2012
38,Montell Owens,FB,15,JAX,MIA,11,47,4,0,1,1,6,0,0,0,6.30,2012
39,Bilal Powell,RB,15,NYJ,TEN,6,28,5,0,2,2,15,0,0,0,6.30,2012
40,Alex Green,RB,15,GB,CHI,13,35,3,0,5,2,6,0,0,0,6.10,2012
41,Daryl Richardson,RB,15,LAR,MIN,3,5,2,0,6,3,25,0,0,0,6.00,2012
42,Ryan Mathews,RB,15,LAC,CAR,4,22,6,0,4,3,8,0,0,0,6.00,2012
43,Michael Robinson,RB,15,SEA,BUF,1,29,29,0,2,1,20,0,0,0,5.90,2012
44,Jamaal Charles,RB,15,KC,OAK,9,10,1,0,4,3,18,0,0,0,5.80,2012
45,Joique Bell,RB,15,DET,ARI,7,24,3,0,4,2,13,0,0,0,5.70,2012
46,Bryce Brown,RB,15,PHI,CIN,16,34,2,0,2,1,11,0,0,0,5.50,2012
47,Isaac Redman,RB,15,PIT,DAL,3,30,10,0,1,1,14,0,0,0,5.40,2012
48,Will Johnson,FB,15,PIT,DAL,0,0,0,0,2,2,34,0,0,0,5.40,2012
49,DJ Ware,RB,15,TB,NO,0,0,0,0,4,2,32,0,0,0,5.20,2012
50,Jacquizz Rodgers,RB,15,ATL,NYG,11,25,2,0,1,1,14,0,0,0,4.90,2012
