Player,Position,Team,Opponent,Points
Aaron Rodgers,QB,GB,BUF,26.20
Shaun Hill,QB,DET,PHI,26.00
Donovan McNabb,QB,WAS,HOU,24.04
Jay Cutler,QB,CHI,DAL,23.38
Michael Vick,QB,PHI,DET,23.06
Mark Sanchez,QB,NYJ,NE,23.00
Kyle Orton,QB,DEN,SEA,22.78
Peyton Manning,QB,IND,NYG,21.90
Matt Ryan,QB,ATL,ARI,20.60
Drew Brees,QB,NO,SF,19.86
Tony Romo,QB,DAL,CHI,19.86
Josh Freeman,QB,TB,CAR,19.42
Matt Hasselbeck,QB,SEA,DEN,18.42
Alex Smith,QB,SF,NO,17.80
Tom Brady,QB,NE,NYJ,14.92
Sam Bradford,QB,LAR,OAK,13.68
Seneca Wallace,QB,CLE,KC,12.56
Eli Manning,QB,NYG,IND,12.04
Kerry Collins,QB,TEN,PIT,9.86
Bruce Gradkowski,QB,OAK,LAR,9.48
Chad Henne,QB,MIA,MIN,8.56
Matt Moore,QB,CAR,TB,7.20
Joe Flacco,QB,BAL,CIN,7.06
David Garrard,QB,JAX,LAC,6.82
Carson Palmer,QB,CIN,BAL,6.58
Matt Cassel,QB,KC,CLE,5.54
Luke McCown,QB,JAX,LAC,5.20
Brett Favre,QB,MIN,MIA,5.00
Derek Anderson,QB,ARI,ATL,4.44
Jason Campbell,QB,OAK,LAR,4.38
Trent Edwards,QB,BUF,GB,3.28
Dennis Dixon,QB,PIT,TEN,2.52
Jimmy Clausen,QB,CAR,TB,1.36
Charlie Batch,QB,PIT,TEN,1.00
Vince Young,QB,TEN,PIT,0.84
Billy Volek,QB,LAC,JAX,-0.10
Max Hall,QB,ARI,ATL,-0.88
Mike Sims-Walker,WR,JAX,LAC,28.50
Miles Austin,WR,DAL,CHI,27.20
DeSean Jackson,WR,PHI,DET,27.00
Demaryius Thomas,WR,DEN,SEA,23.70
Reggie Wayne,WR,IND,NYG,22.60
Louis Murphy,WR,OAK,LAR,21.10
Roddy White,WR,ATL,ARI,20.80
Malcom Floyd,WR,LAC,JAX,18.50
Santana Moss,WR,WAS,HOU,18.10
Devin Hester,WR,CHI,DAL,17.70
Mario Manningham,WR,NYG,IND,17.70
Eddie Royal,WR,DEN,SEA,17.50
Braylon Edwards,WR,NYJ,NE,17.50
Jacoby Jones,WR,HOU,WAS,17.30
Calvin Johnson,WR,DET,PHI,17.00
Joshua Cribbs,WR,CLE,KC,16.50
Mark Clayton,WR,LAR,OAK,16.40
Wes Welker,WR,NE,NYJ,15.80
Steve Smith,WR,CAR,TB,15.60
Larry Fitzgerald,WR,ARI,ATL,15.30
Darrius Heyward-Bey,WR,OAK,LAR,14.00
Donald Driver,WR,GB,BUF,13.80
Mike Williams,WR,TB,CAR,13.40
Nate Washington,WR,TEN,PIT,13.40
Jerricho Cotchery,WR,NYJ,NE,13.20
Dez Bryant,WR,DAL,CHI,13.20
Josh Morgan,WR,SF,NO,13.00
Johnny Knox,WR,CHI,DAL,12.60
Austin Collie,WR,IND,NYG,12.50
James Jones,WR,GB,BUF,12.20
Brian Finneran,WR,ATL,ARI,12.10
Hakeem Nicks,WR,NYG,IND,11.80
Randy Moss,WR,NE,NYJ,11.80
Joey Galloway,WR,WAS,HOU,11.80
Brian Hartline,WR,MIA,MIN,11.80
Marques Colston,WR,NO,SF,11.70
Jeremy Maclin,WR,PHI,DET,11.60
Justin Gage,WR,TEN,PIT,11.40
Brandon Marshall,WR,MIA,MIN,11.10
Kenny Britt,WR,TEN,PIT,11.10
Ben Obomanu,WR,SEA,DEN,11.00
Derrick Mason,WR,BAL,CIN,10.10
Craig Davis,WR,LAC,JAX,9.80
Jordan Shipley,WR,CIN,BAL,9.20
Terrell Owens,WR,CIN,BAL,8.70
Dwayne Bowe,WR,KC,CLE,8.50
Anquan Boldin,WR,BAL,CIN,8.50
Chad Johnson,WR,CIN,BAL,8.40
Brandon Pettigrew,TE,DET,PHI,20.80
Dallas Clark,TE,IND,NYG,19.30
Aaron Hernandez,TE,NE,NYJ,19.10
Jermichael Finley,TE,GB,BUF,17.30
Chris Cooley,TE,WAS,HOU,15.40
Visanthe Shiancoe,TE,MIN,MIA,14.60
Vernon Davis,TE,SF,NO,13.80
Kellen Winslow,TE,TB,CAR,12.30
Marcedes Lewis,TE,JAX,LAC,12.00
Martellus Bennett,TE,DAL,CHI,11.50
Greg Olsen,TE,CHI,DAL,10.90
Tony Moeaki,TE,KC,CLE,10.80
Benjamin Watson,TE,CLE,KC,10.20
Jason Witten,TE,DAL,CHI,10.10
David Thomas,TE,NO,SF,10.00
Deon Butler,TE,SEA,DEN,10.00
John Carlson,TE,SEA,DEN,9.80
Zach Miller,TE,OAK,LAR,7.90
Mike Sellers,TE,WAS,HOU,7.80
Dante Rosario,TE,CAR,TB,7.70
Todd Heap,TE,BAL,CIN,7.50
Fred Davis,TE,WAS,HOU,7.20
Jeremy Shockey,TE,NO,SF,6.70
Brent Celek,TE,PHI,DET,5.70
Bo Scaife,TE,TEN,PIT,5.00
Daniel Fells,TE,LAR,OAK,4.60
Jermaine Gresham,TE,CIN,BAL,4.50
