Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Tim Tebow,QB,17,DEN,LAC,16,36,44,205,6,2,2,58,13,94,7,1,29.60,2010
2,Kerry Collins,QB,17,TEN,IND,28,39,72,300,8,2,0,111,2,2,1,0,22.20,2010
3,Rex Grossman,QB,17,WAS,NYG,26,44,59,336,8,2,1,89,1,2,2,0,21.64,2010
4,Ben Roethlisberger,QB,17,PIT,CLE,15,22,68,280,13,2,0,141,4,24,6,0,21.60,2010
5,Alex Smith,QB,17,SF,ARI,15,29,52,276,10,2,0,108,1,-1,-1,0,18.94,2010
6,Peyton Manning,QB,17,IND,TEN,27,41,66,264,6,2,0,100,0,0,0,0,18.56,2010
7,Josh Freeman,QB,17,TB,NO,21,26,81,255,10,2,0,133,4,11,3,0,18.30,2010
8,Matt Ryan,QB,17,ATL,CAR,22,32,69,236,7,2,0,111,2,7,4,0,18.14,2010
9,Carson Palmer,QB,17,CIN,BAL,32,45,71,305,7,1,2,78,2,3,2,0,16.50,2010
10,Tom Brady,QB,17,NE,MIA,10,16,63,199,12,2,0,146,0,0,0,0,15.96,2010
11,Charlie Whitehurst,QB,17,SEA,LAR,22,36,61,192,5,1,0,84,8,30,4,0,14.68,2010
12,Philip Rivers,QB,17,LAC,DEN,21,37,57,313,9,0,1,73,1,1,1,0,14.62,2010
13,Stephen McGee,QB,17,DAL,PHI,11,27,41,127,5,1,0,68,9,55,6,0,14.58,2010
14,Shaun Hill,QB,17,DET,MIN,28,39,72,258,7,1,1,87,2,11,6,0,14.42,2010
15,Aaron Rodgers,QB,17,GB,CHI,19,28,68,229,8,1,1,90,7,21,3,0,14.26,2010
16,Matt Schaub,QB,17,HOU,JAX,18,22,82,253,12,1,0,130,2,1,1,0,14.22,2010
17,Eli Manning,QB,17,NYG,WAS,17,29,59,243,8,1,1,83,4,11,3,0,13.82,2010
18,Jason Campbell,QB,17,OAK,KC,15,25,60,155,6,1,0,91,4,33,8,0,13.50,2010
19,Mark Brunell,QB,17,NYJ,BUF,6,12,50,110,9,2,1,87,0,0,0,0,11.40,2010
20,Colt McCoy,QB,17,CLE,PIT,20,41,49,209,5,1,3,42,4,19,5,0,11.26,2010
21,Trent Edwards,QB,17,JAX,HOU,12,25,48,140,6,1,1,62,4,18,5,0,10.40,2010
22,Jimmy Clausen,QB,17,CAR,ATL,19,33,58,182,6,1,1,71,0,0,0,0,10.28,2010
23,Drew Brees,QB,17,NO,TB,22,38,58,196,5,1,1,70,0,0,0,0,9.84,2010
24,Brian Hoyer,QB,17,NE,MIA,7,13,54,122,9,1,0,112,1,-1,-1,0,8.78,2010
25,Joe Webb,QB,17,MIN,DET,20,32,63,145,5,0,1,60,5,35,7,0,8.30,2010
26,Kevin Kolb,QB,17,PHI,DAL,18,36,50,162,5,1,3,37,3,12,4,0,7.68,2010
27,John Skelton,QB,17,ARI,SF,14,25,56,92,4,1,1,61,2,9,5,0,7.58,2010
28,Kellen Clemens,QB,17,NYJ,BUF,1,2,50,6,3,0,0,56,2,9,5,1,7.14,2010
29,Jay Cutler,QB,17,CHI,GB,21,39,54,168,4,0,2,44,2,8,4,0,5.52,2010
30,Sam Bradford,QB,17,LAR,SEA,19,36,53,155,4,0,1,52,0,0,0,0,5.20,2010
31,Richard Bartel,QB,17,ARI,SF,16,28,57,150,5,0,1,57,0,0,0,0,5.00,2010
32,Joe Flacco,QB,17,BAL,CIN,14,19,74,125,7,0,1,69,3,1,0,0,4.10,2010
33,Matt Cassel,QB,17,KC,OAK,11,33,33,115,4,0,2,19,0,0,0,0,2.60,2010
34,Chad Henne,QB,17,MIA,NE,6,16,38,71,4,0,1,26,0,0,0,0,1.84,2010
35,Byron Leftwich,QB,17,PIT,CLE,5,7,71,42,6,0,0,87,0,0,0,0,1.68,2010
36,Tyler Palko,QB,17,KC,OAK,2,3,67,27,9,0,0,95,1,6,6,0,1.68,2010
37,Chris Redman,QB,17,ATL,CAR,4,6,67,20,3,0,0,72,1,-1,-1,0,0.70,2010
38,Chase Daniel,QB,17,NO,TB,2,3,67,16,5,0,0,80,1,0,0,0,0.64,2010
39,Brian Brohm,QB,17,BUF,NYJ,10,23,44,106,5,0,3,18,0,0,0,0,0.24,2010
40,Kyle Boller,QB,17,OAK,KC,1,1,100,5,5,0,0,88,0,0,0,0,0.20,2010
41,Seneca Wallace,QB,17,CLE,PIT,1,1,100,1,1,0,0,79,0,0,0,0,0.04,2010
42,Josh Johnson,QB,17,TB,NO,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2010
43,Mark Sanchez,QB,17,NYJ,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2010
44,Sage Rosenfels,QB,17,NYG,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2010
45,Levi Brown,QB,17,BUF,NYJ,2,3,67,24,8,0,1,51,0,0,0,0,-0.04,2010
