Player,Position,Team,Opponent,Points
Eli Manning,QB,NYG,PHI,26.56
Jon Kitna,QB,DAL,WAS,24.30
Tim Tebow,QB,DEN,OAK,23.32
Matt Schaub,QB,HOU,TEN,23.00
Philip Rivers,QB,LAC,SF,22.92
Drew Brees,QB,NO,BAL,21.68
Matt Flynn,QB,GB,NE,21.34
David Garrard,QB,JAX,IND,19.56
Jay Cutler,QB,CHI,MIN,18.66
Matt Ryan,QB,ATL,SEA,18.56
Ryan Fitzpatrick,QB,BUF,MIA,17.82
Colt McCoy,QB,CLE,CIN,17.72
Peyton Manning,QB,IND,JAX,17.16
Ben Roethlisberger,QB,PIT,NYJ,17.06
Josh Freeman,QB,TB,DET,16.94
Drew Stanton,QB,DET,TB,16.48
Kerry Collins,QB,TEN,HOU,16.28
Jason Campbell,QB,OAK,DEN,15.62
Joe Flacco,QB,BAL,NO,15.08
Tom Brady,QB,NE,GB,14.52
Mark Sanchez,QB,NYJ,PIT,14.30
Chad Henne,QB,MIA,BUF,14.04
Joe Webb,QB,MIN,CHI,12.96
Charlie Whitehurst,QB,SEA,ATL,12.32
Matt Cassel,QB,KC,LAR,12.06
Jimmy Clausen,QB,CAR,ARI,11.04
Carson Palmer,QB,CIN,CLE,8.26
John Skelton,QB,ARI,CAR,6.84
Alex Smith,QB,SF,LAC,6.20
Brett Favre,QB,MIN,CHI,5.52
Sam Bradford,QB,LAR,KC,5.44
Matt Hasselbeck,QB,SEA,ATL,0.24
Josh Johnson,QB,TB,DET,0.04
Sage Rosenfels,QB,NYG,PHI,0.00
Kyle Boller,QB,OAK,DEN,0.00
Chase Daniel,QB,NO,BAL,0.00
Billy Volek,QB,LAC,SF,-0.20
Brandon Marshall,WR,MIA,BUF,29.60
Austin Collie,WR,IND,JAX,28.70
Calvin Johnson,WR,DET,TB,28.20
Santana Moss,WR,WAS,DAL,27.10
Larry Fitzgerald,WR,ARI,CAR,24.50
Jeremy Maclin,WR,PHI,NYG,23.90
Kenny Britt,WR,TEN,HOU,21.80
Mike Williams,WR,TB,DET,21.60
Mike Wallace,WR,PIT,NYJ,21.00
Braylon Edwards,WR,NYJ,PIT,21.00
Kevin Walter,WR,HOU,TEN,20.90
Jacoby Ford,WR,OAK,DEN,20.80
Josh Morgan,WR,SF,LAC,20.60
James Jones,WR,GB,NE,20.50
Mike Sims-Walker,WR,JAX,IND,20.20
Roddy White,WR,ATL,SEA,19.50
Brian Robiskie,WR,CLE,CIN,19.20
Steve Johnson,WR,BUF,MIA,18.90
Hakeem Nicks,WR,NYG,PHI,18.30
Percy Harvin,WR,MIN,CHI,18.10
Anthony Armstrong,WR,WAS,DAL,18.00
Brandon Lloyd,WR,DEN,OAK,17.90
Andre Johnson,WR,HOU,TEN,17.80
Davone Bess,WR,MIA,BUF,16.80
Devin Hester,WR,CHI,MIN,16.30
Johnny Knox,WR,CHI,MIN,15.80
Nate Burleson,WR,DET,TB,15.30
David Nelson,WR,BUF,MIA,15.10
Emmanuel Sanders,WR,PIT,NYJ,14.80
Mike Williams,WR,SEA,ATL,14.60
Mike Thomas,WR,JAX,IND,14.30
Marques Colston,WR,NO,BAL,14.00
Michael Jenkins,WR,ATL,SEA,13.80
DeSean Jackson,WR,PHI,NYG,13.20
Danny Amendola,WR,LAR,KC,13.00
Andre Caldwell,WR,CIN,CLE,12.90
Greg Jennings,WR,GB,NE,12.90
Miles Austin,WR,DAL,WAS,12.80
Steve Breaston,WR,ARI,CAR,12.20
Jacoby Jones,WR,HOU,TEN,12.00
Lance Moore,WR,NO,BAL,10.60
Nate Washington,WR,TEN,HOU,10.00
Santonio Holmes,WR,NYJ,PIT,10.00
Pierre Garcon,WR,IND,JAX,9.40
Reggie Wayne,WR,IND,JAX,8.40
Devery Henderson,WR,NO,BAL,8.30
Rashied Davis,WR,CHI,MIN,7.90
Sam Hurd,WR,DAL,WAS,7.50
Jimmy Graham,TE,NO,BAL,19.90
Chris Cooley,TE,WAS,DAL,19.20
Benjamin Watson,TE,CLE,CIN,16.20
Brent Celek,TE,PHI,NYG,15.20
Kevin Boss,TE,NYG,PHI,14.90
Marcedes Lewis,TE,JAX,IND,12.30
Matt Spaeth,TE,PIT,NYJ,11.70
Ed Dickson,TE,BAL,NO,11.30
Robert Royal,TE,CLE,CIN,10.90
Randy McMichael,TE,LAC,SF,10.50
Jacob Tamme,TE,IND,JAX,10.40
Visanthe Shiancoe,TE,MIN,CHI,10.10
Daniel Fells,TE,LAR,KC,8.70
Jeff King,TE,CAR,ARI,8.60
Kellen Winslow,TE,TB,DET,8.60
Owen Daniels,TE,HOU,TEN,8.50
Zach Miller,TE,OAK,DEN,7.90
Joel Dreessen,TE,HOU,TEN,7.60
Leonard Pope,TE,KC,LAR,7.20
Jared Cook,TE,TEN,HOU,7.20
Greg Olsen,TE,CHI,MIN,6.80
Tony Gonzalez,TE,ATL,SEA,6.60
Anthony Fasano,TE,MIA,BUF,6.00
Mike Sellers,TE,WAS,DAL,5.70
Jeremy Shockey,TE,NO,BAL,5.60
Tony Moeaki,TE,KC,LAR,5.50
Dustin Keller,TE,NYJ,PIT,4.90
Tony Scheffler,TE,DET,TB,4.80
Kory Sperry,TE,LAC,SF,4.50
Brandon Pettigrew,TE,DET,TB,4.50
Delanie Walker,TE,SF,LAC,4.40
John Carlson,TE,SEA,ATL,4.10
Rob Gronkowski,TE,NE,GB,3.50
Cameron Morrah,TE,SEA,ATL,3.40
Andrew Quarless,TE,GB,NE,3.20
Justin Peelle,TE,ATL,SEA,2.00
Richard Quinn,TE,DEN,OAK,1.90
John Gilmore,TE,TB,DET,1.90
Dante Rosario,TE,CAR,ARI,1.90
Scott Chandler,TE,BUF,MIA,1.80
Stephen Spach,TE,ARI,CAR,1.70
Jimmy Kleinsasser,TE,MIN,CHI,1.60
Gijon Robinson,TE,IND,JAX,1.60
Jermaine Gresham,TE,CIN,CLE,1.60
Vernon Davis,TE,SF,LAC,1.40
Travis Beckum,TE,NYG,PHI,1.40
Clay Harbor,TE,PHI,NYG,1.40
Alge Crumpler,TE,NE,GB,1.30
Cedric Benson,RB,CIN,CLE,24.00
Maurice Morris,RB,DET,TB,23.90
Chris Johnson,RB,TEN,HOU,23.70
Donald Brown,RB,IND,JAX,23.30
Darren McFadden,RB,OAK,DEN,21.80
Steven Jackson,RB,LAR,KC,21.40
Ryan Torain,RB,WAS,DAL,21.10
LeGarrette Blount,RB,TB,DET,20.00
Rashard Mendenhall,RB,PIT,NYJ,19.00
Tashard Choice,RB,DAL,WAS,18.40
Jonathan Stewart,RB,CAR,ARI,16.90
Marcel Reece,FB,OAK,DEN,16.80
Thomas Jones,RB,KC,LAR,14.80
Marshawn Lynch,RB,SEA,ATL,14.70
Rashad Jennings,RB,JAX,IND,14.70
Michael Bush,RB,OAK,DEN,14.40
John Kuhn,FB,GB,NE,13.80
Felix Jones,RB,DAL,WAS,13.70
BenJarvus Green-Ellis,RB,NE,GB,13.00
Jason Snelling,RB,ATL,SEA,12.10
Arian Foster,RB,HOU,TEN,12.10
LeSean McCoy,RB,PHI,NYG,11.70
Toby Gerhart,RB,MIN,CHI,11.50
Brandon Jackson,RB,GB,NE,11.20
Ronnie Brown,RB,MIA,BUF,11.20
Brian Westbrook,RB,SF,LAC,11.00
Matt Forte,RB,CHI,MIN,10.80
Mike Tolbert,FB,LAC,SF,10.60
Ricky Williams,RB,MIA,BUF,10.30
Peyton Hillis,RB,CLE,CIN,10.20
Reggie Bush,RB,NO,BAL,10.20
Ahmad Bradshaw,RB,NYG,PHI,10.00
Maurice Jones-Drew,RB,JAX,IND,8.80
Cadillac Williams,RB,TB,DET,8.40
Michael Turner,RB,ATL,SEA,8.20
Danny Woodhead,RB,NE,GB,8.10
Darren Sproles,RB,LAC,SF,8.10
Javon Ringer,RB,TEN,HOU,7.90
Mike Goodson,RB,CAR,ARI,6.80
LaDainian Tomlinson,RB,NYJ,PIT,6.50
Tim Hightower,RB,ARI,CAR,5.80
CJ Spiller,RB,BUF,MIA,5.70
Ryan Mathews,RB,LAC,SF,5.60
Shonn Greene,RB,NYJ,PIT,5.50
Willis McGahee,RB,BAL,NO,5.30
Earnest Graham,RB,TB,DET,5.00
Dimitri Nance,RB,GB,NE,4.70
Anthony Dixon,RB,SF,LAC,4.50
John Kasay,K,CAR,ARI,0.00
Clint Stitser,K,CIN,CLE,0.00
Sebastian Janikowski,K,OAK,DEN,0.00
Billy Cundiff,K,BAL,NO,0.00
Dave Rayner,K,DET,TB,0.00
Steven Hauschka,K,DEN,OAK,0.00
Ryan Succop,K,KC,LAR,0.00
Nate Kaeding,K,LAC,SF,0.00
Adam Vinatieri,K,IND,JAX,0.00
Matt Bryant,K,ATL,SEA,0.00
Josh Brown,K,LAR,KC,0.00
Mason Crosby,K,GB,NE,0.00
Nick Folk,K,NYJ,PIT,0.00
David Akers,K,PHI,NYG,0.00
Connor Barth,K,TB,DET,0.00
Lawrence Tynes,K,NYG,PHI,0.00
Shayne Graham,K,NE,GB,0.00
Rob Bironas,K,TEN,HOU,0.00
Jay Feely,K,ARI,CAR,0.00
Josh Scobee,K,JAX,IND,0.00
Garrett Hartley,K,NO,BAL,0.00
Shaun Suisham,K,PIT,NYJ,0.00
Phil Dawson,K,CLE,CIN,0.00
Rian Lindell,K,BUF,MIA,0.00
Neil Rackers,K,HOU,TEN,0.00
Olindo Mare,K,SEA,ATL,0.00
Ryan Longwell,K,MIN,CHI,0.00
Graham Gano,K,WAS,DAL,0.00
Dan Carpenter,K,MIA,BUF,0.00
Jeff Reed,K,SF,LAC,0.00
Thomas Howard,K,OAK,DEN,0.00
Rhys Lloyd,K,CAR,ARI,0.00
Atlanta Falcons,DST,ATL,SEA,15.00
New York Jets,DST,NYJ,PIT,12.00
Los Angeles Chargers,DST,LAC,SF,12.00
Philadelphia Eagles,DST,PHI,NYG,11.00
Carolina Panthers,DST,CAR,ARI,11.00
Kansas City Chiefs,DST,KC,LAR,11.00
Indianapolis Colts,DST,IND,JAX,11.00
Dallas Cowboys,DST,DAL,WAS,10.00
Buffalo Bills,DST,BUF,MIA,8.00
Tennessee Titans,DST,TEN,HOU,7.00
Jacksonville Jaguars,DST,JAX,IND,6.00
Oakland Raiders,DST,OAK,DEN,6.00
Cincinnati Bengals,DST,CIN,CLE,5.00
Arizona Cardinals,DST,ARI,CAR,5.00
New York Giants,DST,NYG,PHI,5.00
Los Angeles Rams,DST,LAR,KC,5.00
Miami Dolphins,DST,MIA,BUF,5.00
Baltimore Ravens,DST,BAL,NO,5.00
Houston Texans,DST,HOU,TEN,4.00
Detroit Lions,DST,DET,TB,4.00
Green Bay Packers,DST,GB,NE,3.00
Seattle Seahawks,DST,SEA,ATL,2.00
New Orleans Saints,DST,NO,BAL,2.00
Denver Broncos,DST,DEN,OAK,2.00
Pittsburgh Steelers,DST,PIT,NYJ,2.00
Cleveland Browns,DST,CLE,CIN,1.00
Washington Redskins,DST,WAS,DAL,1.00
Tampa Bay Buccaneers,DST,TB,DET,0.00
San Francisco 49ers,DST,SF,LAC,0.00
Minnesota Vikings,DST,MIN,CHI,-1.00
