gameKey,season,day,month,time,weekDay,week,year,home,away,scoreHome,scoreAway,homeFirstDowns,homeTotalYards,homePassingYards,homeRushingYards,homePenaltyCount,homePenaltyYards,homeTurnovers,homePuntCount,homePuntYards,homePuntAvg,homePossessionTime,awayFirstDowns,awayTotalYards,awayPassingYards,awayRushingYards,awayPenaltyCount,awayPenaltyYards,awayTurnovers,awayPuntYards,awayPuntAvg,awayPossessionTime
54509,REG,27,9,1:00,Sun,3,2009,NE,ATL,26,10,28,445,277,168,2,10,0,2,87,44,2389,13,257,199,58,7,54,1,5,188,34,1211
54510,REG,27,9,1:00,Sun,3,2009,PHI,KC,34,14,21,420,327,93,3,20,1,3,123,36,1835,11,196,97,99,10,90,1,9,399,45,1765
54511,REG,27,9,1:00,Sun,3,2009,STL,GB,17,36,22,336,187,149,6,40,3,4,216,46,1781,24,402,250,152,6,51,0,4,200,44,1819
54512,REG,27,9,1:00,Sun,3,2009,TB,NYG,0,24,5,86,58,28,5,25,1,7,311,38,982,27,397,171,226,5,60,0,4,200,40,2618
54513,REG,27,9,4:05,Sun,3,2009,BUF,NO,7,27,13,243,154,89,12,116,2,9,419,40,1586,21,378,156,222,9,97,1,5,213,43,2014
54514,REG,27,9,4:05,Sun,3,2009,SEA,CHI,19,25,19,346,243,103,4,45,2,2,108,50,1776,14,318,233,85,6,60,2,4,165,41,1824
54499,REG,27,9,1:00,Sun,3,2009,NYJ,TEN,24,17,13,229,146,83,3,25,2,9,360,36,1958,17,286,159,127,3,15,4,7,303,30,1642
54500,REG,27,9,4:15,Sun,3,2009,OAK,DEN,3,23,9,137,42,95,6,53,3,4,190,42,1425,21,372,157,215,5,30,1,2,81,27,2175
54501,REG,27,9,4:15,Sun,3,2009,SD,MIA,23,13,19,355,286,69,3,20,1,2,85,38,1653,19,289,140,149,7,39,2,4,178,41,1947
54502,REG,27,9,8:20,Sun,3,2009,ARI,IND,10,31,21,323,299,24,5,35,3,6,287,42,1698,22,505,379,126,7,69,1,4,168,39,1902
54503,REG,28,9,8:30,Mon,3,2009,DAL,CAR,21,7,24,449,237,212,9,80,0,5,187,37,2224,15,271,198,73,6,60,3,6,296,40,1376
54515,REG,4,10,1:00,Sun,4,2009,CHI,DET,48,24,14,276,125,151,3,36,0,4,152,38,1410,25,398,308,90,7,51,2,5,218,26,2190
54516,REG,4,10,1:00,Sun,4,2009,CLE,CIN,20,23,22,395,249,146,5,44,2,9,393,37,2335,21,375,221,154,6,46,2,9,406,32,2161
54517,REG,4,10,1:00,Sun,4,2009,HOU,OAK,29,6,16,329,209,120,1,5,2,7,250,36,2053,8,165,120,45,9,60,3,8,427,46,1547
54518,REG,4,10,1:00,Sun,4,2009,IND,SEA,34,17,24,431,353,78,7,48,1,2,81,31,1734,20,279,230,49,6,45,2,5,245,36,1866
54519,REG,4,10,1:00,Sun,4,2009,JAC,TEN,37,17,27,442,305,137,4,30,1,3,111,28,2047,19,379,284,95,6,68,3,5,211,35,1553
54520,REG,4,10,1:00,Sun,4,2009,KC,NYG,16,27,15,193,88,105,7,55,1,7,339,46,1753,21,429,273,156,8,54,2,4,171,36,1847
54521,REG,4,10,1:00,Sun,4,2009,NE,BAL,27,21,25,319,234,85,5,41,1,3,115,25,2096,24,363,247,116,9,85,2,3,139,42,1504
54522,REG,4,10,1:00,Sun,4,2009,WAS,TB,16,13,14,277,152,125,4,40,4,4,127,30,1736,12,229,100,129,5,40,2,5,217,41,1864
54523,REG,4,10,4:05,Sun,4,2009,MIA,BUF,38,10,25,336,86,250,5,45,0,5,199,30,2229,10,206,160,46,3,19,3,5,257,39,1371
54524,REG,4,10,4:05,Sun,4,2009,NO,NYJ,24,10,18,343,190,153,7,70,1,5,190,38,1959,14,244,112,132,3,21,4,6,252,35,1641
54525,REG,4,10,4:15,Sun,4,2009,DEN,DAL,17,10,18,337,221,116,10,81,1,6,305,42,1613,20,315,241,74,7,70,2,6,296,42,1987
54526,REG,4,10,4:15,Sun,4,2009,SF,STL,35,0,13,228,132,96,3,33,0,7,305,39,1812,9,177,82,95,10,73,3,8,349,41,1788
54527,REG,4,10,8:20,Sun,4,2009,PIT,SD,38,28,32,497,320,177,6,59,2,2,84,42,2420,17,251,235,16,3,20,1,6,291,44,1180
54528,REG,5,10,8:30,Mon,4,2009,MIN,GB,30,23,22,334,271,63,2,10,1,5,212,42,1904,19,424,342,82,7,57,2,2,102,30,1696
54529,REG,11,10,1:00,Sun,5,2009,BAL,CIN,14,17,12,257,175,82,10,76,2,6,272,38,1541,22,403,261,142,7,39,2,4,160,40,2059
54530,REG,11,10,1:00,Sun,5,2009,BUF,CLE,3,6,13,288,143,145,13,75,3,7,364,43,1894,9,193,22,171,3,29,1,9,386,42,1706
54531,REG,11,10,1:00,Sun,5,2009,CAR,WAS,20,17,16,248,162,86,5,27,2,4,179,44,1877,15,198,124,74,4,20,1,5,192,36,1723
54532,REG,11,10,1:00,Sun,5,2009,DET,PIT,20,28,21,335,225,110,6,66,1,3,139,42,1955,18,344,262,82,6,59,1,4,194,43,1645
54533,REG,11,10,1:00,Sun,5,2009,KC,DAL,20,26,20,304,232,72,7,50,0,8,330,41,2078,20,498,348,150,13,90,2,4,172,42,1920
54534,REG,11,10,1:00,Sun,5,2009,NYG,OAK,44,7,27,483,263,220,4,37,1,3,92,31,2164,7,124,64,60,7,67,3,7,361,45,1436
54535,REG,11,10,1:00,Sun,5,2009,PHI,TB,33,14,16,325,249,76,10,111,0,5,244,43,1527,22,303,218,85,4,30,3,4,161,39,2073
54536,REG,11,10,1:00,Sun,5,2009,STL,MIN,10,38,27,400,278,122,7,82,4,3,148,45,1959,21,377,288,89,5,44,1,2,103,49,1641
54537,REG,11,10,4:05,Sun,5,2009,SF,ATL,10,45,13,279,179,100,8,92,3,5,219,40,1411,28,477,329,148,8,90,2,4,162,40,2189
54538,REG,11,10,4:15,Sun,5,2009,ARI,HOU,28,21,19,340,296,44,7,40,1,7,356,37,1595,23,416,371,45,6,53,1,5,200,40,2005
54539,REG,11,10,4:15,Sun,5,2009,DEN,NE,20,17,27,424,321,103,3,20,2,5,231,38,2189,18,305,209,96,4,46,1,5,222,42,1702
54540,REG,11,10,4:15,Sun,5,2009,SEA,JAC,41,0,24,379,236,143,1,10,0,3,133,45,2084,10,199,161,38,9,73,2,8,371,46,1516
54541,REG,11,10,8:20,Sun,5,2009,TEN,IND,9,31,12,245,155,90,9,89,2,4,146,37,1582,23,367,309,58,7,48,2,4,197,41,2018
54542,REG,12,10,8:30,Mon,5,2009,MIA,NYJ,31,27,23,413,262,151,8,112,0,4,199,43,2015,20,309,171,138,6,56,0,4,199,38,1585
54543,REG,18,10,1:00,Sun,6,2009,CIN,HOU,17,28,14,296,250,46,4,45,3,7,335,41,1425,26,472,385,87,7,60,2,5,175,27,2175
54544,REG,18,10,1:00,Sun,6,2009,GB,DET,26,0,23,435,328,107,13,130,2,2,82,41,2448,10,149,71,78,6,40,3,5,196,30,1152
54545,REG,18,10,1:00,Sun,6,2009,JAC,STL,23,20,33,492,326,166,3,15,3,4,145,29,2532,13,262,207,55,6,52,1,6,247,40,1488
54546,REG,18,10,1:00,Sun,6,2009,MIN,BAL,33,31,19,426,259,167,3,15,0,5,227,43,2083,20,448,367,81,6,74,0,7,342,38,1517
54547,REG,18,10,1:00,Sun,6,2009,NO,NYG,48,27,28,493,360,133,6,55,0,4,180,27,2167,17,325,241,84,9,110,2,4,186,42,1433
54548,REG,18,10,1:00,Sun,6,2009,PIT,CLE,27,14,28,543,403,140,4,30,4,2,91,23,2206,12,197,106,91,4,45,4,5,215,39,1394
54549,REG,18,10,1:00,Sun,6,2009,TB,CAR,21,28,12,245,121,124,5,40,2,4,163,27,1659,22,322,55,267,3,30,3,3,122,39,1941
54550,REG,18,10,1:00,Sun,6,2009,WAS,KC,6,14,7,265,147,118,7,63,2,8,286,32,1370,16,268,158,110,4,30,0,7,273,33,2230
54551,REG,18,10,4:05,Sun,6,2009,OAK,PHI,13,9,18,325,209,116,3,23,2,7,358,42,1982,14,283,216,67,4,38,0,8,343,40,1618
54552,REG,18,10,4:05,Sun,6,2009,SEA,ARI,3,27,7,128,114,14,6,56,2,8,360,37,1030,21,344,282,62,7,76,2,6,255,38,2570
54553,REG,18,10,4:15,Sun,6,2009,NE,TEN,59,0,32,619,426,193,6,40,0,1,36,36,2340,9,186,-7,193,6,55,5,6,208,28,1260
54554,REG,18,10,4:15,Sun,6,2009,NYJ,BUF,13,16,15,414,96,318,14,96,6,5,216,38,1993,20,296,154,142,8,64,2,8,334,42,2343
54555,REG,18,10,8:20,Sun,6,2009,ATL,CHI,21,14,16,253,185,68,6,70,2,5,237,37,1566,21,373,290,83,9,65,3,4,151,33,2034
54556,REG,19,10,8:30,Mon,6,2009,SD,DEN,23,34,20,311,238,73,4,44,1,3,151,25,1757,19,328,227,101,4,48,0,4,179,16,1843
54557,REG,25,10,4:15,Sun,7,2009,CIN,CHI,45,10,30,448,233,215,3,20,0,1,36,36,2182,15,279,244,35,6,44,4,3,117,32,1418
54558,REG,25,10,1:00,Sun,7,2009,CLE,GB,3,31,12,139,81,58,5,40,2,4,185,45,1446,25,460,258,202,8,70,0,2,87,29,2154
54559,REG,25,10,1:00,Sun,7,2009,HOU,SF,24,21,18,336,246,90,7,77,1,5,186,37,1829,17,297,238,59,11,65,2,5,241,43,1771
54560,REG,25,10,1:00,Sun,7,2009,KC,SD,7,37,10,203,82,121,7,41,3,6,241,34,1635,17,403,268,135,9,59,0,4,196,45,1965
54561,REG,25,10,1:00,Sun,7,2009,PIT,MIN,27,17,14,259,153,106,3,15,1,6,248,40,1382,21,386,297,89,11,78,2,6,250,39,2218
54562,REG,25,10,1:00,Sun,7,2009,STL,IND,6,42,14,272,117,155,5,73,2,5,216,41,1761,24,391,235,156,6,51,0,4,167,38,1839
54563,REG,25,10,1:00,Sun,7,2009,TB,NE,7,35,10,240,151,89,6,55,3,9,336,31,1605,18,414,307,107,10,66,2,6,224,29,1995
54564,REG,25,10,4:05,Sun,7,2009,CAR,BUF,9,20,20,425,309,116,9,67,4,6,251,39,2080,9,167,114,53,3,22,0,8,360,44,1520
54565,REG,25,10,4:05,Sun,7,2009,OAK,NYJ,0,38,13,263,144,119,3,24,4,5,265,52,1443,26,447,131,316,2,8,0,3,132,44,2157
