Player,Position,Team,Opponent,Points
Russell Wilson,QB,SEA,IND,27.60
Jay Cutler,QB,CHI,NO,27.02
Philip Rivers,QB,LAC,OAK,24.44
Ryan Fitzpatrick,QB,TEN,KC,23.88
Matt Ryan,QB,ATL,NYJ,22.76
Geno Smith,QB,NYJ,ATL,22.06
Eli Manning,QB,NYG,PHI,21.36
Sam Bradford,QB,LAR,JAX,21.28
Ryan Tannehill,QB,MIA,BAL,19.88
Drew Brees,QB,NO,CHI,19.32
Andrew Luck,QB,IND,SEA,19.06
Nick Foles,QB,PHI,NYG,15.98
Aaron Rodgers,QB,GB,DET,15.76
Matthew Stafford,QB,DET,GB,14.38
Cam Newton,QB,CAR,ARI,13.82
Michael Vick,QB,PHI,NYG,12.10
Brandon Weeden,QB,CLE,BUF,11.88
Joe Flacco,QB,BAL,MIA,11.06
Andy Dalton,QB,CIN,NE,9.98
Colin Kaepernick,QB,SF,HOU,9.92
Blaine Gabbert,QB,JAX,LAR,9.84
Alex Smith,QB,KC,TEN,9.80
Chad Henne,QB,JAX,LAR,7.76
Carson Palmer,QB,ARI,CAR,7.70
Tom Brady,QB,NE,CIN,6.88
EJ Manuel,QB,BUF,CLE,6.56
Matt Schaub,QB,HOU,SF,3.92
Jeff Tuel,QB,BUF,CLE,2.20
Brian Hoyer,QB,CLE,BUF,2.10
TJ Yates,QB,HOU,SF,0.60
Tarvaris Jackson,QB,SEA,IND,0.00
Luke McCown,QB,NO,CHI,0.00
Colt McCoy,QB,SF,HOU,-0.30
TY Hilton,WR,IND,SEA,34.00
Terrance Williams,WR,DAL,DEN,30.30
DeSean Jackson,WR,PHI,NYG,29.20
Rueben Randle,WR,NYG,PHI,27.60
Justin Blackmon,WR,JAX,LAR,27.60
Keenan Allen,WR,LAC,OAK,26.50
Hakeem Nicks,WR,NYG,PHI,26.20
James Jones,WR,GB,DET,25.70
Vincent Brown,WR,LAC,OAK,21.70
Torrey Smith,WR,BAL,MIA,21.10
Austin Pettis,WR,LAR,JAX,20.90
Mike Wallace,WR,MIA,BAL,20.50
Terrelle Pryor,WR,OAK,LAC,19.94
Denarius Moore,WR,OAK,LAC,19.40
Eric Decker,WR,DEN,DAL,18.70
Josh Gordon,WR,CLE,BUF,18.60
Cecil Shorts,WR,JAX,LAR,18.40
Julio Jones,WR,ATL,NYJ,17.90
Jeremy Kerley,WR,NYJ,ATL,17.80
Golden Tate,WR,SEA,IND,17.10
Wes Welker,WR,DEN,DAL,15.90
Cole Beasley,WR,DAL,DEN,14.70
Randall Cobb,WR,GB,DET,14.70
Rod Streater,WR,OAK,LAC,14.60
Reggie Wayne,WR,IND,SEA,14.50
Kendall Wright,WR,TEN,KC,13.40
Jordy Nelson,WR,GB,DET,13.20
Brandon Marshall,WR,CHI,NO,13.00
Doug Baldwin,WR,SEA,IND,13.00
Donnie Avery,WR,KC,TEN,12.10
Kris Durham,WR,DET,GB,12.00
Ted Ginn,WR,CAR,ARI,11.80
Brandon Gibson,WR,MIA,BAL,11.40
Robert Woods,WR,BUF,CLE,11.40
Michael Floyd,WR,ARI,CAR,11.10
AJ Green,WR,CIN,NE,11.10
Demaryius Thomas,WR,DEN,DAL,10.70
Greg Little,WR,CLE,BUF,10.10
Steve Smith,WR,CAR,ARI,10.00
Brian Hartline,WR,MIA,BAL,10.00
Jermaine Kearse,WR,SEA,IND,9.80
Victor Cruz,WR,NYG,PHI,9.80
Danny Amendola,WR,NE,CIN,9.50
Tandon Doss,WR,BAL,MIA,8.80
Brandon LaFell,WR,CAR,ARI,8.70
Roddy White,WR,ATL,NYJ,8.50
Dwayne Bowe,WR,KC,TEN,7.50
Larry Fitzgerald,WR,ARI,CAR,7.30
Jimmy Graham,TE,NO,CHI,26.50
Tony Gonzalez,TE,ATL,NYJ,19.70
Vernon Davis,TE,SF,HOU,17.80
Jeff Cumberland,TE,NYJ,ATL,16.90
Antonio Gates,TE,LAC,OAK,14.40
Charles Clay,TE,MIA,BAL,14.20
Brent Celek,TE,PHI,NYG,13.70
Lance Kendricks,TE,LAR,JAX,13.70
Greg Olsen,TE,CAR,ARI,12.90
Owen Daniels,TE,HOU,SF,12.00
Martellus Bennett,TE,CHI,NO,10.60
Tyler Eifert,TE,CIN,NE,10.30
Brandon Pettigrew,TE,DET,GB,9.90
Levine Toilolo,TE,ATL,NYJ,9.50
Tony Scheffler,TE,DET,GB,9.50
Sean McGrath,TE,KC,TEN,9.40
Jim Dray,TE,ARI,CAR,9.30
Jermichael Finley,TE,GB,DET,9.20
Scott Chandler,TE,BUF,CLE,8.90
Delanie Walker,TE,TEN,KC,8.30
Kellen Winslow,TE,NYJ,ATL,7.10
Ed Dickson,TE,BAL,MIA,7.10
Jordan Cameron,TE,CLE,BUF,6.60
Jermaine Gresham,TE,CIN,NE,6.40
Clay Harbor,TE,JAX,LAR,5.90
Zach Ertz,TE,PHI,NYG,5.80
Jared Cook,TE,LAR,JAX,5.60
Brandon Myers,TE,NYG,PHI,5.50
Luke Willson,TE,SEA,IND,4.80
Garrett Graham,TE,HOU,SF,4.50
Gavin Escobar,TE,DAL,DEN,3.50
Coby Fleener,TE,IND,SEA,3.50
Cory Harkey,TE,LAR,JAX,2.70
Mychal Rivera,TE,OAK,LAC,1.50
James Hanna,TE,DAL,DEN,1.30
Gary Barnidge,TE,CLE,BUF,1.20
Michael Hoomanawanui,TE,NE,CIN,1.20
MarQueis Gray,TE,CLE,BUF,0.00
Kory Sperry,TE,ARI,CAR,0.00
Lee Smith,TE,BUF,CLE,0.00
Konrad Reuland,TE,NYJ,ATL,0.00
Josh Hill,TE,NO,CHI,0.00
Vance McDonald,TE,SF,HOU,0.00
James Casey,TE,PHI,NYG,0.00
Michael Egnew,TE,MIA,BAL,0.00
Benjamin Watson,TE,NO,CHI,0.00
Matthew Mulligan,TE,NE,CIN,0.00
Ladarius Green,TE,LAC,OAK,0.00
Ray Rice,RB,BAL,MIA,27.20
Knowshon Moreno,RB,DEN,DAL,26.00
Fred Jackson,RB,BUF,CLE,25.30
Jacquizz Rodgers,RB,ATL,NYJ,21.80
Danny Woodhead,RB,LAC,OAK,21.50
LeSean McCoy,RB,PHI,NYG,21.20
Chris Johnson,RB,TEN,KC,18.00
Arian Foster,RB,HOU,SF,15.80
Matt Forte,RB,CHI,NO,15.50
Marshawn Lynch,RB,SEA,IND,14.70
Frank Gore,RB,SF,HOU,14.10
Jason Snelling,RB,ATL,NYJ,13.30
Willis McGahee,RB,CLE,BUF,13.20
Rashard Mendenhall,RB,ARI,CAR,13.00
BenJarvus Green-Ellis,RB,CIN,NE,12.70
CJ Spiller,RB,BUF,CLE,12.60
Brandon Bolden,RB,NE,CIN,12.40
Andre Ellington,RB,ARI,CAR,12.30
Donald Brown,RB,IND,SEA,12.00
DeMarco Murray,RB,DAL,DEN,11.80
Reggie Bush,RB,DET,GB,10.90
Eddie Lacy,RB,GB,DET,10.70
Maurice Jones-Drew,RB,JAX,LAR,10.60
Ronnie Hillman,RB,DEN,DAL,9.90
Joique Bell,RB,DET,GB,9.10
DeAngelo Williams,RB,CAR,ARI,8.90
Marcel Reece,FB,OAK,LAC,8.70
Giovani Bernard,RB,CIN,NE,7.90
Zac Stacy,RB,LAR,JAX,7.80
David Wilson,RB,NYG,PHI,7.60
Anthony Dixon,RB,SF,HOU,7.20
Jackie Battle,FB,TEN,KC,7.20
Darren Sproles,RB,NO,CHI,7.10
Jed Collins,FB,NO,CHI,6.80
Ronnie Brown,RB,LAC,OAK,6.20
Bilal Powell,RB,NYJ,ATL,5.70
Trent Richardson,RB,IND,SEA,5.60
Mike Goodson,RB,NYJ,ATL,5.10
Mike Tolbert,FB,CAR,ARI,5.00
Ben Tate,RB,HOU,SF,5.00
Daryl Richardson,RB,LAR,JAX,4.80
Alfonso Smith,RB,ARI,CAR,4.80
Bernard Pierce,RB,BAL,MIA,4.60
Rashad Jennings,RB,OAK,LAC,4.10
LeGarrette Blount,RB,NE,CIN,4.10
Jamize Olawale,FB,OAK,LAC,3.50
Anthony Sherman,FB,KC,TEN,3.30
Daniel Thomas,RB,MIA,BAL,3.20
Matt Prater,K,DEN,DAL,0.00
Garrett Hartley,K,NO,CHI,0.00
Steven Hauschka,K,SEA,IND,0.00
Ryan Succop,K,KC,TEN,0.00
Justin Tucker,K,BAL,MIA,0.00
Billy Cundiff,K,CLE,BUF,0.00
Nick Folk,K,NYJ,ATL,0.00
Caleb Sturgis,K,MIA,BAL,0.00
Phil Dawson,K,SF,HOU,0.00
Greg Zuerlein,K,LAR,JAX,0.00
Dan Bailey,K,DAL,DEN,0.00
Sebastian Janikowski,K,OAK,LAC,0.00
Adam Vinatieri,K,IND,SEA,0.00
Graham Gano,K,CAR,ARI,0.00
Jay Feely,K,ARI,CAR,0.00
Dan Carpenter,K,BUF,CLE,0.00
Josh Scobee,K,JAX,LAR,0.00
Mike Nugent,K,CIN,NE,0.00
Stephen Gostkowski,K,NE,CIN,0.00
David Akers,K,DET,GB,0.00
Rob Bironas,K,TEN,KC,0.00
Nick Novak,K,LAC,OAK,0.00
Robbie Gould,K,CHI,NO,0.00
Matt Bryant,K,ATL,NYJ,0.00
Randy Bullock,K,HOU,SF,0.00
Josh Brown,K,NYG,PHI,0.00
Oakland Raiders,DST,OAK,LAC,21.00
Cleveland Browns,DST,CLE,BUF,18.00
Kansas City Chiefs,DST,KC,TEN,16.00
Los Angeles Rams,DST,LAR,JAX,15.00
Cincinnati Bengals,DST,CIN,NE,15.00
Indianapolis Colts,DST,IND,SEA,14.00
New England Patriots,DST,NE,CIN,12.00
Miami Dolphins,DST,MIA,BAL,12.00
Philadelphia Eagles,DST,PHI,NYG,9.00
Carolina Panthers,DST,CAR,ARI,9.00
Green Bay Packers,DST,GB,DET,9.00
Seattle Seahawks,DST,SEA,IND,9.00
Baltimore Ravens,DST,BAL,MIA,7.00
Tennessee Titans,DST,TEN,KC,7.00
New Orleans Saints,DST,NO,CHI,6.00
New York Jets,DST,NYJ,ATL,5.00
Buffalo Bills,DST,BUF,CLE,4.00
Los Angeles Chargers,DST,LAC,OAK,4.00
Denver Broncos,DST,DEN,DAL,4.00
Atlanta Falcons,DST,ATL,NYJ,3.00
Chicago Bears,DST,CHI,NO,1.00
Jacksonville Jaguars,DST,JAX,LAR,1.00
Detroit Lions,DST,DET,GB,1.00
Dallas Cowboys,DST,DAL,DEN,0.00
Houston Texans,DST,HOU,SF,0.00
New York Giants,DST,NYG,PHI,-3.00
