Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Aaron Rodgers,QB,9,GB,DAL,27,34,79,289,9,3,0,132,5,41,8,0,27.66,2010
2,Brett Favre,QB,9,MIN,ARI,36,47,77,446,10,2,2,102,2,1,1,0,26.94,2010
3,Michael Vick,QB,9,PHI,IND,17,29,59,218,8,1,0,94,10,74,7,1,26.12,2010
4,Philip Rivers,QB,9,LAC,HOU,17,23,74,295,13,4,1,137,4,-7,-2,0,26.10,2010
5,Mark Sanchez,QB,9,NYJ,DET,22,39,56,336,9,1,1,83,3,1,0,1,25.54,2010
6,Matthew Stafford,QB,9,DET,NYJ,20,36,56,240,7,2,0,95,4,11,3,1,24.70,2010
7,Eli Manning,QB,9,NYG,SEA,21,32,66,290,9,3,0,126,1,-1,-1,0,23.50,2010
8,Jay Cutler,QB,9,CHI,BUF,17,30,57,188,6,2,0,98,5,39,8,0,20.42,2010
9,Joe Flacco,QB,9,BAL,MIA,20,27,74,266,10,2,0,130,4,7,2,0,19.34,2010
10,Drew Brees,QB,9,NO,CAR,27,43,63,253,6,2,1,85,0,0,0,0,17.12,2010
11,Tom Brady,QB,9,NE,CLE,19,36,53,224,6,2,0,91,1,1,1,0,17.06,2010
12,Matt Cassel,QB,9,KC,OAK,20,35,57,216,6,2,1,83,3,14,5,0,17.04,2010
13,Carson Palmer,QB,9,CIN,PIT,22,36,61,248,7,2,1,89,0,0,0,0,16.92,2010
14,Josh Freeman,QB,9,TB,ATL,11,22,50,189,9,2,2,72,4,26,7,0,16.16,2010
15,Colt McCoy,QB,9,CLE,NE,14,19,74,174,9,0,0,102,3,20,7,1,14.96,2010
16,Ryan Fitzpatrick,QB,9,BUF,CHI,31,51,61,299,6,1,2,67,2,9,5,0,14.86,2010
17,Matt Ryan,QB,9,ATL,TB,24,36,67,235,7,1,0,94,3,5,2,0,13.90,2010
18,Peyton Manning,QB,9,IND,PHI,31,52,60,294,6,1,2,66,0,0,0,0,13.76,2010
19,Derek Anderson,QB,9,ARI,MIN,15,26,58,179,7,1,0,92,3,16,5,0,12.76,2010
20,Jason Campbell,QB,9,OAK,KC,19,33,58,229,7,1,1,76,2,0,0,0,12.16,2010
21,Ben Roethlisberger,QB,9,PIT,CIN,17,27,63,163,6,1,1,77,5,13,3,0,10.82,2010
22,Matt Schaub,QB,9,HOU,LAC,21,32,66,266,8,0,1,78,2,1,1,0,9.74,2010
23,Jon Kitna,QB,9,DAL,GB,19,30,63,183,6,1,2,64,0,0,0,0,9.32,2010
24,Chad Henne,QB,9,MIA,BAL,22,34,65,231,7,0,3,48,6,13,2,0,7.54,2010
25,Charlie Whitehurst,QB,9,SEA,NYG,12,23,52,113,5,1,2,44,2,2,1,0,6.72,2010
26,Jimmy Clausen,QB,9,CAR,NO,8,18,44,47,3,0,1,28,1,11,11,0,1.98,2010
27,Tony Pike,QB,9,CAR,NO,6,12,50,47,4,0,0,60,0,0,0,0,1.88,2010
28,Chase Daniel,QB,9,NO,CAR,0,0,0,0,0,0,0,0,1,16,16,0,1.60,2010
29,Drew Stanton,QB,9,DET,NYJ,0,1,0,0,0,0,0,40,1,6,6,0,0.60,2010
30,Matt Moore,QB,9,CAR,NO,3,6,50,13,2,0,0,56,0,0,0,0,0.52,2010
31,Matt Flynn,QB,9,GB,DAL,0,1,0,0,0,0,0,40,0,0,0,0,0.00,2010
32,Sage Rosenfels,QB,9,NYG,SEA,0,0,0,0,0,0,0,0,3,-3,-1,0,-0.30,2010
33,Brian Hoyer,QB,9,NE,CLE,0,2,0,0,0,0,1,0,1,-1,-1,0,-1.10,2010
