,Player,Position,Team,Opponent,Points,PlayerID
0,Michael Vick,QB,PHI,IND,26.12,
1,Philip Rivers,QB,LAC,HOU,26.1,00-0022942
2,Mark Sanchez,QB,NYJ,DET,25.54,00-0026898
3,Matthew Stafford,QB,DET,NYJ,24.7,00-0026498
4,Eli Manning,QB,NYG,SEA,23.5,00-0022803
5,Jay Cutler,QB,CHI,BUF,20.42,00-0024226
6,Joe Flacco,QB,BAL,MIA,19.34,00-0026158
7,Drew Brees,QB,NO,CAR,17.12,00-0020531
8,Tom Brady,QB,NE,CLE,17.06,00-0019596
9,Matt Cassel,QB,KC,OAK,17.04,00-0023662
10,Carson Palmer,QB,CIN,PIT,16.92,00-0021429
11,Josh Freeman,QB,TB,ATL,16.16,00-0026993
12,Colt McCoy,QB,CLE,NE,14.96,00-0027688
13,Ryan Fitzpatrick,QB,BUF,CHI,14.86,00-0023682
14,Matt Ryan,QB,ATL,TB,13.9,00-0026143
15,Peyton Manning,QB,IND,PHI,13.76,00-0010346
16,Derek Anderson,QB,ARI,MIN,12.76,00-0023645
17,Jason Campbell,QB,OAK,KC,12.16,00-0023460
18,Ben Roethlisberger,QB,PIT,CIN,10.82,00-0022924
19,Matt Schaub,QB,HOU,LAC,9.74,00-0022787
20,Jon Kitna,QB,DAL,GB,9.32,00-0009311
21,Chad Henne,QB,MIA,BAL,7.54,00-0026197
22,Charlie Whitehurst,QB,SEA,NYG,6.72,00-0024296
23,Jimmy Clausen,QB,CAR,NO,1.98,00-0027659
24,Tony Pike,QB,CAR,NO,1.88,00-0027801
25,Chase Daniel,QB,NO,CAR,1.6,00-0026544
26,Drew Stanton,QB,DET,NYJ,0.6,00-0025430
27,Matt Moore,QB,CAR,NO,0.52,00-0025708
28,Matt Flynn,QB,GB,DAL,0.0,00-0026349
29,Sage Rosenfels,QB,NYG,SEA,-0.3,00-0020480
30,Brian Hoyer,QB,NE,CLE,-1.1,00-0026625
31,Jacoby Ford,WR,OAK,KC,29.8,00-0027709
32,James Jones,WR,GB,DAL,29.3,00-0025465
33,DeSean Jackson,WR,PHI,IND,28.9,00-0026189
34,Steve Johnson,WR,BUF,CHI,28.5,00-0026364
35,Hakeem Nicks,WR,NYG,SEA,27.8,00-0027005
36,Nate Burleson,WR,DET,NYJ,27.3,00-0021999
37,Mike Wallace,WR,PIT,CIN,25.0,00-0026901
38,Percy Harvin,WR,MIN,ARI,23.6,00-0026998
39,Dez Bryant,WR,DAL,GB,22.6,00-0027902
40,Greg Jennings,WR,GB,DAL,21.0,00-0024267
