Player,Position,Team,Opponent,Points
Aaron Rodgers,QB,GB,DET,28.42
Philip Rivers,QB,LAC,KC,24.08
Ryan Fitzpatrick,QB,BUF,MIA,23.84
Vince Young,QB,TEN,ARI,23.28
Tony Romo,QB,DAL,OAK,23.26
Jason Campbell,QB,WAS,PHI,21.44
Peyton Manning,QB,IND,HOU,19.56
Josh Freeman,QB,TB,ATL,19.50
Chris Redman,QB,ATL,TB,18.12
Alex Smith,QB,SF,JAX,18.08
Dennis Dixon,QB,PIT,BAL,17.50
Matt Schaub,QB,HOU,IND,16.96
Kyle Boller,QB,LAR,SEA,15.88
Donovan McNabb,QB,PHI,WAS,15.20
Joe Flacco,QB,BAL,PIT,14.36
David Garrard,QB,JAX,SF,14.28
Bruce Gradkowski,QB,OAK,DAL,14.00
Brady Quinn,QB,CLE,CIN,13.80
Kyle Orton,QB,DEN,NYG,12.70
Matt Cassel,QB,KC,LAC,11.32
Matthew Stafford,QB,DET,GB,10.62
Carson Palmer,QB,CIN,CLE,9.90
Jay Cutler,QB,CHI,MIN,9.48
Matt Leinart,QB,ARI,TEN,8.80
Chad Henne,QB,MIA,BUF,8.00
Mark Sanchez,QB,NYJ,CAR,7.86
Tom Brady,QB,NE,NO,7.68
Eli Manning,QB,NYG,DEN,7.50
Matt Hasselbeck,QB,SEA,LAR,5.88
Jake Delhomme,QB,CAR,NYJ,1.20
Seneca Wallace,QB,SEA,LAR,1.00
Brian Hoyer,QB,NE,NO,0.76
Matt Ryan,QB,ATL,TB,0.60
Billy Volek,QB,LAC,KC,0.40
Michael Vick,QB,PHI,WAS,0.40
Pat White,QB,MIA,BUF,0.20
Brodie Croyle,QB,KC,LAC,0.12
Mark Brunell,QB,NO,NE,0.00
Kellen Clemens,QB,NYJ,CAR,0.00
Matt Flynn,QB,GB,DET,0.00
Tarvaris Jackson,QB,MIN,CHI,-0.40
Percy Harvin,WR,MIN,CHI,29.60
Kenny Britt,WR,TEN,ARI,27.80
Marques Colston,WR,NO,NE,25.10
Devery Henderson,WR,NO,NE,23.60
Mark Clayton,WR,BAL,PIT,21.90
Terrell Owens,WR,BUF,MIA,20.60
Chris Chambers,WR,KC,LAC,20.00
Santonio Holmes,WR,PIT,BAL,19.40
Derrick Mason,WR,BAL,PIT,19.20
Antonio Bryant,WR,TB,ATL,18.10
Robert Meachem,WR,NO,NE,17.90
Pierre Garcon,WR,IND,HOU,17.30
Roddy White,WR,ATL,TB,16.70
Sam Aiken,WR,NE,NO,16.00
Michael Jenkins,WR,ATL,TB,15.00
Sidney Rice,WR,MIN,CHI,14.90
Donnie Avery,WR,LAR,SEA,14.80
Brandon Marshall,WR,DEN,NYG,14.60
Kevin Walter,WR,HOU,IND,14.60
Jason Avant,WR,PHI,WAS,14.40
Steve Smith,WR,NYG,DEN,14.10
James Jones,WR,GB,DET,13.50
Bernard Berrian,WR,MIN,CHI,13.40
Santana Moss,WR,WAS,PHI,12.80
Danny Amendola,WR,LAR,SEA,12.50
DeSean Jackson,WR,PHI,WAS,12.10
Brian Hartline,WR,MIA,BUF,12.10
Jacoby Jones,WR,HOU,IND,11.70
Andre Johnson,WR,HOU,IND,11.70
Malcom Floyd,WR,LAC,KC,11.50
