Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Cody Parkey,K,3,PHI,WAS,3,3,100,51,4,4,0.00,2014
2,Adam Vinatieri,K,3,IND,JAX,3,3,100,48,5,5,0.00,2014
3,Chandler Catanzaro,K,3,ARI,SF,3,3,100,51,2,2,0.00,2014
4,Shaun Suisham,K,3,PIT,CAR,3,3,100,45,4,4,0.00,2014
5,Nick Folk,K,3,NYJ,CHI,4,4,100,43,1,1,0.00,2014
6,Josh Brown,K,3,NYG,HOU,3,3,100,39,3,3,0.00,2014
7,Justin Tucker,K,3,BAL,CLE,3,3,100,38,2,2,0.00,2014
8,Kai Forbath,K,3,WAS,PHI,2,3,67,49,4,4,0.00,2014
9,Stephen Gostkowski,K,3,NE,OAK,3,3,100,36,1,1,0.00,2014
10,Dan Bailey,K,3,DAL,LAR,2,2,100,40,4,4,0.00,2014
11,Sebastian Janikowski,K,3,OAK,NE,3,3,100,49,0,0,0.00,2014
12,Blair Walsh,K,3,MIN,NO,3,3,100,40,0,0,0.00,2014
13,Caleb Sturgis,K,3,MIA,KC,2,3,67,51,1,1,0.00,2014
14,Robbie Gould,K,3,CHI,NYJ,2,2,100,45,3,3,0.00,2014
15,Matt Bryant,K,3,ATL,TB,0,1,0,0,8,8,0.00,2014
16,Nick Novak,K,3,LAC,BUF,2,2,100,37,2,2,0.00,2014
17,Steven Hauschka,K,3,SEA,DEN,2,3,67,28,2,2,0.00,2014
18,Greg Zuerlein,K,3,LAR,DAL,1,1,100,28,4,4,0.00,2014
19,Mike Nugent,K,3,CIN,TEN,1,1,100,29,4,4,0.00,2014
20,Graham Gano,K,3,CAR,PIT,2,2,100,40,1,1,0.00,2014
21,Nate Freese,K,3,DET,GB,1,2,50,30,2,2,0.00,2014
22,Randy Bullock,K,3,HOU,NYG,1,1,100,27,2,2,0.00,2014
23,Josh Scobee,K,3,JAX,IND,1,1,100,41,2,2,0.00,2014
24,Dan Carpenter,K,3,BUF,LAC,1,1,100,45,1,1,0.00,2014
25,Brandon McManus,K,3,DEN,SEA,1,1,100,24,1,1,0.00,2014
26,Cairo Santos,K,3,KC,MIA,0,0,0,0,4,4,0.00,2014
27,Billy Cundiff,K,3,CLE,BAL,0,2,0,0,3,3,0.00,2014
28,Patrick Murray,K,3,TB,ATL,0,0,0,0,2,2,0.00,2014
29,Shayne Graham,K,3,NO,MIN,0,0,0,0,2,3,0.00,2014
30,Phil Dawson,K,3,SF,ARI,0,1,0,0,2,2,0.00,2014
31,Ryan Succop,K,3,TEN,CIN,0,2,0,0,1,1,0.00,2014
32,Mason Crosby,K,3,GB,DET,0,0,0,0,1,1,0.00,2014
33,Jordan Gay,K,3,BUF,LAC,0,0,0,0,0,0,0.00,2014
