Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Rian Lindell,K,11,BUF,MIA,4,4,100,42,1,1,0.00,2012
2,Matt Bryant,K,11,ATL,ARI,3,3,100,51,2,2,0.00,2012
3,Jay Feely,K,11,ARI,ATL,4,4,100,48,1,1,0.00,2012
4,Josh Scobee,K,11,JAX,HOU,3,3,100,43,4,4,0.00,2012
5,Shayne Graham,K,11,HOU,JAX,3,5,60,42,4,4,0.00,2012
6,Nick Folk,K,11,NYJ,LAR,2,4,50,51,3,3,0.00,2012
7,Matt Prater,K,11,DEN,LAC,3,4,75,32,3,3,0.00,2012
8,David Akers,K,11,SF,CHI,3,3,100,37,3,3,0.00,2012
9,Dan Bailey,K,11,DAL,CLE,3,3,100,44,2,2,0.00,2012
10,Stephen Gostkowski,K,11,NE,IND,1,2,50,31,8,8,0.00,2012
11,Phil Dawson,K,11,CLE,DAL,2,2,100,51,2,2,0.00,2012
12,Connor Barth,K,11,TB,CAR,2,2,100,51,1,1,0.00,2012
13,Jason Hanson,K,11,DET,GB,2,2,100,30,2,2,0.00,2012
14,Garrett Hartley,K,11,NO,OAK,1,1,100,47,5,5,0.00,2012
15,Kai Forbath,K,11,WAS,PHI,1,1,100,25,4,4,0.00,2012
16,Justin Tucker,K,11,BAL,PIT,2,3,67,39,1,1,0.00,2012
17,Mason Crosby,K,11,GB,DET,1,3,33,39,3,3,0.00,2012
18,Ryan Succop,K,11,KC,CIN,2,2,100,34,0,0,0.00,2012
19,Adam Vinatieri,K,11,IND,NE,1,2,50,47,3,3,0.00,2012
20,Alex Henery,K,11,PHI,WAS,2,2,100,42,0,0,0.00,2012
21,Sebastian Janikowski,K,11,OAK,NO,1,1,100,40,2,2,0.00,2012
22,Mike Nugent,K,11,CIN,KC,0,1,0,0,4,4,0.00,2012
23,Shaun Suisham,K,11,PIT,BAL,1,1,100,22,1,1,0.00,2012
24,Justin Medlock,K,11,CAR,TB,0,1,0,0,3,3,0.00,2012
25,Nick Novak,K,11,LAC,DEN,0,0,0,0,3,3,0.00,2012
26,Dan Carpenter,K,11,MIA,BUF,0,1,0,0,2,2,0.00,2012
27,Greg Zuerlein,K,11,LAR,NYJ,0,0,0,0,1,1,0.00,2012
28,Robbie Gould,K,11,CHI,SF,0,0,0,0,1,1,0.00,2012
