Rank,Player,Position,Week,Team,Opponent,FGMade,FGAtt,FGPct,FGLong,XPMade,XPAtt,Points,Year
1,Steven Hauschka,K,3,BUF,DEN,4,4,100,55,2,2,0.00,2017
2,Matt Prater,K,3,DET,ATL,4,4,100,57,2,2,0.00,2017
3,Ka'imi Fairbairn,K,3,HOU,NE,4,4,100,40,3,3,0.00,2017
4,Ryan Succop,K,3,TEN,SEA,4,4,100,47,3,3,0.00,2017
5,Jason Myers,K,3,JAX,BAL,3,3,100,45,5,5,0.00,2017
6,Wil Lutz,K,3,NO,CAR,2,3,67,50,4,4,0.00,2017
7,Matt Bryant,K,3,ATL,DET,3,3,100,48,3,3,0.00,2017
8,Greg Zuerlein,K,3,LAR,SF,2,2,100,48,5,5,0.00,2017
9,Jake Elliott,K,3,PHI,NYG,2,3,67,61,3,3,0.00,2017
10,Brandon McManus,K,3,DEN,BUF,3,3,100,38,1,1,0.00,2017
11,Kai Forbath,K,3,MIN,TB,2,2,100,37,4,4,0.00,2017
12,Robbie Gould,K,3,SF,LAR,2,2,100,48,3,4,0.00,2017
13,Mason Crosby,K,3,GB,CIN,2,2,100,28,3,3,0.00,2017
14,Dustin Hopkins,K,3,WAS,OAK,2,3,67,28,3,3,0.00,2017
15,Chandler Catanzaro,K,3,NYJ,MIA,2,3,67,40,2,2,0.00,2017
16,Adam Vinatieri,K,3,IND,CLE,1,1,100,33,4,4,0.00,2017
17,Graham Gano,K,3,CAR,NO,2,2,100,48,1,1,0.00,2017
18,Aldrick Rosas,K,3,NYG,PHI,1,1,100,41,3,3,0.00,2017
19,Randy Bullock,K,3,CIN,GB,1,2,50,46,3,3,0.00,2017
20,Cairo Santos,K,3,KC,LAC,1,1,100,34,3,3,0.00,2017
21,Connor Barth,K,3,CHI,PIT,1,2,50,24,2,2,0.00,2017
22,Chris Boswell,K,3,PIT,CHI,1,2,50,32,2,2,0.00,2017
23,Nick Folk,K,3,TB,MIN,1,1,100,40,2,2,0.00,2017
24,Phil Dawson,K,3,ARI,DAL,1,2,50,37,2,2,0.00,2017
25,Zane Gonzalez,K,3,CLE,IND,0,0,0,0,4,4,0.00,2017
26,Stephen Gostkowski,K,3,NE,HOU,0,0,0,0,4,4,0.00,2017
27,Younghoe Koo,K,3,LAC,KC,1,1,100,29,1,1,0.00,2017
28,Giorgio Tavecchio,K,3,OAK,WAS,1,1,100,22,1,1,0.00,2017
29,Dan Bailey,K,3,DAL,ARI,0,0,0,0,4,4,0.00,2017
30,Blair Walsh,K,3,SEA,TEN,0,0,0,0,3,3,0.00,2017
31,Justin Tucker,K,3,BAL,JAX,0,0,0,0,1,1,0.00,2017
32,Michael Palardy,K,3,CAR,NO,0,0,0,0,0,0,0.00,2017
33,Cody Parkey,K,3,MIA,NYJ,0,0,0,0,0,1,0.00,2017
