Player,Position,Team,Opponent,Points
Chris Carson,RB,SEA,TEN,13.20
Alvin Kamara,RB,NO,CAR,13.20
Joe Mixon,RB,CIN,GB,13.10
Andre Ellington,RB,ARI,DAL,13.10
Ty Montgomery,RB,GB,CIN,13.00
LeGarrette Blount,RB,PHI,NYG,12.70
Jamaal Charles,RB,DEN,BUF,12.70
Frank Gore,RB,IND,CLE,12.70
Giovani Bernard,RB,CIN,GB,11.90
Tevin Coleman,RB,ATL,DET,11.90
Ameer Abdullah,RB,DET,ATL,11.60
D'Onta Foreman,RB,HOU,NE,11.00
Mark Ingram,RB,NO,CAR,10.60
CJ Prosise,RB,SEA,TEN,10.40
Corey Grant,RB,JAX,BAL,10.30
Bilal Powell,RB,NYJ,MIA,9.70
Wendell Smallwood,RB,PHI,NYG,9.00
Alex Collins,RB,BAL,JAX,8.20
Corey Clement,RB,PHI,NYG,8.20
Theo Riddick,RB,DET,ATL,7.80
Javorius Allen,RB,BAL,JAX,7.80
Derrick Henry,RB,TEN,SEA,7.40
Isaiah Crowell,RB,CLE,IND,7.40
Branden Oliver,RB,LAC,KC,7.40
Deandre Washington,RB,OAK,WAS,7.40
Lamar Miller,RB,HOU,NE,7.30
Jonathan Stewart,RB,CAR,NO,7.10
CJ Anderson,RB,DEN,BUF,6.30
Chris Ivory,RB,JAX,BAL,6.20
Matt Breida,RB,SF,LAR,5.90
Adrian Peterson,RB,NO,CAR,5.70
Samaje Perine,RB,WAS,OAK,5.50
Benjamin Cunningham,RB,CHI,PIT,5.30
Paul Perkins,RB,NYG,PHI,5.00
Ka'imi Fairbairn,K,HOU,NE,0.00
Ryan Succop,K,TEN,SEA,0.00
Jason Myers,K,JAX,BAL,0.00
Wil Lutz,K,NO,CAR,0.00
Matt Bryant,K,ATL,DET,0.00
Greg Zuerlein,K,LAR,SF,0.00
Jake Elliott,K,PHI,NYG,0.00
Brandon McManus,K,DEN,BUF,0.00
Kai Forbath,K,MIN,TB,0.00
Robbie Gould,K,SF,LAR,0.00
Mason Crosby,K,GB,CIN,0.00
Dustin Hopkins,K,WAS,OAK,0.00
Chandler Catanzaro,K,NYJ,MIA,0.00
Adam Vinatieri,K,IND,CLE,0.00
Graham Gano,K,CAR,NO,0.00
Aldrick Rosas,K,NYG,PHI,0.00
Randy Bullock,K,CIN,GB,0.00
Cairo Santos,K,KC,LAC,0.00
Connor Barth,K,CHI,PIT,0.00
Chris Boswell,K,PIT,CHI,0.00
Nick Folk,K,TB,MIN,0.00
Phil Dawson,K,ARI,DAL,0.00
Zane Gonzalez,K,CLE,IND,0.00
Stephen Gostkowski,K,NE,HOU,0.00
Younghoe Koo,K,LAC,KC,0.00
Giorgio Tavecchio,K,OAK,WAS,0.00
Dan Bailey,K,DAL,ARI,0.00
Blair Walsh,K,SEA,TEN,0.00
Justin Tucker,K,BAL,JAX,0.00
Michael Palardy,K,CAR,NO,0.00
Cody Parkey,K,MIA,NYJ,0.00
Cincinnati Bengals,DST,CIN,GB,14.00
Washington Redskins,DST,WAS,OAK,14.00
Detroit Lions,DST,DET,ATL,13.00
Jacksonville Jaguars,DST,JAX,BAL,12.00
Kansas City Chiefs,DST,KC,LAC,12.00
Chicago Bears,DST,CHI,PIT,10.00
Minnesota Vikings,DST,MIN,TB,9.00
Houston Texans,DST,HOU,NE,9.00
Buffalo Bills,DST,BUF,DEN,8.00
Dallas Cowboys,DST,DAL,ARI,7.00
Pittsburgh Steelers,DST,PIT,CHI,6.00
Indianapolis Colts,DST,IND,CLE,6.00
New England Patriots,DST,NE,HOU,6.00
Green Bay Packers,DST,GB,CIN,6.00
New York Giants,DST,NYG,PHI,5.00
