Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Aaron Rodgers,QB,16,GB,CHI,21,29,72,283,10,5,0,143,4,18,5,0,33.12,2011
2,Tom Brady,QB,16,NE,MIA,27,46,59,304,7,1,0,86,9,17,2,2,32.86,2011
3,Cam Newton,QB,16,CAR,TB,12,17,71,171,10,3,0,142,6,65,11,1,31.34,2011
4,Matthew Stafford,QB,16,DET,LAC,29,36,81,373,10,3,0,138,2,5,3,0,30.42,2011
5,Drew Brees,QB,16,NO,ATL,23,39,59,307,8,4,2,97,1,9,9,0,30.18,2011
6,Matt Moore,QB,16,MIA,NE,17,33,52,294,9,3,1,100,3,-1,0,0,21.66,2011
7,Matt Ryan,QB,16,ATL,NO,34,52,65,373,7,1,0,93,2,-3,-2,0,21.62,2011
8,Joe Webb,QB,16,MIN,WAS,4,5,80,84,17,2,0,158,5,34,7,1,20.76,2011
9,Michael Vick,QB,16,PHI,DAL,18,32,56,293,9,2,0,108,3,10,3,0,20.72,2011
10,Josh Freeman,QB,16,TB,CAR,28,38,74,274,7,1,1,91,6,4,1,1,19.36,2011
11,Matt Hasselbeck,QB,16,TEN,JAX,24,40,60,350,9,1,2,76,5,2,0,0,19.20,2011
12,Andy Dalton,QB,16,CIN,ARI,18,31,58,154,5,2,0,93,5,48,10,0,18.96,2011
13,Mark Sanchez,QB,16,NYJ,NYG,30,59,51,258,4,1,2,54,4,13,3,1,18.62,2011
14,Josh McCown,QB,16,CHI,GB,19,28,68,242,9,1,2,77,8,38,5,0,17.48,2011
15,John Skelton,QB,16,ARI,CIN,23,44,52,297,7,2,3,61,4,6,2,0,17.48,2011
16,Rex Grossman,QB,16,WAS,MIN,26,41,63,284,7,2,1,90,0,0,0,0,17.36,2011
17,Kyle Orton,QB,16,KC,OAK,21,36,58,300,8,1,2,72,1,2,2,0,17.20,2011
18,Tim Tebow,QB,16,DEN,BUF,13,30,43,185,6,1,4,35,10,34,3,1,16.80,2011
19,Joe Flacco,QB,16,BAL,CLE,11,24,46,132,6,2,1,74,4,30,8,0,15.28,2011
20,Stephen McGee,QB,16,DAL,PHI,24,38,63,182,5,1,0,83,4,28,7,0,14.08,2011
21,Philip Rivers,QB,16,LAC,DET,28,53,53,299,6,1,2,60,0,0,0,0,13.96,2011
22,Dan Orlovsky,QB,16,IND,HOU,23,41,56,244,6,1,0,82,1,2,2,0,12.96,2011
23,Eli Manning,QB,16,NYG,NYJ,9,27,33,225,8,1,1,62,1,-1,-1,0,11.90,2011
24,Carson Palmer,QB,16,OAK,KC,16,26,62,237,9,1,2,72,0,0,0,0,11.48,2011
25,Ryan Fitzpatrick,QB,16,BUF,DEN,15,27,56,196,7,0,0,79,3,22,7,0,10.04,2011
26,Tarvaris Jackson,QB,16,SEA,SF,15,28,54,163,6,1,0,83,3,5,2,0,10.02,2011
27,Seneca Wallace,QB,16,CLE,BAL,19,33,58,147,5,1,1,66,1,5,5,0,9.38,2011
28,Alex Smith,QB,16,SF,SEA,14,26,54,179,7,0,0,76,5,22,4,0,9.36,2011
29,Charlie Batch,QB,16,PIT,LAR,15,22,68,208,10,0,1,79,0,0,0,0,7.32,2011
30,Blaine Gabbert,QB,16,JAX,TEN,21,42,50,198,5,0,1,53,1,4,4,0,7.32,2011
31,Christian Ponder,QB,16,MIN,WAS,8,13,62,68,5,0,0,75,4,20,5,0,4.72,2011
32,Kellen Clemens,QB,16,LAR,PIT,9,24,38,91,4,0,0,49,2,10,5,0,4.64,2011
33,TJ Yates,QB,16,HOU,IND,13,16,81,132,8,0,0,101,1,-1,-1,0,4.18,2011
34,Chris Redman,QB,16,ATL,NO,6,9,67,61,7,0,0,86,0,0,0,0,2.44,2011
35,Mark Brunell,QB,16,NYJ,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
36,Tony Romo,QB,16,DAL,PHI,0,2,0,0,0,0,0,40,0,0,0,0,0.00,2011
37,Chase Daniel,QB,16,NO,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2011
38,Derek Anderson,QB,16,CAR,TB,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.10,2011
39,Matt Flynn,QB,16,GB,CHI,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.20,2011
